Msex2.02682,jdp
Msex2.06899,nrv2
Msex2.06898,CG4038
Msex2.00713,OXA1L
Msex2.10014,CG14778
Msex2.10015,Pex23
Msex2.10016,CG8136
Msex2.13053,U4-U6-60K
Msex2.10018,Sf3b1
Msex2.10019,Dp1
Msex2.06098,pasi1
Msex2.13288,CG31323
Msex2.06093,woc
Msex2.06092,Ino80
Msex2.06090,Dl
Msex2.06097,trh
Msex2.06094,TTLL4A
Msex2.07415,gcm2
Msex2.06019,SmydA-2
Msex2.06321,Cpr49Ab
Msex2.12889,CG7326
Msex2.03408,Plod
Msex2.12739,Pgant6
Msex2.12738,Ten-m
Msex2.12736,CG4338
Msex2.12735,CG42685
Msex2.12734,CG10126
Msex2.12885,CG6293
Msex2.10896,Cyp12b2
Msex2.12886,l(2)05714
Msex2.13423,CG4557
Msex2.13424,CG5021
Msex2.03318,CG3040
Msex2.03317,Pcl
Msex2.09956,CG11122
Msex2.03315,fs(1)h
Msex2.09954,Best2
Msex2.03313,Ctr1A
Msex2.03312,csul
Msex2.03311,Coq4
Msex2.03310,Surf6
Msex2.12081,CG4078
Msex2.12080,Elp2
Msex2.12082,mRpL21
Msex2.12085,CG17684
Msex2.12084,mei-W68
Msex2.09689,RpS24
Msex2.12693,shot
Msex2.01441,mus304
Msex2.01440,CG4645
Msex2.01443,CG16974
Msex2.00532,Ugt36D1
Msex2.01442,Ndf
Msex2.01445,RhoGAP102A
Msex2.11343,CG7367
Msex2.01979,CG34357
Msex2.01978,PPP1R15
Msex2.01971,CG12268
Msex2.01970,wat
Msex2.01973,CG1441
Msex2.01446,CG8813
Msex2.01975,Ufc1
Msex2.01974,BORCS5
Msex2.01976,CG31279
Msex2.04338,Ran
Msex2.04339,ct
Msex2.04334,slim
Msex2.04335,CG12099
Msex2.04337,mEFTu1
Msex2.04331,Or67d
Msex2.04332,AdoR
Msex2.02408,Nup160
Msex2.02409,PMP34
Msex2.11418,Rpn2
Msex2.14362,CG13430
Msex2.02959,CG5853
Msex2.02400,CG7504
Msex2.02401,scny
Msex2.02402,CG5027
Msex2.02955,Tps1
Msex2.02404,CG8485
Msex2.02405,Uev1A
Msex2.02406,Psa
Msex2.10415,RhoGAP19D
Msex2.08331,sff
Msex2.08332,pav
Msex2.01817,Gfrl
Msex2.01814,Pph13
Msex2.01815,betaTub85D
Msex2.01812,ci
Msex2.01813,siz
Msex2.01810,bt
Msex2.11940,Nurf-38
Msex2.11942,CG43206
Msex2.11947,ABCB7
Msex2.01672,ppk26
Msex2.11946,CG6652
Msex2.00478,CG1737
Msex2.11530,CG9953
Msex2.10241,CG34195
Msex2.10240,Inx2
Msex2.10243,CG4849
Msex2.10242,CG6712
Msex2.01673,Ing3
Msex2.10247,Fpgs
Msex2.10246,CG34183
Msex2.10249,Hsc70-3
Msex2.10248,CG15543
Msex2.00143,h
Msex2.00142,SrpRbeta
Msex2.05313,Pkn
Msex2.00140,CG17219
Msex2.00147,nos
Msex2.00146,CenB1A
Msex2.00145,CG10171
Msex2.00144,MFS10
Msex2.00149,spt4
Msex2.06660,Cap-D2
Msex2.06661,CG30467
Msex2.06662,CG5885
Msex2.06663,CG32447
Msex2.06668,CG33958
Msex2.09315,QIL1
Msex2.09317,CG42553
Msex2.09316,CG10576
Msex2.09311,Gr63a
Msex2.09310,Cdc37
Msex2.09313,Dop1R2
Msex2.04809,chm
Msex2.09319,Tusp
Msex2.09318,DNApol-theta
Msex2.00495,AlkB
Msex2.00366,alpha-Est7
Msex2.00497,CG42376
Msex2.00496,CG3368
Msex2.00491,CG13078
Msex2.00362,CG4266
Msex2.00493,CG10337
Msex2.11260,rk
Msex2.11262,Dim1
Msex2.00499,Sik2
Msex2.00498,CG7560
Msex2.11266,ohgt
Msex2.09179,Gabat
Msex2.06405,Mad
Msex2.01366,Flo1
Msex2.06407,Cpr97Ea
Msex2.01360,sca
Msex2.06401,CG7231
Msex2.06402,santa-maria
Msex2.06403,crq
Msex2.09170,spidey
Msex2.09173,CrebB
Msex2.09174,Rad23
Msex2.09176,CG9426
Msex2.09504,mRpS17
Msex2.07758,CG31805
Msex2.07751,dj-1beta
Msex2.07202,glob2
Msex2.07205,LTV1
Msex2.07204,Vps35
Msex2.07755,CG42269
Msex2.07754,LManII
Msex2.13802,noi
Msex2.09622,CG8950
GeneName,GeneSymbolOrthologs
Msex2.00964,ZnT35C
Msex2.00961,Fic
Msex2.00960,Klp10A
Msex2.00963,NoSymbolFound
Msex2.00962,CG32512
Msex2.03439,Rack1
Msex2.03430,Sod2
Msex2.03436,CG6426
Msex2.03437,SCAR
Msex2.03124,Timp
Msex2.03125,Syn
Msex2.03126,CG34107
Msex2.03127,CG42795
Msex2.03120,CG4666
Msex2.03121,Ir41a
Msex2.03123,CG12814
Msex2.03128,CG3999
Msex2.03129,Fadd
Msex2.12270,peb
Msex2.12271,lolal
Msex2.14607,cher
Msex2.05878,CG7432
Msex2.05879,GluClalpha
Msex2.05874,RpIIIC53
Msex2.05875,mRpS26
Msex2.05877,CG9773
Msex2.05870,CG1234
Msex2.05872,Trs20
Msex2.11079,Ugt35C1
Msex2.03924,dve
Msex2.11389,NoSymbolFound
Msex2.03697,CG3213
Msex2.08781,Nup58
Msex2.11386,oaf
Msex2.11385,CG7611
Msex2.11384,Trs23
Msex2.08784,brat
Msex2.11381,Ir75d
Msex2.11380,Rift
Msex2.09333,kuz
Msex2.09332,Hem
Msex2.09984,CG10344
Msex2.03693,Eph
Msex2.04479,HPS1
Msex2.04478,CG10731
Msex2.09986,NT1
Msex2.04473,CG8379
Msex2.04472,CG14868
Msex2.04471,NoSymbolFound
Msex2.04470,Tasp1
Msex2.04477,Dhod
Msex2.04476,Hex-A
Msex2.04475,sev
Msex2.04474,CG17168
Msex2.00778,CCHa1
Msex2.00779,Scp2
Msex2.00770,fa2h
Msex2.00772,MESK4
Msex2.00773,CG30291
Msex2.00774,CG14507
Msex2.00777,CCHa2
Msex2.08167,Nup75
Msex2.08161,Rpn9
Msex2.09339,RpI12
Msex2.08163,CG5569
Msex2.01171,XNP
Msex2.01170,CG11752
Msex2.01173,mlt
Msex2.01172,Rev1
Msex2.01175,Appl
Msex2.01174,CG30022
Msex2.01177,Vha36-1
Msex2.01179,cyr
Msex2.09480,CG2124
Msex2.09786,Mgstl
Msex2.09782,Membrin
Msex2.09781,M6
Msex2.09482,CG5921
Msex2.10389,CG43689
Msex2.09788,CG2794
Msex2.05692,CG17780
Msex2.05694,CG42812
Msex2.05695,CG34429
Msex2.05697,CG34184
Msex2.05698,nAChRbeta2
Msex2.11922,ATPsynO
Msex2.11921,CG10898
Msex2.11920,CG8032
Msex2.11927,jeb
Msex2.11926,CG17754
Msex2.11925,NoSymbolFound
Msex2.10038,mRpS28
Msex2.10039,Upf3
Msex2.10037,GLS
Msex2.10032,SAK
Msex2.10031,ssh
Msex2.13070,Cnx99A
Msex2.07436,pch2
Msex2.07437,Gbeta5
Msex2.07434,CG11961
Msex2.08267,CG11986
Msex2.07432,Taz
Msex2.07433,Edc3
Msex2.05485,hook
Msex2.07438,Bsg
Msex2.05484,armi
Msex2.10917,pot
Msex2.06347,lin-28
Msex2.06346,Blimp-1
Msex2.06345,CG15269
Msex2.06344,CG10495
Msex2.06343,Zfrp8
Msex2.06342,CG11699
Msex2.06341,velo
Msex2.06349,CG42337
Msex2.06348,sif
Msex2.12863,CRIF
Msex2.12862,Clc
Msex2.07698,RnrS
Msex2.07699,OstDelta
Msex2.12866,CG6179
Msex2.12864,bmm
Msex2.07692,CycE
Msex2.07693,jnj
Msex2.07690,CG6443
Msex2.07691,pigeon
Msex2.07696,Vdup1
Msex2.07697,alien
Msex2.07694,endos
Msex2.07695,gammaTub23C
Msex2.07051,CG1418
Msex2.13400,magu
Msex2.13405,CG18170
Msex2.13408,Usp10
Msex2.03330,Or85c
Msex2.03333,dare
Msex2.03332,cm
Msex2.03335,ScsbetaG
Msex2.03334,CG8728
Msex2.09977,ND-18
Msex2.09976,CG8060
Msex2.03339,Rab7
Msex2.06466,Vps33B
Msex2.06467,Idh3a
Msex2.10481,eys
Msex2.06469,tobi
Msex2.02124,NoSymbolFound
Msex2.03842,ETH
Msex2.03841,ND-19
Msex2.03599,Mer
Msex2.03598,CG2691
Msex2.03845,trsn
Msex2.03595,CG33786
Msex2.03594,CG33785
Msex2.03596,CG11110
Msex2.03591,schlank
Msex2.03590,CG7879
Msex2.01992,mtgo
Msex2.15125,CG11655
Msex2.01990,P58IPK
Msex2.01997,Asx
Msex2.01996,Hydr2
Msex2.01995,PlexB
Msex2.01994,Nipped-A
Msex2.01999,CG10463
Msex2.04316,CG12170
Msex2.04317,CG12056
Msex2.04314,CG2182
Msex2.04315,CG8549
Msex2.04312,CG9666
Msex2.04645,l(1)10Bb
Msex2.04310,Pex5
Msex2.04647,ADPS
Msex2.04648,CG12880
Msex2.04649,Sce
Msex2.04319,SERCA
Msex2.02423,Zwilch
Msex2.02420,CG6707
Msex2.02424,NoSymbolFound
Msex2.02429,CG1544
Msex2.00164,arm
Msex2.00167,Tob
Msex2.05994,CG42258
Msex2.00161,MED1
Msex2.05992,Tudor-SN
Msex2.00163,Ssl1
Msex2.00162,CG4797
Msex2.08312,CBP
Msex2.08313,Vps29
Msex2.08310,Sse
Msex2.08311,egl
Msex2.00169,Rab26
Msex2.08317,Syt7
Msex2.05999,CG42674
Msex2.05998,CG14609
Msex2.01697,RapGAP1
Msex2.01690,Lsp1gamma
Msex2.01692,TpnC25D
Msex2.09378,EndoG
Msex2.09377,eIF2alpha
Msex2.09375,CG6752
Msex2.09374,Cbp53E
Msex2.09372,Fkbp12
Msex2.09370,RIOK2
Msex2.04865,sws
Msex2.04866,Rbp1-like
Msex2.04860,onecut
Msex2.04861,NfI
Msex2.04862,N
Msex2.04863,CCDC151
Msex2.04869,CG8180
Msex2.11126,CG8675
Msex2.00348,mAChR-A
Msex2.05199,CG6592
Msex2.00341,CG13192
Msex2.00340,Sobp
Msex2.00343,bs
Msex2.00342,sotv
Msex2.05192,Sema2a
Msex2.05191,CG13544
Msex2.11710,CG42366
Msex2.11711,TrpRS-m
Msex2.11240,Oseg6
Msex2.11241,Prosap
Msex2.11246,Aduk
Msex2.11718,NoSymbolFound
Msex2.11719,d
Msex2.06852,Csp
Msex2.09193,dpy
Msex2.09192,ine
Msex2.09196,Nipped-B
Msex2.09195,CG7601
Msex2.09194,Pmi
Msex2.09198,CG32537
Msex2.06649,DENR
Msex2.06642,CG8441
Msex2.06643,Eno
Msex2.06640,sad
Msex2.06641,Rpn1
Msex2.06646,thoc5
Msex2.06647,Atg1
Msex2.06645,CG44242
Msex2.07598,mei-41
Msex2.07591,CG8613
Msex2.07593,step
Msex2.07592,not
Msex2.07595,Irk1
Msex2.07597,Hrs
Msex2.07596,Irk2
Msex2.05733,Uba3
Msex2.05732,twr
Msex2.05731,DIP-eta
Msex2.05730,CG8483
Msex2.05735,CG10979
Msex2.05734,ATPsynbeta
Msex2.01438,AsnRS-m
Msex2.01439,Pcf11
Msex2.06427,CG14997
Msex2.01344,Eip78C
Msex2.01345,trc
Msex2.06422,vito
Msex2.06423,Hel89B
Msex2.01340,beta'COP
Msex2.01437,Kr-h2
Msex2.07779,pxb
Msex2.07777,CG18585
Msex2.13298,RhoGAP15B
Msex2.07771,CG7025
Msex2.07770,CG16789
Msex2.01055,anchor
Msex2.08961,l(2)k01209
Msex2.08963,dpr18
Msex2.08962,CrzR
Msex2.13653,mtm
Msex2.13950,CG11200
Msex2.00515,Tis11
Msex2.00905,PKD
Msex2.00903,CG13603
Msex2.00902,Yif1
Msex2.00901,ps
Msex2.00900,Wsck
Msex2.14440,Rab3-GAP
Msex2.00716,CG4553
Msex2.14995,sesB
Msex2.02851,Prosbeta3
Msex2.02850,PIP4K
Msex2.14990,fbl
Msex2.03458,aPKC
Msex2.03108,Tsp33B
Msex2.03109,SCOT
Msex2.03454,cutlet
Msex2.03107,mRpL20
Msex2.03457,NoSymbolFound
Msex2.03450,Ku80
Msex2.03451,CG15385
Msex2.03452,Thor
Msex2.12290,mRpL19
Msex2.12292,Taf12
Msex2.12294,CG14715
Msex2.12295,Alg2
Msex2.12296,obe
Msex2.12297,nSyb
Msex2.12298,CG45060
Msex2.14667,CG4186
Msex2.14197,Ork1
Msex2.14196,NoSymbolFound
Msex2.14192,Obp73a
Msex2.14668,CG7102
Msex2.05856,koko
Msex2.05857,Pka-R2
Msex2.05854,Cyp49a1
Msex2.05855,Galphao
Msex2.05852,Irbp
Msex2.11019,puf
Msex2.05851,amx
Msex2.11017,CG13604
Msex2.11016,CG7637
Msex2.11015,mr
Msex2.05858,CG7099
Msex2.05859,Sema1a
Msex2.09569,CG31886
Msex2.01659,CG11257
Msex2.08767,CG13287
Msex2.12355,TrpRS
Msex2.04103,MBD-R2
Msex2.04102,Prosbeta1
Msex2.04101,hb
Msex2.04459,Coq3
Msex2.04106,mRpS14
Msex2.04105,RpLP1
Msex2.04104,CG12241
Msex2.04454,CG18278
Msex2.04456,Spt3
Msex2.04451,bonsai
Msex2.04450,Dlish
Msex2.04453,Snm1
Msex2.04452,Tango5
Msex2.05500,CG9911
Msex2.00753,Lsd-1
Msex2.05502,DNApol-delta
Msex2.05503,cv-2
Msex2.05504,TpnC47D
Msex2.05505,fu
Msex2.05506,Cyp18a1
Msex2.00755,CG3534
Msex2.05509,phm
Msex2.00758,AP-1sigma
Msex2.00759,Lsd-2
Msex2.08106,beta-Man
Msex2.08105,CG2698
Msex2.08102,CG16779
Msex2.08101,Stt3B
Msex2.08100,CG9467
Msex2.08108,Cyp6a14
Msex2.10638,kz
Msex2.10630,glu
Msex2.10632,Gint3
Msex2.01272,pkaap
Msex2.03289,ths
Msex2.03288,CG13197
Msex2.11905,CG31635
Msex2.11906,Grip
Msex2.03287,CG13901
Msex2.03286,CG11563
Msex2.09214,Pde1c
Msex2.03282,CG8369
Msex2.09219,CG31743
Msex2.09749,smg
Msex2.07902,CG6428
Msex2.12903,Dh44-R2
Msex2.07906,PpD3
Msex2.07904,Ppi1
Msex2.07905,Desi
Msex2.06369,Arp3
Msex2.06368,Dscam4
Msex2.06361,CG3651
Msex2.06360,frm
Msex2.06365,nompA
Msex2.06364,Fpps
Msex2.06367,CG7741
Msex2.06366,NELF-B
Msex2.12845,CG14232
Msex2.12844,CG3156
Msex2.12846,Nprl3
Msex2.12843,PPP4R2r
Msex2.12848,beta4GalNAcTB
Msex2.13465,Dop2R
Msex2.13466,CG7720
Msex2.13461,pn
Msex2.13463,CG15706
Msex2.12596,Sox14
Msex2.12594,CG30428
Msex2.12593,CG7420
Msex2.12592,CG9586
Msex2.12591,Prosalpha4
Msex2.10834,modSP
Msex2.07019,CG5026
Msex2.07012,CG6295
Msex2.07013,CG11050
Msex2.07014,CG17931
Msex2.07015,tun
Msex2.07016,CG5188
Msex2.07017,Cdc2rk
Msex2.09928,stum
Msex2.02620,spd-2
Msex2.02621,gus
Msex2.02623,ham
Msex2.02627,Pgant3
Msex2.03865,CG42326
Msex2.01247,side
Msex2.03867,Hdc
Msex2.03866,NoSymbolFound
Msex2.03861,CG13744
Msex2.03860,Cht2
Msex2.01246,Nrx-1
Msex2.04150,kek5
Msex2.12331,CG14322
Msex2.12330,NoSymbolFound
Msex2.12337,CG31648
Msex2.06565,dod
Msex2.12335,psq
Msex2.04403,CG5599
Msex2.04668,Rac1
Msex2.04669,mof
Msex2.04152,Graf
Msex2.09923,CG6236
Msex2.01243,prel
Msex2.04666,su(r)
Msex2.04667,FucTB
Msex2.04664,Mipp1
Msex2.04665,Sin
Msex2.02998,CG18549
Msex2.02999,RhoGAP92B
Msex2.01241,alph
Msex2.02993,Ire1
Msex2.06292,NoSymbolFound
Msex2.02997,CG7506
Msex2.02994,CG43783
Msex2.02444,Gyc89Db
Msex2.02446,CG4230
Msex2.02447,tpr
Msex2.02441,CG13321
Msex2.02449,escl
Msex2.13882,CG16952
Msex2.04598,p120ctn
Msex2.04596,Cnot4
Msex2.04597,lgs
Msex2.14276,stan
Msex2.00109,CG43191
Msex2.00106,128up
Msex2.00104,pdm3
Msex2.00103,Ptpmeg
Msex2.00100,CG3277
Msex2.03719,Nup188
Msex2.03718,stau
Msex2.08379,CG4646
Msex2.03713,Ir21a
Msex2.03711,Mef2
Msex2.08370,CG8336
Msex2.03716,Pask
Msex2.08372,PIG-B
Msex2.03714,Cda5
Msex2.09423,Spf45
Msex2.09422,gwl
Msex2.09352,Acph-1
Msex2.09427,CG12773
Msex2.09426,DIP-zeta
Msex2.09425,Obp83a
Msex2.04849,NoSymbolFound
Msex2.04846,alphaTub84B
Msex2.04847,CG8547
Msex2.09429,CG17454
Msex2.09428,KCNQ
Msex2.04843,mon2
Msex2.04841,Wnk
Msex2.11733,CLS
Msex2.11730,Gnpnat
Msex2.11731,CIA30
Msex2.11736,Marc
Msex2.11737,DNApol-alpha73
Msex2.11734,CG5270
Msex2.11735,Srp14
Msex2.11220,CG8878
Msex2.13685,Madm
Msex2.08598,asf1
Msex2.08591,hrm
Msex2.08593,CG8508
Msex2.08595,Cpsf5
Msex2.08597,CG31342
Msex2.06629,Mmp2
Msex2.06998,mRpL53
Msex2.06999,eIF3e
Msex2.06624,NoSymbolFound
Msex2.06997,AGO1
Msex2.06994,shn
Msex2.06995,Rpn13
Msex2.06621,Lis-1
Msex2.06622,Slmap
Msex2.06991,nmdyn-D7
Msex2.07570,Ance-3
Msex2.07576,NimB2
Msex2.07575,NimA
Msex2.05718,TBCD
Msex2.05714,Eglp4
Msex2.05716,CG15439
Msex2.05713,NoSymbolFound
Msex2.11773,Hml
Msex2.11087,Sod3
Msex2.06196,CG7889
Msex2.06197,CG5131
Msex2.06194,CG17005
Msex2.06195,CG31156
Msex2.01416,ND-MNLL
Msex2.06193,Ack
Msex2.01414,bab2
Msex2.01415,Not1
Msex2.10173,NoSymbolFound
Msex2.10170,Npc2e
Msex2.10176,CG6910
Msex2.10175,su(w[a])
Msex2.06199,CG13375
Msex2.07717,mRpL41
Msex2.07716,CG10428
Msex2.07715,AGBE
Msex2.07714,Rim2
Msex2.07713,Tap42
Msex2.07710,CG16812
Msex2.07718,CG33156
Msex2.08909,gzl
Msex2.08907,TfIIFalpha
Msex2.08906,CG4069
Msex2.08905,dlp
Msex2.08903,Gs1l
Msex2.08902,ND-B8
Msex2.08901,SCCRO
Msex2.08900,GluRS-m
Msex2.13675,Tsp3A
Msex2.13677,CG11127
Msex2.13678,p47
Msex2.09357,epsilonCOP
Msex2.02291,Samuel
Msex2.02290,CG2121
Msex2.02294,aay
Msex2.02297,Prp8
Msex2.02296,CG8366
Msex2.02299,CG30259
Msex2.02298,RPA3
Msex2.00929,Argk
Msex2.00928,Chrac-16
Msex2.00921,CG7791
Msex2.00920,Cul4
Msex2.00923,PIG-Z
Msex2.00922,HDAC6
Msex2.00925,NoSymbolFound
Msex2.00924,CG2906
Msex2.00926,Zcchc7
Msex2.12101,CG8188
Msex2.12109,Lcch3
Msex2.09746,CG2556
Msex2.02878,dpr20
Msex2.02874,Smn
Msex2.02876,tinc
Msex2.02871,CG17829
Msex2.02870,Prps
Msex2.02873,CG14223
Msex2.03476,Svil
Msex2.03470,CG16896
Msex2.11031,CG43066
Msex2.11030,msi
Msex2.11033,kappaB-Ras
Msex2.11034,Dpm1
Msex2.11036,Pgi
Msex2.11039,Fen1
Msex2.01678,Nplp1
Msex2.08297,shd
Msex2.08747,morgue
Msex2.08294,asl
Msex2.08293,CG6415
Msex2.08292,CG9288
Msex2.08291,CG9297
Msex2.08742,CG17985
Msex2.08749,Sgf29
Msex2.08748,Pabp2
Msex2.08299,aurB
Msex2.08298,Gip
Msex2.11653,La
Msex2.04437,sob
Msex2.04124,CG15497
Msex2.04435,AGO3
Msex2.04434,NoSymbolFound
Msex2.04433,spz3
Msex2.04120,CG14661
Msex2.04431,CG7778
Msex2.04122,CG3246
Msex2.04129,Archease
Msex2.04128,DCTN3-p24
Msex2.04439,bowl
Msex2.00736,CG31550
Msex2.00737,Su(Tpl)
Msex2.00731,CG33158
Msex2.00732,dsx-c73A
Msex2.00733,aos
Msex2.11695,CG32091
Msex2.08120,CG2100
Msex2.08123,Atg10
Msex2.11696,RIOK1
Msex2.08125,SpdS
Msex2.11692,Cpr50Ca
Msex2.10616,CG1218
Msex2.10341,CG5056
Msex2.10342,CG18815
Msex2.10343,NoSymbolFound
Msex2.10344,Rnf146
Msex2.10613,ras
Msex2.10610,SH3PX1
Msex2.10618,NoSymbolFound
Msex2.10619,Ranbp21
Msex2.11654,ast
Msex2.11967,RpL4
Msex2.09255,Wdr59
Msex2.11962,Rtf1
Msex2.09467,Gle1
Msex2.00274,CycB3
Msex2.05528,Mp
Msex2.05529,SmydA-5
Msex2.04884,Smyd3
Msex2.05523,axo
Msex2.05520,CG7246
Msex2.05521,Mtch
Msex2.09257,dysc
Msex2.05525,RhoGEF64C
Msex2.01061,CG4998
Msex2.01066,CG13059
Msex2.09858,kay
Msex2.01051,hdm
Msex2.09651,CG7829
Msex2.03142,Wdr82
Msex2.12927,CG2991
Msex2.07967,NoSymbolFound
Msex2.07960,DIP-delta
Msex2.03140,kis
Msex2.00503,CG13842
Msex2.00501,APP-BP1
Msex2.03415,GluRIB
Msex2.06383,Prosalpha3
Msex2.06382,Use1
Msex2.06381,Pal2
Msex2.00500,Naa30A
Msex2.03416,CG1764
Msex2.06389,CDase
Msex2.06388,loh
Msex2.13198,Atg6
Msex2.13199,Six4
Msex2.14379,CG11125
Msex2.00505,Prosbeta4
Msex2.02943,CG16868
Msex2.01336,Awh
Msex2.02942,Larp7
Msex2.02947,CG2931
Msex2.08450,Sym
Msex2.07388,Ctr9
