GeneName	Orthologs	GeneSymbolOrthologs	Dmel_paralogs	GeneSymbolDmel_paralogs	ParalogsThatHaveOrthologs	GeneSymbolParalogs
AGAP004748	FBgn0052267	CG32267	NoParalogs	-	NoNeedOfParalogs	NULL
AGAP004749	FBgn0021944	Coprox	NoParalogs	-	NoNeedOfParalogs	NULL
AGAP004750	FBgn0010488	NAT1	NoParalogs	-	NoNeedOfParalogs	NULL
AGAP004751	FBgn0051989	Cap-D3	NoParalogs	-	NoNeedOfParalogs	NULL
AGAP004752	FBgn0025629	CG4045	NoParalogs	-	NoNeedOfParalogs	NULL
AGAP004753	FBgn0031886	Nuf2	NoParalogs	-	NoNeedOfParalogs	NULL
AGAP004754	FBgn0026404	Dronc	NoParalogs	-	NoNeedOfParalogs	NULL
AGAP004755	FBgn0086785	Vps36	NoParalogs	-	NoNeedOfParalogs	NULL
AGAP004756	FBgn0053969	CG33969	NoParalogs	-	NoNeedOfParalogs	NULL
AGAP013546	FBgn0036998	CG5969	NoParalogs	-	NoNeedOfParalogs	NULL
AGAP004757	FBgn0036330	CG11263	NoParalogs	-	NoNeedOfParalogs	NULL
AGAP004758	FBgn0033886	Rpn13	NoParalogs	-	NoNeedOfParalogs	NULL
AGAP004759	FBgn0039115	CG10214	NoParalogs	-	NoNeedOfParalogs	NULL
AGAP004760	NoDirectOrtholog	NULL	-	-	NoParalogsFound	-
AGAP004761	FBgn0264272	mwh	NoParalogs	-	NoNeedOfParalogs	NULL
AGAP004762	NoDirectOrtholog	NULL	-	-	NoParalogsFound	-
AGAP004763	NoDirectOrtholog	NULL	-	-	NoParalogsFound	-
AGAP004764	NoDirectOrtholog	NULL	-	-	NoParalogsFound	-
AGAP004765	FBgn0015075	Ddx1	NoParalogs	-	NoNeedOfParalogs	NULL
AGAP028129	FBgn0037156	CG11523	NoParalogs	-	NoNeedOfParalogs	NULL
AGAP004766	FBgn0038659	EndoA	NoParalogs	-	NoNeedOfParalogs	NULL
AGAP004767	FBgn0011236	ken	NoParalogs	-	NoNeedOfParalogs	NULL
AGAP004768	FBgn0263510	nclb	NoParalogs	-	NoNeedOfParalogs	NULL
AGAP004769	FBgn0025806	NoSymbolFound	NoParalogs	-	NoNeedOfParalogs	NULL
AGAP004770	NoDirectOrtholog	NULL	-	-	NoParalogsFound	-
AGAP004771	NoDirectOrtholog	NULL	-	-	NoParalogsFound	-
AGAP004772	NoDirectOrtholog	NULL	-	-	NoParalogsFound	-
AGAP004773	NoDirectOrtholog	NULL	-	-	NoParalogsFound	-
AGAP004774	FBgn0039904	Hcf	NoParalogs	-	NoNeedOfParalogs	NULL
AGAP004775	FBgn0000455	Dip-C	NoParalogs	-	NoNeedOfParalogs	NULL
AGAP004776	FBgn0039626	Slu7	NoParalogs	-	NoNeedOfParalogs	NULL
AGAP004777	NoDirectOrtholog	NULL	-	-	NoParalogsFound	-
AGAP004778	NoDirectOrtholog	NULL	-	-	NoParalogsFound	-
AGAP004780	FBgn0037093	Cdk12	NoParalogs	-	NoNeedOfParalogs	NULL
AGAP004781	FBgn0027538	beta4GalNAcTA	NoParalogs	-	NoNeedOfParalogs	NULL
AGAP004782	FBgn0027509	TBCD	NoParalogs	-	NoNeedOfParalogs	NULL
AGAP004783	NoDirectOrtholog	NULL	-	-	NoParalogsFound	-
AGAP004784	NoDirectOrtholog	NULL	-	-	NoParalogsFound	-
AGAP004785	NoDirectOrtholog	NULL	-	-	NoParalogsFound	-
AGAP004786	NoDirectOrtholog	NULL	-	-	NoParalogsFound	-
AGAP004787	NoDirectOrtholog	NULL	-	-	NoParalogsFound	-
AGAP004788	FBgn0083167	Neb-cGP	NoParalogs	-	NoNeedOfParalogs	NULL
AGAP004789	FBgn0026582	Hmg-2	NoParalogs	-	NoNeedOfParalogs	NULL
AGAP004790	NoDirectOrtholog	NULL	-	-	FBgn0083167	Neb-cGP
AGAP004791	NoDirectOrtholog	NULL	-	-	FBgn0026582	Hmg-2
AGAP004792	FBgn0032513	CG6565	NoParalogs	-	NoNeedOfParalogs	NULL
AGAP004793	FBgn0022774	Oat	NoParalogs	-	NoNeedOfParalogs	NULL
AGAP004794	NoDirectOrtholog	NULL	-	-	NoParalogsFound	-
AGAP004795	FBgn0014037	Su(Tpl)	NoParalogs	-	NoNeedOfParalogs	NULL
AGAP004797	NoDirectOrtholog	NULL	-	-	NoParalogsFound	-
AGAP004798	FBgn0025724	beta'COP	NoParalogs	-	NoNeedOfParalogs	NULL
AGAP004799	NoDirectOrtholog	NULL	-	-	NoParalogsFound	-
AGAP004800	NoDirectOrtholog	NULL	-	-	NoParalogsFound	-
AGAP004801	FBgn0036309	Hip1	NoParalogs	-	NoNeedOfParalogs	NULL
AGAP004802	FBgn0036992	Hpd	NoParalogs	-	NoNeedOfParalogs	NULL
AGAP004803	NoDirectOrtholog	NULL	-	-	NoParalogsFound	-
AGAP004804	FBgn0036406	CG13484	NoParalogs	-	NoNeedOfParalogs	NULL
AGAP004805	FBgn0052138	NoSymbolFound	NoParalogs	-	NoNeedOfParalogs	NULL
AGAP004806	NoDirectOrtholog	NULL	-	-	NoParalogsFound	-
AGAP004807	NoDirectOrtholog	NULL	-	-	NoParalogsFound	-
AGAP004808	NoDirectOrtholog	NULL	-	-	NoParalogsFound	-
AGAP004809	FBgn0051233	CG31233	NoParalogs	-	NoNeedOfParalogs	NULL
AGAP004810	NoDirectOrtholog	NULL	-	-	NoParalogsFound	-
AGAP004811	NoDirectOrtholog	NULL	-	-	NoParalogsFound	-
AGAP004812	FBgn0036053	iPLA2-VIA	NoParalogs	-	NoNeedOfParalogs	NULL
AGAP004813	NoDirectOrtholog	NULL	-	-	NoParalogsFound	-
AGAP004814	FBgn0040842	CG15212	NoParalogs	-	NoNeedOfParalogs	NULL
AGAP004815	NoDirectOrtholog	NULL	-	-	HasParalogButNoChanceOfOrthologOfParalogs	NULL
AGAP004816	NoDirectOrtholog	NULL	-	-	FBgn0036893	PIG-F
AGAP004817	FBgn0020279	lig	NoParalogs	-	NoNeedOfParalogs	NULL
AGAP004818	FBgn0033907	mRpS16	NoParalogs	-	NoNeedOfParalogs	NULL
AGAP004819	FBgn0033906	ReepB	NoParalogs	-	NoNeedOfParalogs	NULL
AGAP004820	FBgn0025630	Rtca	NoParalogs	-	NoNeedOfParalogs	NULL
AGAP004823	FBgn0014388	sty	NoParalogs	-	NoNeedOfParalogs	NULL
AGAP004824	FBgn0026259	eIF5B	NoParalogs	-	NoNeedOfParalogs	NULL
AGAP004825	FBgn0027500	spd-2	NoParalogs	-	NoNeedOfParalogs	NULL
AGAP004826	NoDirectOrtholog	NULL	-	-	NoParalogsFound	-
AGAP004827	FBgn0028496	CG30116	NoParalogs	-	NoNeedOfParalogs	NULL
AGAP004828	FBgn0033578	BBS4	NoParalogs	-	NoNeedOfParalogs	NULL
AGAP004829	FBgn0033579	CG13229	NoParalogs	-	NoNeedOfParalogs	NULL
AGAP004830	FBgn0033581	CG12391	NoParalogs	-	NoNeedOfParalogs	NULL
AGAP004831	NoDirectOrtholog	NULL	-	-	NoParalogsFound	-
AGAP004832	NoDirectOrtholog	NULL	-	-	NoParalogsFound	-
AGAP004833	FBgn0027587	Prp4k	NoParalogs	-	NoNeedOfParalogs	NULL
AGAP004834	FBgn0034267	CG4984	NoParalogs	-	NoNeedOfParalogs	NULL
AGAP004835	FBgn0035086	CG12851	NoParalogs	-	NoNeedOfParalogs	NULL
AGAP004836	NoDirectOrtholog	NULL	-	-	NoParalogsFound	-
AGAP004837	FBgn0035087	CG2765	NoParalogs	-	NoNeedOfParalogs	NULL
AGAP004838	FBgn0033209	CG12107	NoParalogs	-	NoNeedOfParalogs	NULL
AGAP004839	FBgn0033208	mRpL52	NoParalogs	-	NoNeedOfParalogs	NULL
AGAP004840	FBgn0035760	CG8607	NoParalogs	-	NoNeedOfParalogs	NULL
AGAP004841	FBgn0033212	LRR	NoParalogs	-	NoNeedOfParalogs	NULL
AGAP004842	FBgn0050493	Coq9	NoParalogs	-	NoNeedOfParalogs	NULL
AGAP004843	FBgn0050496	CG30496	NoParalogs	-	NoNeedOfParalogs	NULL
AGAP004844	FBgn0033266	Socs44A	NoParalogs	-	NoNeedOfParalogs	NULL
AGAP004845	FBgn0035091	CG3829	NoParalogs	-	NoNeedOfParalogs	NULL
AGAP004846	FBgn0010435	emp	NoParalogs	-	NoNeedOfParalogs	NULL
AGAP004847	NoDirectOrtholog	NULL	-	-	NoParalogsFound	-
AGAP004848	FBgn0034948	PPP1R15	NoParalogs	-	NoNeedOfParalogs	NULL
AGAP004849	FBgn0037878	CG6693	NoParalogs	-	NoNeedOfParalogs	NULL
AGAP004850	FBgn0024836	stan	NoParalogs	-	NoNeedOfParalogs	NULL
AGAP004851	FBgn0035325	CG13806	NoParalogs	-	NoNeedOfParalogs	NULL
AGAP004852	FBgn0263391	hts	NoParalogs	-	NoNeedOfParalogs	NULL
AGAP004853	FBgn0034158	CG5522	NoParalogs	-	NoNeedOfParalogs	NULL
AGAP004854	FBgn0031759	lid	NoParalogs	-	NoNeedOfParalogs	NULL
AGAP004855	NoDirectOrtholog	NULL	-	-	NoParalogsFound	-
AGAP004856	FBgn0039489	CG5880	NoParalogs	-	NoNeedOfParalogs	NULL
AGAP029106	geneIDnotMapped	-	-	-	-	-
AGAP004859	NoDirectOrtholog	NULL	-	-	NoParalogsFound	-
AGAP004860	NoDirectOrtholog	NULL	-	-	NoParalogsFound	-
AGAP004861	FBgn0035936	Tsp66E	NoParalogs	-	NoNeedOfParalogs	NULL
AGAP004862	NoDirectOrtholog	NULL	-	-	NoParalogsFound	-
AGAP004863	FBgn0035934	TrpA1	NoParalogs	-	NoNeedOfParalogs	NULL
AGAP004864	FBgn0004401	Pep	NoParalogs	-	NoNeedOfParalogs	NULL
AGAP004865	FBgn0034046	tun	NoParalogs	-	NoNeedOfParalogs	NULL
AGAP004866	FBgn0082831	pps	NoParalogs	-	NoNeedOfParalogs	NULL
AGAP004867	NoDirectOrtholog	NULL	-	-	NoParalogsFound	-
AGAP004868	FBgn0034345	CG5174	NoParalogs	-	NoNeedOfParalogs	NULL
AGAP004869	NoDirectOrtholog	NULL	-	-	NoParalogsFound	-
AGAP004870	FBgn0020370	TppII	NoParalogs	-	NoNeedOfParalogs	NULL
AGAP004871	FBgn0260657	CG42540	NoParalogs	-	NoNeedOfParalogs	NULL
AGAP004872	FBgn0035928	CG13310	NoParalogs	-	NoNeedOfParalogs	NULL
AGAP004873	FBgn0266084	Fhos	NoParalogs	-	NoNeedOfParalogs	NULL
AGAP004874	NoDirectOrtholog	NULL	-	-	NoParalogsFound	-
AGAP004875	FBgn0040828	CG13306	NoParalogs	-	NoNeedOfParalogs	NULL
AGAP004876	NoDirectOrtholog	NULL	-	-	NoParalogsFound	-
AGAP004877	FBgn0003149	Prm	NoParalogs	-	NoNeedOfParalogs	NULL
AGAP004878	FBgn0261801	CG42747	NoParalogs	-	NoNeedOfParalogs	NULL
AGAP004879	NoDirectOrtholog	NULL	-	-	NoParalogsFound	-
AGAP004880	FBgn0001258	Ldh	NoParalogs	-	NoNeedOfParalogs	NULL
AGAP004881	FBgn0035696	Best2	NoParalogs	-	NoNeedOfParalogs	NULL
AGAP004882	FBgn0035622	TM9SF3	NoParalogs	-	NoNeedOfParalogs	NULL
AGAP004883	NoDirectOrtholog	NULL	-	-	NoParalogsFound	-
AGAP004884	FBgn0033757	muskelin	NoParalogs	-	NoNeedOfParalogs	NULL
AGAP004885	FBgn0033100	CG3420	NoParalogs	-	NoNeedOfParalogs	NULL
AGAP004886	FBgn0027066	Eb1	NoParalogs	-	NoNeedOfParalogs	NULL
AGAP004887	FBgn0005533	RpS17	NoParalogs	-	NoNeedOfParalogs	NULL
AGAP004888	FBgn0036031	CG6761	NoParalogs	-	NoNeedOfParalogs	NULL
AGAP004889	FBgn0015321	Ubc4	NoParalogs	-	NoNeedOfParalogs	NULL
AGAP004890	FBgn0036030	Prps	NoParalogs	-	NoNeedOfParalogs	NULL
AGAP004891	FBgn0036028	CG16717	NoParalogs	-	NoNeedOfParalogs	NULL
AGAP004892	FBgn0016081	fry	NoParalogs	-	NoNeedOfParalogs	NULL
AGAP004893	NoDirectOrtholog	NULL	-	-	NoParalogsFound	-
AGAP004894	NoDirectOrtholog	NULL	-	-	HasParalogButNoOrthologOfParalogs	NULL
AGAP004895	FBgn0037788	CAH7	NoParalogs	-	NoNeedOfParalogs	NULL
AGAP004896	FBgn0262685	CG43155	NoParalogs	-	NoNeedOfParalogs	NULL
AGAP004897	NoDirectOrtholog	NULL	-	-	NoParalogsFound	-
AGAP004899	FBgn0031548	CG8852	NoParalogs	-	NoNeedOfParalogs	NULL
AGAP028438	geneIDnotMapped	-	-	-	-	-
AGAP004900	NoDirectOrtholog	NULL	-	-	NoParalogsFound	-
AGAP004901	NoDirectOrtholog	NULL	-	-	NoParalogsFound	-
AGAP004902	FBgn0265296	Dscam2	NoParalogs	-	NoNeedOfParalogs	NULL
AGAP004903	FBgn0035805	CG7506	NoParalogs	-	NoNeedOfParalogs	NULL
AGAP004904	FBgn0000261	Cat	NoParalogs	-	NoNeedOfParalogs	NULL
AGAP004905	FBgn0013799	Deaf1	NoParalogs	-	NoNeedOfParalogs	NULL
AGAP004906	FBgn0037715	CG9399	NoParalogs	-	NoNeedOfParalogs	NULL
AGAP004907	FBgn0011277	HLH4C	NoParalogs	-	NoNeedOfParalogs	NULL
AGAP004908	FBgn0025613	CG3081	NoParalogs	-	NoNeedOfParalogs	NULL
AGAP004909	FBgn0037880	CG17726	NoParalogs	-	NoNeedOfParalogs	NULL
AGAP004910	FBgn0037884	Arfip	NoParalogs	-	NoNeedOfParalogs	NULL
AGAP004911	FBgn0261019	moi	NoParalogs	-	NoNeedOfParalogs	NULL
AGAP004912	NoDirectOrtholog	NULL	-	-	NoParalogsFound	-
AGAP004913	NoDirectOrtholog	NULL	-	-	NoParalogsFound	-
AGAP004914	NoDirectOrtholog	NULL	-	-	NoParalogsFound	-
AGAP004915	FBgn0085420	DIP-delta	NoParalogs	-	NoNeedOfParalogs	NULL
AGAP004916	NoDirectOrtholog	NULL	-	-	NoParalogsFound	-
AGAP004917	FBgn0050280	CG30280	NoParalogs	-	NoNeedOfParalogs	NULL
AGAP004918	NoDirectOrtholog	NULL	-	-	NoParalogsFound	-
AGAP028439	geneIDnotMapped	-	-	-	-	-
AGAP004919	FBgn0028697	RpL15	NoParalogs	-	NoNeedOfParalogs	NULL
AGAP004920	NoDirectOrtholog	NULL	-	-	NoParalogsFound	-
AGAP004921	NoDirectOrtholog	NULL	-	-	NoParalogsFound	-
AGAP004922	NoDirectOrtholog	NULL	-	-	NoParalogsFound	-
AGAP004923	FBgn0035604	Ir64a	NoParalogs	-	NoNeedOfParalogs	NULL
AGAP004928	FBgn0052280	CG32280	NoParalogs	-	NoNeedOfParalogs	NULL
AGAP004929	FBgn0050185	AIMP3	NoParalogs	-	NoNeedOfParalogs	NULL
AGAP004930	FBgn0046687	Tre1	NoParalogs	-	NoNeedOfParalogs	NULL
AGAP004931	FBgn0053052	Gorab	NoParalogs	-	NoNeedOfParalogs	NULL
AGAP028394	geneIDnotMapped	-	-	-	-	-
AGAP004932	FBgn0027660	blot	NoParalogs	-	NoNeedOfParalogs	NULL
AGAP004933	FBgn0036096	CG8003	NoParalogs	-	NoNeedOfParalogs	NULL
AGAP004934	FBgn0052226	Pex23	NoParalogs	-	NoNeedOfParalogs	NULL
AGAP004935	NoDirectOrtholog	NULL	-	-	NoParalogsFound	-
AGAP004936	NoDirectOrtholog	NULL	-	-	NoParalogsFound	-
AGAP004937	FBgn0263352	Unr	NoParalogs	-	NoNeedOfParalogs	NULL
AGAP004938	FBgn0033474	CG1407	NoParalogs	-	NoNeedOfParalogs	NULL
AGAP004940	FBgn0022382	Pka-R2	NoParalogs	-	NoNeedOfParalogs	NULL
AGAP004941	NoDirectOrtholog	NULL	-	-	NoParalogsFound	-
AGAP004942	FBgn0262737	mub	NoParalogs	-	NoNeedOfParalogs	NULL
AGAP004943	FBgn0036391	CG17364	NoParalogs	-	NoNeedOfParalogs	NULL
AGAP004944	NoDirectOrtholog	NULL	-	-	NoParalogsFound	-
AGAP004945	FBgn0036133	CG7638	NoParalogs	-	NoNeedOfParalogs	NULL
AGAP004946	FBgn0011771	Hem	NoParalogs	-	NoNeedOfParalogs	NULL
AGAP004947	FBgn0031749	CG14000	NoParalogs	-	NoNeedOfParalogs	NULL
AGAP004948	NoDirectOrtholog	NULL	-	-	NoParalogsFound	-
AGAP004949	NoDirectOrtholog	NULL	-	-	NoParalogsFound	-
AGAP004950	FBgn0264001	bru3	NoParalogs	-	NoNeedOfParalogs	NULL
AGAP004951	NoDirectOrtholog	NULL	-	-	NoParalogsFound	-
AGAP004952	FBgn0036827	CG6843	NoParalogs	-	NoNeedOfParalogs	NULL
AGAP004953	FBgn0027057	CSN1b	NoParalogs	-	NoNeedOfParalogs	NULL
AGAP004954	FBgn0016715	Reg-2	NoParalogs	-	NoNeedOfParalogs	NULL
AGAP004955	FBgn0029514	312	NoParalogs	-	NoNeedOfParalogs	NULL
AGAP004956	FBgn0015929	dpa	NoParalogs	-	NoNeedOfParalogs	NULL
AGAP004957	FBgn0022772	NoSymbolFound	NoParalogs	-	NoNeedOfParalogs	NULL
AGAP004958	FBgn0033187	PIG-G	NoParalogs	-	NoNeedOfParalogs	NULL
AGAP004959	FBgn0013983	imd	NoParalogs	-	NoNeedOfParalogs	NULL
AGAP004960	FBgn0261394	Prosalpha3	NoParalogs	-	NoNeedOfParalogs	NULL
AGAP004961	FBgn0086408	stl	NoParalogs	-	NoNeedOfParalogs	NULL
AGAP004962	NoDirectOrtholog	NULL	-	-	NoParalogsFound	-
AGAP004963	FBgn0000405	CycB	NoParalogs	-	NoNeedOfParalogs	NULL
AGAP004964	NoDirectOrtholog	NULL	-	-	HasParalogButNoChanceOfOrthologOfParalogs	NULL
AGAP004965	FBgn0034726	Mes4	NoParalogs	-	NoNeedOfParalogs	NULL
AGAP028425	geneIDnotMapped	-	-	-	-	-
AGAP004968	FBgn0034978	CG3257	NoParalogs	-	NoNeedOfParalogs	NULL
AGAP004969	FBgn0036829	Ir75d	NoParalogs	-	NoNeedOfParalogs	NULL
AGAP004970	NoDirectOrtholog	NULL	-	-	NoParalogsFound	-
AGAP004971	NoDirectOrtholog	NULL	-	-	NoParalogsFound	-
AGAP004972	FBgn0003023	otu	NoParalogs	-	NoNeedOfParalogs	NULL
AGAP004973	NoDirectOrtholog	NULL	-	-	FBgn0003023	otu
AGAP004974	FBgn0041621	Or82a	NoParalogs	-	NoNeedOfParalogs	NULL
AGAP004975	NoDirectOrtholog	NULL	-	-	NoParalogsFound	-
AGAP004976	NoDirectOrtholog	NULL	-	-	NoParalogsFound	-
AGAP004977	NoDirectOrtholog	NULL	-	-	NoParalogsFound	-
AGAP004978	NoDirectOrtholog	NULL	-	-	NoParalogsFound	-
AGAP004979	NoDirectOrtholog	NULL	-	-	HasParalogButNoOrthologOfParalogs	NULL
AGAP004980	NoDirectOrtholog	NULL	-	-	HasParalogButNoChanceOfOrthologOfParalogs	NULL
AGAP004981	NoDirectOrtholog	NULL	-	-	NoParalogsFound	-
AGAP004982	FBgn0035047	Pof	NoParalogs	-	NoNeedOfParalogs	NULL
AGAP004983	FBgn0261373	CG33228	NoParalogs	-	NoNeedOfParalogs	NULL
AGAP004984	FBgn0037809	CG12818	NoParalogs	-	NoNeedOfParalogs	NULL
AGAP004985	FBgn0023519	mRpL16	NoParalogs	-	NoNeedOfParalogs	NULL
AGAP004986	FBgn0036745	CG7484	NoParalogs	-	NoNeedOfParalogs	NULL
AGAP004987	NoDirectOrtholog	NULL	-	-	NoParalogsFound	-
AGAP004988	FBgn0036106	CG6409	NoParalogs	-	NoNeedOfParalogs	NULL
AGAP004989	FBgn0000017	Abl	NoParalogs	-	NoNeedOfParalogs	NULL
AGAP004990	FBgn0262732	mbf1	NoParalogs	-	NoNeedOfParalogs	NULL
AGAP004991	FBgn0002284	Prosbeta6	NoParalogs	-	NoNeedOfParalogs	NULL
AGAP004992	FBgn0004465	Su(P)	NoParalogs	-	NoNeedOfParalogs	NULL
AGAP004993	FBgn0002526	LanA	NoParalogs	-	NoNeedOfParalogs	NULL
AGAP004994	NoDirectOrtholog	NULL	-	-	NoParalogsFound	-
AGAP004995	NoDirectOrtholog	NULL	-	-	NoParalogsFound	-
AGAP004996	NoDirectOrtholog	NULL	-	-	NoParalogsFound	-
AGAP004997	NoDirectOrtholog	NULL	-	-	NoParalogsFound	-
AGAP004998	FBgn0034160	CG5550	NoParalogs	-	NoNeedOfParalogs	NULL
AGAP004999	NoDirectOrtholog	NULL	-	-	HasParalogButNoChanceOfOrthologOfParalogs	NULL
AGAP005000	FBgn0035453	CG10357	NoParalogs	-	NoNeedOfParalogs	NULL
AGAP005001	FBgn0053696	CNMaR	NoParalogs	-	NoNeedOfParalogs	NULL
AGAP005002	NoDirectOrtholog	NULL	-	-	NoParalogsFound	-
AGAP005003	FBgn0036299	Tsf2	NoParalogs	-	NoNeedOfParalogs	NULL
AGAP005004	FBgn0261477	slim	NoParalogs	-	NoNeedOfParalogs	NULL
AGAP005005	FBgn0050118	NoSymbolFound	NoParalogs	-	NoNeedOfParalogs	NULL
AGAP005006	FBgn0034572	CG9346	NoParalogs	-	NoNeedOfParalogs	NULL
