7165:000000 AGAP000002
7165:0000ea AGAP000271
7165:0000eb AGAP000272
7165:0000ec AGAP000273
7165:0000ed AGAP000274
7165:0000ee AGAP000275
7165:0000ef AGAP000277
7165:0000f0 AGAP000278
7165:0000f1 AGAP000279
7165:0000f2 AGAP000280
7165:0000f3 AGAP000281
7165:0000f4 AGAP000283
7165:0000f5 AGAP000284
7165:0000f6 AGAP000285
7165:0000f7 AGAP000286
7165:0000f8 AGAP000287
7165:0000f9 AGAP000288
7165:0000fa AGAP000289
7165:0000fb AGAP000290
7165:0000fc AGAP000291
7165:0000fd AGAP000292
7165:0000fe AGAP000293
7165:0000ff AGAP000294
7165:000100 AGAP000295
7165:000101 AGAP000296
7165:000102 AGAP000297
7165:000103 AGAP000298
7165:000104 AGAP000299
7165:000105 AGAP000300
7165:000106 AGAP000301
7165:000107 AGAP000303
7165:000108 AGAP000304
7165:000109 AGAP000305
7165:00010a AGAP000306
7165:00010b AGAP000307
7165:00010c AGAP000308
7165:00010d AGAP000309
7165:00010e AGAP000310
7165:00010f AGAP000311
7165:000110 AGAP000312
7165:000111 AGAP000313
7165:000112 AGAP000314
7165:000113 AGAP000315
7165:000114 AGAP000316
7165:000115 AGAP000317
7165:000116 AGAP000319
7165:000117 AGAP000320
7165:000118 AGAP000321
7165:000119 AGAP000322
7165:00011a AGAP000323
7165:00011b AGAP000324
7165:00011c AGAP000325
7165:00011d AGAP000326
7165:00011e AGAP000327
7165:00011f AGAP000328
7165:000120 AGAP000329
7165:000121 AGAP000330
7165:000122 AGAP000331
7165:000123 AGAP000332
7165:000124 AGAP000334
7165:000125 AGAP000336
7165:000126 AGAP000337
7165:000127 AGAP000338
7165:000128 AGAP000339
7165:000129 AGAP000340
7165:00012a AGAP000341
7165:00012b AGAP000342
7165:00012c AGAP000343
7165:00012d AGAP000344
7165:00012e AGAP000345
7165:00012f AGAP000346
7165:000130 AGAP000347
7165:000131 AGAP000348
7165:000132 AGAP000349
7165:000133 AGAP000351
7165:000134 AGAP000352
7165:000135 AGAP000354
7165:000136 AGAP000355
7165:000137 AGAP000356
7165:000138 AGAP000357
7165:000139 AGAP000358
7165:00013a AGAP000359
7165:00013b AGAP000360
7165:00013c AGAP000361
7165:00013d AGAP000363
7165:00013e AGAP000364
7165:00013f AGAP000365
7165:000140 AGAP000366
7165:000141 AGAP000367
7165:000142 AGAP000368
7165:000143 AGAP000369
7165:000144 AGAP000372
7165:000145 AGAP000374
7165:000146 AGAP000375
7165:000147 AGAP000376
7165:000148 AGAP000377
7165:000149 AGAP000378
7165:00014a AGAP000379
7165:00014b AGAP000380
7165:00014c AGAP000382
7165:00014d AGAP000383
7165:00014e AGAP000384
7165:00014f AGAP000385
7165:000150 AGAP000386
7165:000151 AGAP000387
7165:000152 AGAP000388
7165:000153 AGAP000389
7165:000154 AGAP000390
7165:000155 AGAP000391
7165:000156 AGAP000392
7165:000157 AGAP000393
7165:000158 AGAP000394
7165:000159 AGAP000395
7165:00015a AGAP000396
7165:00015b AGAP000397
7165:00015c AGAP000398
7165:00015d AGAP000399
7165:00015e AGAP000400
7165:00015f AGAP000401
7165:000160 AGAP000402
7165:000161 AGAP000403
7165:000162 AGAP000405
7165:000163 AGAP000406
7165:000164 AGAP000407
7165:000165 AGAP000408
7165:000166 AGAP000410
7165:000167 AGAP000411
7165:000168 AGAP000412
7165:000169 AGAP000413
7165:00016a AGAP000414
7165:00016b AGAP000415
7165:00016c AGAP000416
7165:00016d AGAP000417
7165:00016e AGAP000418
7165:00016f AGAP000419
7165:000170 AGAP000420
7165:000171 AGAP000421
7165:000172 AGAP000422
7165:000173 AGAP000423
7165:000174 AGAP000424
7165:000175 AGAP000425
7165:000176 AGAP000426
7165:000177 AGAP000427
7165:000178 AGAP000428
7165:000179 AGAP000429
7165:00017a AGAP000430
7165:00017b AGAP000431
7165:00017c AGAP000432
7165:00017d AGAP000433
7165:00017e AGAP000434
7165:00017f AGAP000436
7165:000180 AGAP000437
7165:000181 AGAP000438
7165:000182 AGAP000439
7165:000183 AGAP000440
7165:000184 AGAP000441
7165:000185 AGAP000442
7165:000186 AGAP000443
7165:000187 AGAP000444
7165:000188 AGAP000445
7165:000189 AGAP000446
7165:00018a AGAP000447
7165:00018b AGAP000448
7165:00018c AGAP000449
7165:00018d AGAP000452
7165:00018e AGAP000453
7165:00018f AGAP000454
7165:000190 AGAP000456
7165:000191 AGAP000457
7165:000192 AGAP000458
7165:000193 AGAP000460
7165:000194 AGAP000461
7165:000195 AGAP000462
7165:000196 AGAP000463
7165:000197 AGAP000466
7165:000198 AGAP000467
7165:000199 AGAP000468
7165:00019a AGAP000469
7165:00019b AGAP000470
7165:00019c AGAP000471
7165:00019d AGAP000472
7165:00019e AGAP000473
7165:00019f AGAP000474
7165:0001a0 AGAP000475
7165:0001a1 AGAP000476
7165:0001a2 AGAP000477
7165:0001a3 AGAP000478
7165:0001a4 AGAP000479
7165:0001a5 AGAP000480
7165:0001a6 AGAP000481
7165:0001a7 AGAP000482
7165:0001a8 AGAP000483
7165:0001a9 AGAP000484
7165:0001aa AGAP000485
7165:0001ab AGAP000488
7165:0001ac AGAP000489
7165:0001ad AGAP000491
7165:0001ae AGAP000492
7165:0001af AGAP000493
7165:0001b0 AGAP000494
7165:0001b1 AGAP000495
7165:0001b2 AGAP000496
7165:0001b3 AGAP000497
7165:0001b4 AGAP000498
7165:0001b5 AGAP000499
7165:0001b6 AGAP000500
7165:0001b7 AGAP000501
7165:0001b8 AGAP000502
7165:0001b9 AGAP000504
7165:0001ba AGAP000506
7165:0001bb AGAP000507
7165:0001bc AGAP000508
7165:0001bd AGAP000509
7165:0001be AGAP000512
7165:0001bf AGAP000513
7165:0001c0 AGAP000514
7165:0001c1 AGAP000515
7165:0001c2 AGAP000516
7165:0001c3 AGAP000519
7165:0001c4 AGAP000520
7165:0001c5 AGAP000521
7165:0001c6 AGAP000522
7165:0001c7 AGAP000523
7165:0001c8 AGAP000526
7165:0001c9 AGAP000528
7165:0001ca AGAP000529
7165:0001cb AGAP000530
7165:0001cc AGAP000531
7165:0001cd AGAP000532
7165:0001ce AGAP000533
7165:0001cf AGAP000534
7165:0001d0 AGAP000535
7165:0001d1 AGAP000536
7165:0001d2 AGAP000537
7165:0001d3 AGAP000538
7165:0001d4 AGAP000539
7165:0001d5 AGAP000540
7165:0001d6 AGAP000541
7165:0001d7 AGAP000543
7165:0001d8 AGAP000544
7165:0001d9 AGAP000545
7165:0001da AGAP000546
7165:0001db AGAP000547
7165:0001dc AGAP000548
7165:0001dd AGAP000549
7165:0001de AGAP000550
7165:0001df AGAP000551
7165:0001e0 AGAP000552
7165:0001e1 AGAP000553
7165:0001e2 AGAP000554
7165:0001e3 AGAP000555
7165:0001e4 AGAP000556
7165:0001e5 AGAP000558
7165:0001e6 AGAP000559
7165:0001e7 AGAP000560
7165:0001e8 AGAP000561
7165:0001e9 AGAP000562
7165:0001ea AGAP000563
7165:0001eb AGAP000564
7165:0001ec AGAP000565
7165:0001ed AGAP000566
7165:0001ee AGAP000567
7165:0001ef AGAP000569
7165:0001f0 AGAP000570
7165:0001f1 AGAP000571
7165:0001f2 AGAP000572
7165:0001f3 AGAP000573
7165:0001f4 AGAP000574
7165:0001f5 AGAP000575
7165:0001f6 AGAP000576
7165:0001f7 AGAP000577
7165:0001f8 AGAP000578
7165:0001f9 AGAP000579
7165:0001fa AGAP000580
7165:0001fb AGAP000581
7165:0001fc AGAP000585
7165:0001fd AGAP000586
7165:0001fe AGAP000587
7165:0001ff AGAP000588
7165:000200 AGAP000589
7165:000201 AGAP000591
7165:000202 AGAP000592
7165:000203 AGAP000594
7165:000204 AGAP000595
7165:000205 AGAP000596
7165:000206 AGAP000597
7165:000207 AGAP000598
7165:000208 AGAP000599
7165:000209 AGAP000601
7165:00020a AGAP000602
7165:00020b AGAP000603
7165:00020c AGAP000604
7165:00020d AGAP000605
7165:00020e AGAP000606
7165:00020f AGAP000607
7165:000210 AGAP000609
7165:000211 AGAP000610
7165:000212 AGAP000611
7165:000213 AGAP000612
7165:000214 AGAP000614
7165:000215 AGAP000615
7165:000216 AGAP000616
7165:000217 AGAP000617
7165:000218 AGAP000618
7165:000219 AGAP000619
7165:00021a AGAP000620
7165:00021b AGAP000621
7165:00021c AGAP000622
7165:00021d AGAP000623
7165:00021e AGAP000624
7165:00021f AGAP000625
7165:000220 AGAP000626
7165:000221 AGAP000627
7165:000222 AGAP000628
7165:000223 AGAP000629
7165:000224 AGAP000630
7165:000225 AGAP000631
7165:000226 AGAP000633
7165:000227 AGAP000634
7165:000228 AGAP000635
7165:000229 AGAP000636
7165:00022a AGAP000637
7165:00022b AGAP000638
7165:00022c AGAP000639
7165:00022d AGAP000640
7165:00022e AGAP000641
7165:00022f AGAP000642
7165:000230 AGAP000643
7165:000231 AGAP000644
7165:000232 AGAP000646
7165:000233 AGAP000647
7165:000234 AGAP000648
7165:000235 AGAP000649
7165:000236 AGAP000650
7165:000237 AGAP000651
7165:000238 AGAP000652
7165:000239 AGAP000653
7165:00023a AGAP000654
7165:00023b AGAP000655
7165:00023c AGAP000656
7165:00023d AGAP000657
7165:00023e AGAP000658
7165:00023f AGAP000659
7165:000240 AGAP000660
7165:000241 AGAP000662
7165:000242 AGAP000663
7165:000243 AGAP000666
7165:000244 AGAP000667
7165:000245 AGAP000668
7165:000246 AGAP000669
7165:000247 AGAP000670
7165:000248 AGAP000671
7165:000249 AGAP000672
7165:00024a AGAP000673
7165:00024b AGAP000674
7165:00024c AGAP000675
7165:00024d AGAP000676
7165:00024e AGAP000678
7165:00024f AGAP000679
7165:000250 AGAP000680
7165:000251 AGAP000681
7165:000252 AGAP000682
7165:000253 AGAP000684
7165:000254 AGAP000685
7165:000255 AGAP000686
7165:000256 AGAP000687
7165:000257 AGAP000688
7165:000258 AGAP000689
7165:000259 AGAP000690
7165:00025a AGAP000691
7165:00025b AGAP000692
7165:00025c AGAP000693
7165:00025d AGAP000694
7165:00025e AGAP000695
7165:00025f AGAP000696
7165:000260 AGAP000697
7165:000261 AGAP000698
7165:000262 AGAP000699
7165:000263 AGAP000700
7165:000264 AGAP000702
7165:000265 AGAP000703
7165:000266 AGAP000704
7165:000267 AGAP000705
7165:000268 AGAP000706
7165:000269 AGAP000707
7165:00026a AGAP000708
7165:00026b AGAP000711
7165:00026c AGAP000713
7165:00026d AGAP000714
7165:00026e AGAP000715
7165:00026f AGAP000717
7165:000270 AGAP000718
7165:000271 AGAP000719
7165:000272 AGAP000720
7165:000273 AGAP000721
7165:000274 AGAP000723
7165:000275 AGAP000724
7165:000276 AGAP000725
7165:000277 AGAP000726
7165:000278 AGAP000727
7165:000279 AGAP000728
7165:00027a AGAP000731
7165:00027b AGAP000732
7165:00027c AGAP000733
7165:00027d AGAP000734
7165:00027e AGAP000735
7165:00027f AGAP000736
7165:000280 AGAP000737
7165:000281 AGAP000738
7165:000282 AGAP000739
7165:000283 AGAP000740
7165:000284 AGAP000741
7165:000285 AGAP000743
7165:000286 AGAP000744
7165:000287 AGAP000745
7165:000288 AGAP000747
7165:000289 AGAP000748
7165:00028a AGAP000749
7165:00028b AGAP000750
7165:00028c AGAP000751
7165:00028d AGAP000752
7165:00028e AGAP000754
7165:00028f AGAP000755
7165:000290 AGAP000756
7165:000291 AGAP000757
7165:000292 AGAP000758
7165:000293 AGAP000759
7165:000294 AGAP000760
7165:000295 AGAP000761
7165:000296 AGAP000762
7165:000297 AGAP000763
7165:000298 AGAP000765
7165:000299 AGAP000767
7165:00029a AGAP000768
7165:00029b AGAP000769
7165:00029c AGAP000770
7165:00029d AGAP000771
7165:00029e AGAP000772
7165:00029f AGAP000773
7165:0002a0 AGAP000774
7165:0002a1 AGAP000776
7165:0002a2 AGAP000777
7165:0002a3 AGAP000778
7165:0002a4 AGAP000779
7165:0002a5 AGAP000780
7165:0002a6 AGAP000781
7165:0002a7 AGAP000782
7165:0002a8 AGAP000783
7165:0002a9 AGAP000784
7165:0002aa AGAP000785
7165:0002ab AGAP000786
7165:0002ac AGAP000787
7165:0002ad AGAP000788
7165:0002ae AGAP000789
7165:0002af AGAP000790
7165:0002b0 AGAP000791
7165:0002b1 AGAP000792
7165:0002b2 AGAP000793
7165:0002b3 AGAP000794
7165:0002b4 AGAP000795
7165:0002b5 AGAP000797
7165:0002b6 AGAP000798
7165:0002b7 AGAP000801
7165:0002b8 AGAP000803
7165:0002b9 AGAP000804
7165:0002ba AGAP000805
7165:0002bb AGAP000806
7165:0002bc AGAP000807
7165:0002bd AGAP000808
7165:0002be AGAP000809
7165:0002bf AGAP000810
7165:0002c0 AGAP000812
7165:0002c1 AGAP000813
7165:0002c2 AGAP000814
7165:0002c3 AGAP000815
7165:0002c4 AGAP000816
7165:0002c5 AGAP000817
7165:0002c6 AGAP000818
7165:0002c7 AGAP000819
7165:0002c8 AGAP000820
7165:0002c9 AGAP000821
7165:0002ca AGAP000822
7165:0002cb AGAP000823
7165:0002cc AGAP000824
7165:0002cd AGAP000825
7165:0002ce AGAP000826
7165:0002cf AGAP000829
7165:0002d0 AGAP000830
7165:0002d1 AGAP000831
7165:0002d2 AGAP000832
7165:0002d3 AGAP000833
7165:0002d4 AGAP000834
7165:0002d5 AGAP000835
7165:0002d6 AGAP000837
7165:0002d7 AGAP000839
7165:0002d8 AGAP000840
7165:0002d9 AGAP000841
7165:0002da AGAP000842
7165:0002db AGAP000843
7165:0002dc AGAP000844
7165:0002dd AGAP000847
7165:0002de AGAP000848
7165:0002df AGAP000849
7165:0002e0 AGAP000850
7165:0002e1 AGAP000851
7165:0002e2 AGAP000852
7165:0002e3 AGAP000853
7165:0002e4 AGAP000854
7165:0002e5 AGAP000855
7165:0002e6 AGAP000856
7165:0002e7 AGAP000857
7165:0002e8 AGAP000858
7165:0002e9 AGAP000859
7165:0002ea AGAP000860
7165:0002eb AGAP000861
7165:0002ec AGAP000862
7165:0002ed AGAP000863
7165:0002ee AGAP000864
7165:0002ef AGAP000865
7165:0002f0 AGAP000866
7165:0002f1 AGAP000867
7165:0002f2 AGAP000868
7165:0002f3 AGAP000869
7165:0002f4 AGAP000870
7165:0002f5 AGAP000871
7165:0002f6 AGAP000874
7165:0002f7 AGAP000875
7165:0002f8 AGAP000876
7165:0002f9 AGAP000877
7165:0002fa AGAP000878
7165:0002fb AGAP000879
7165:0002fc AGAP000880
7165:0002fd AGAP000881
7165:0002fe AGAP000882
7165:0002ff AGAP000883
7165:000300 AGAP000884
7165:000301 AGAP000885
7165:000302 AGAP000886
7165:000303 AGAP000887
7165:000304 AGAP000888
7165:000305 AGAP000889
7165:000306 AGAP000890
7165:000307 AGAP000891
7165:000308 AGAP000892
7165:000309 AGAP000893
7165:00030a AGAP000894
7165:00030b AGAP000896
7165:00030c AGAP000897
7165:00030d AGAP000898
7165:00030e AGAP000899
7165:00030f AGAP000900
7165:000310 AGAP000901
7165:000311 AGAP000903
7165:000312 AGAP000904
7165:000313 AGAP000906
7165:000314 AGAP000907
7165:000315 AGAP000908
7165:000316 AGAP000909
7165:000317 AGAP000911
7165:000318 AGAP000912
7165:000319 AGAP000913
7165:00031a AGAP000915
7165:00031b AGAP000916
7165:00031c AGAP000917
7165:00031d AGAP000918
7165:00031e AGAP000919
7165:00031f AGAP000920
7165:000320 AGAP000921
7165:000321 AGAP000922
7165:000322 AGAP000923
7165:000323 AGAP000924
7165:000324 AGAP000926
7165:000325 AGAP000927
7165:000326 AGAP000928
7165:000327 AGAP000929
7165:000328 AGAP000930
7165:000329 AGAP000931
7165:00032a AGAP000932
7165:00032b AGAP000933
7165:00032c AGAP000934
7165:00032d AGAP000935
7165:00032e AGAP000937
7165:00032f AGAP000938
7165:000330 AGAP000939
7165:000331 AGAP000940
7165:000332 AGAP000941
7165:000333 AGAP000942
7165:000334 AGAP000943
7165:000335 AGAP000944
7165:000336 AGAP000945
7165:000337 AGAP000946
7165:000338 AGAP000947
7165:000339 AGAP000948
7165:00033a AGAP000949
7165:00033b AGAP000950
7165:00033c AGAP000951
7165:00033d AGAP000952
7165:00033e AGAP000953
7165:00033f AGAP000954
7165:000340 AGAP000955
7165:000341 AGAP000957
7165:000342 AGAP000958
7165:000343 AGAP000960
7165:000344 AGAP000961
7165:000345 AGAP000962
7165:000346 AGAP000963
7165:000347 AGAP000964
7165:000348 AGAP000965
7165:000349 AGAP000966
7165:00034a AGAP000967
7165:00034b AGAP000968
7165:00034c AGAP000969
7165:00034d AGAP000970
7165:00034e AGAP000971
7165:00034f AGAP000973
7165:000350 AGAP000974
7165:000351 AGAP000975
7165:000352 AGAP000976
7165:000353 AGAP000977
7165:000354 AGAP000978
7165:000355 AGAP000979
7165:000356 AGAP000981
7165:000357 AGAP000982
7165:000358 AGAP000983
7165:000359 AGAP000984
7165:00035a AGAP000985
7165:00035b AGAP000986
7165:00035c AGAP000987
7165:00035d AGAP000988
7165:00035e AGAP000989
7165:00035f AGAP000990
7165:000360 AGAP000991
7165:000361 AGAP000992
7165:000362 AGAP000994
7165:000363 AGAP000995
7165:000364 AGAP000996
7165:000365 AGAP000997
7165:000366 AGAP000998
7165:000367 AGAP000999
7165:000368 AGAP001002
7165:000369 AGAP001004
7165:00036a AGAP001005
7165:00036b AGAP001006
7165:00036c AGAP001007
7165:00036d AGAP001008
7165:00036e AGAP001009
7165:00036f AGAP001010
7165:000370 AGAP001011
7165:000371 AGAP001012
7165:000372 AGAP001013
7165:000373 AGAP001014
7165:000374 AGAP001015
7165:000375 AGAP001018
7165:000376 AGAP001019
7165:000377 AGAP001021
7165:000378 AGAP001022
7165:000379 AGAP001023
7165:00037a AGAP001024
7165:00037b AGAP001025
7165:00037c AGAP001026
7165:00037d AGAP001027
7165:00037e AGAP001028
7165:00037f AGAP001029
7165:000380 AGAP001030
7165:000381 AGAP001031
7165:000382 AGAP001032
7165:000383 AGAP001033
7165:000384 AGAP001034
7165:000385 AGAP001035
7165:000386 AGAP001036
7165:000387 AGAP001037
7165:000388 AGAP001038
7165:000389 AGAP001039
7165:00038a AGAP001040
7165:00038b AGAP001041
7165:00038c AGAP001042
7165:00038d AGAP001043
7165:00038e AGAP001044
7165:00038f AGAP001045
7165:000390 AGAP001046
7165:000391 AGAP001047
7165:000392 AGAP001048
7165:000393 AGAP001050
7165:000394 AGAP001051
7165:000395 AGAP001052
7165:000396 AGAP001053
7165:000397 AGAP001056
7165:000398 AGAP001057
7165:000399 AGAP001058
7165:00039a AGAP001061
7165:00039b AGAP001064
7165:00039c AGAP001065
7165:00039d AGAP001067
7165:00039e AGAP001068
7165:00039f AGAP001069
7165:0003a0 AGAP001070
7165:0003a1 AGAP001072
7165:0003a2 AGAP001073
7165:0003a3 AGAP001076
7165:0003a4 AGAP001078
7165:0003a5 AGAP001079
7165:0003a6 AGAP001081
7165:0003a7 AGAP001082
7165:0003a8 AGAP001083
7165:0003a9 AGAP001084
7165:0003aa AGAP001085
7165:0003ab AGAP001087
7165:0003ac AGAP001088
7165:0003ad AGAP001089
7165:0003ae AGAP001090
7165:0003af AGAP001091
7165:0003b0 AGAP001092
7165:0003b1 AGAP001093
7165:0003b2 AGAP001094
7165:0003b3 AGAP001096
7165:0003b4 AGAP001097
7165:0003b5 AGAP001098
7165:0003b6 AGAP001099
7165:0003b7 AGAP001100
7165:0003b8 AGAP001101
7165:0003b9 AGAP001102
7165:0003ba AGAP001103
7165:0003bb AGAP001104
7165:0003bc AGAP001106
7165:0003bd AGAP001107
7165:0003be AGAP001108
7165:0003bf AGAP001109
7165:0003c0 AGAP001110
7165:0003c1 AGAP001111
7165:0003c2 AGAP001112
7165:0003c3 AGAP001113
7165:0003c4 AGAP001114
7165:0003c5 AGAP001115
7165:0003c6 AGAP001116
7165:0003c7 AGAP001117
7165:0003c8 AGAP001118
7165:0003c9 AGAP001119
7165:0003ca AGAP001120
7165:0003cb AGAP001121
7165:0003cc AGAP001122
7165:0003cd AGAP001123
7165:0003ce AGAP001124
7165:0003cf AGAP001125
7165:0003d0 AGAP001126
7165:0003d1 AGAP001127
7165:0003d2 AGAP001130
7165:0003d3 AGAP001132
7165:0003d4 AGAP001133
7165:0003d5 AGAP001134
7165:0003d6 AGAP001135
7165:0003d7 AGAP001136
7165:0003d8 AGAP001137
7165:0003d9 AGAP001138
7165:0003da AGAP001139
7165:0003db AGAP001140
7165:0003dc AGAP001141
7165:0003dd AGAP001143
7165:0003de AGAP001144
7165:0003df AGAP001145
7165:0003e0 AGAP001146
7165:0003e1 AGAP001147
7165:0003e2 AGAP001148
7165:0003e3 AGAP001149
7165:0003e4 AGAP001150
7165:0003e5 AGAP001151
7165:0003e6 AGAP001152
7165:0003e7 AGAP001153
7165:0003e8 AGAP001154
7165:0003e9 AGAP001156
7165:0003ea AGAP001157
7165:0003eb AGAP001158
7165:0003ec AGAP001159
7165:0003ed AGAP001160
7165:0003ee AGAP001161
7165:0003ef AGAP001162
7165:0003f0 AGAP001165
7165:0003f1 AGAP001166
7165:0003f2 AGAP001167
7165:0003f3 AGAP001168
7165:0003f4 AGAP001169
7165:0003f5 AGAP001170
7165:0003f6 AGAP001171
7165:0003f7 AGAP001172
7165:0003f8 AGAP001173
7165:0003f9 AGAP001174
7165:0003fa AGAP001175
7165:0003fb AGAP001176
7165:0003fc AGAP001177
7165:0003fd AGAP001179
7165:0003fe AGAP001181
7165:0003ff AGAP001182
7165:000400 AGAP001183
7165:000401 AGAP001184
7165:000402 AGAP001185
7165:000403 AGAP001187
7165:000404 AGAP001189
