AAEL007235,Ucp4A
AAEL005032,CG17508
AAEL002502,NoSymbolFound
AAEL002503,Yippee
AAEL010626,NPFR
AAEL010627,Osi24
AAEL010624,Osi3
AAEL010625,Osi4
AAEL010623,Osi2
AAEL007915,Moe
AAEL007910,CG7231
AAEL017395,CG1907
AAEL017391,nej
AAEL011939,Blos2
AAEL009179,cin
AAEL001367,INPP5E
AAEL001366,Mis12
AAEL001361,Bap170
AAEL001360,coro
AAEL001363,CG10418
AAEL011931,CG13408
AAEL009171,REPTOR
AAEL009173,Fas2
AAEL009174,GlcAT-I
AAEL001368,kek1
AAEL011937,Ugt316A1
AAEL002345,Ltn1
AAEL013636,mRRF2
AAEL013637,hgo
AAEL003906,CG9272
AAEL009017,GstT3
AAEL014146,CG11141
AAEL003903,Acph-1
AAEL009019,CG13991
AAEL001448,LPCAT
AAEL017301,eEF1alpha2
AAEL018163,RN-tre
AAEL002272,Ythdc1
AAEL003678,Aps
GeneName,GeneSymbolOrthologs
AAEL018168,HIPP1
AAEL001910,CG7987
AAEL006355,Sr-CII
AAEL006356,mrn
AAEL006350,CG14185
AAEL006352,CG14186
AAEL001916,eIF4E1
AAEL008942,CG1542
AAEL008943,CG6793
AAEL008940,NoSymbolFound
AAEL008941,CG14618
AAEL008498,l(2)41Ab
AAEL008947,mst
AAEL008944,Cp110
AAEL008945,sicily
AAEL008494,CG4995
AAEL008495,ex
AAEL008496,CG10947
AAEL008497,CG12730
AAEL008490,ND-B18
AAEL008491,CG8270
AAEL008492,EMC5
AAEL008493,CG17328
AAEL002636,Bem46
AAEL002184,cpb
AAEL002186,CG2614
AAEL002182,CG3645
AAEL002183,Dad1
AAEL003326,alph
AAEL003322,rdgC
AAEL002456,CG9650
AAEL002986,CG4266
AAEL002455,Nup153
AAEL002980,snf
AAEL002450,TH1
AAEL002451,zfh1
AAEL012276,CG17454
AAEL002988,CG9775
AAEL012272,zda
AAEL007009,CG7889
AAEL007002,CG44422
AAEL007001,Tom40
AAEL007007,Mcm2
AAEL007004,boss
AAEL003582,RpS13
AAEL003581,Prat
AAEL003855,fliI
AAEL003857,Def
AAEL003858,EMRE
AAEL004675,Ada3
AAEL004676,CG18003
AAEL014848,CG9876
AAEL004673,a
AAEL014846,ogre
AAEL014847,Inx2
AAEL014844,Wsck
AAEL014842,Mipp1
AAEL005985,Atg13
AAEL005980,Tmhs
AAEL008424,NAAT1
AAEL004588,Cpr67B
AAEL004589,SCaMC
AAEL004586,HDAC1
AAEL000802,GM130
AAEL012906,Aasdh
AAEL011234,Con
AAEL009782,Cht11
AAEL011231,knrl
AAEL009789,Incenp
AAEL014267,HSPBAP1
AAEL013826,wts
AAEL006988,Taf6
AAEL013823,CaMKII
AAEL006639,moi
AAEL006636,Lkr
AAEL006637,CG7137
AAEL006982,CG13282
AAEL006984,Cyp28a5
AAEL006633,Diap2
AAEL004859,mle
AAEL000770,Lis-1
AAEL004852,mri
AAEL004853,Gk1
AAEL004855,sesB
AAEL008169,tko
AAEL008164,elav
AAEL008166,Mdh2
AAEL008167,NoSymbolFound
AAEL008160,NoSymbolFound
AAEL008161,abo
AAEL013828,CG11334
AAEL001170,CG5068
AAEL001171,CG10463
AAEL001172,BORCS6
AAEL001173,CG5112
AAEL001175,phr6-4
AAEL001176,SamDC
AAEL001177,Srp14
AAEL005185,CG3408
AAEL005187,LanB2
AAEL005186,NoSymbolFound
AAEL005180,fws
AAEL005183,CG14321
AAEL006180,Ncc69
AAEL006181,CG5191
AAEL006185,Sec8
AAEL006187,NoSymbolFound
AAEL006188,Spec2
AAEL006189,CG8814
AAEL018011,slow
AAEL008559,GLS
AAEL007586,Nup98-96
AAEL008557,Nup188
AAEL007584,trk
AAEL008553,CG17776
AAEL005729,ppk17
AAEL005728,GlyRS
AAEL005720,CG10185
AAEL005722,RpL7A
AAEL005725,CG3184
AAEL005726,RhoGAP1A
AAEL007763,Tango5
AAEL007762,mRpL40
AAEL017188,bw
AAEL007760,MCTS1
AAEL007767,Nop17l
AAEL007765,Spn42Da
AAEL007764,CG17684
AAEL007768,Myd88
AAEL017186,Pif1
AAEL012710,CG11590
AAEL012861,l(2)k05819
AAEL012717,DCX-EMAP
AAEL012718,CG33203
AAEL012868,Csas
AAEL013400,CG5800
AAEL017986,fid
AAEL013405,slou
AAEL013404,Tsp96F
AAEL013408,Deaf1
AAEL009202,CG33051
AAEL009971,CG5726
AAEL009200,Sec3
AAEL009201,CG7630
AAEL009974,RabX4
AAEL005822,CG5346
AAEL015586,CG7126
AAEL002296,Mtpbeta
AAEL014451,CG42307
AAEL014450,Pal2
AAEL014981,NoSymbolFound
AAEL014452,Mcad
AAEL014457,bdl
AAEL002843,CG10341
AAEL002771,Cp190
AAEL002847,Cep89
AAEL005826,CG2681
AAEL003461,CG7791
AAEL003462,Tdc1
AAEL003464,CG14182
AAEL003466,Cul4
AAEL003469,NHP2
AAEL005827,kat80
AAEL004442,CG13258
AAEL004441,Ranbp9
AAEL004440,mlt
AAEL004446,CG3081
AAEL004445,Hlc
AAEL000163,CG31229
AAEL014183,PIG-U
AAEL004449,CG1116
AAEL004448,Torsin
AAEL014187,Tap42
AAEL008316,mad2
AAEL011006,CG11811
AAEL011001,Ir92a
AAEL005825,eIF2Bbeta
AAEL001695,otp
AAEL001694,CG15650
AAEL005536,Tsp29Fb
AAEL001696,hbn
AAEL005530,Cda4
AAEL001699,CG30344
AAEL001698,shrb
AAEL000348,CG33054
AAEL010353,CG13449
AAEL010602,AGBE
AAEL004053,Nup35
AAEL010354,vnd
AAEL010607,CG8950
AAEL010608,SdhA
AAEL000341,Oli
AAEL000343,CG8878
AAEL004055,Aladin
AAEL017371,Vti1a
AAEL017374,mthl1
AAEL001349,CG14655
AAEL001345,BBS5
AAEL001432,ERp60
AAEL001435,NT1
AAEL001341,CG15237
AAEL001340,CG17387
AAEL009192,teq
AAEL011912,CG8207
AAEL009191,Ada
AAEL009195,Cln7
AAEL011918,bmm
AAEL001300,CG1218
AAEL017515,CrebB
AAEL011588,CG34045
AAEL017516,RpL23A
AAEL017512,CG15117
AAEL001756,mr
AAEL005890,CG4456
AAEL001751,koko
AAEL002647,okr
AAEL001752,ClC-c
AAEL002646,step
AAEL007979,hoe1
AAEL002642,Trim9
AAEL010611,ND-ACP
AAEL011583,Or56a
AAEL002139,CG18004
AAEL011586,CG14304
AAEL006374,CG14647
AAEL006373,HtrA2
AAEL006370,CG2224
AAEL013879,PGAP5
AAEL008960,CG4078
AAEL008961,bowl
AAEL008962,CG15891
AAEL008963,CG1461
AAEL018352,nAChRalpha5
AAEL018353,CG14445
AAEL018350,RhoGAP92B
AAEL018351,Samuel
AAEL013652,Egm
AAEL013653,Trf2
AAEL018354,Osbp
AAEL013875,Tsp42Ea
AAEL002614,Ent3
AAEL002615,CG4781
AAEL011638,CngB
AAEL011639,CG30197
AAEL010029,Hen1
AAEL007392,Tom20
AAEL007390,Gale
AAEL007397,Eip75B
AAEL007395,CG8027
AAEL012298,CG1998
AAEL002354,cysu
AAEL002357,unc-13
AAEL010021,trc
AAEL007029,tmod
AAEL007026,JTBR
AAEL007022,TfIIA-L
AAEL007023,Mfe2
AAEL013612,CG9572
AAEL003879,mldr
AAEL003873,Gpo1
AAEL003872,Tctp
AAEL003871,Prosalpha7
AAEL003875,Spps
AAEL015119,Cpr92F
AAEL013616,CG3815
AAEL015111,pb
AAEL015110,CG11034
AAEL013615,CG15916
AAEL004613,beta-PheRS
AAEL014863,Gyg
AAEL014868,dia
AAEL002474,ken
AAEL003709,Dci
AAEL003708,NijA
AAEL003701,CG9426
AAEL003705,CG2126
AAEL003704,mRpL13
AAEL011369,Nep3
AAEL014248,Rift
AAEL014244,Ugt49C1
AAEL014243,CG14763
AAEL006610,NoSymbolFound
AAEL006611,EMC3
AAEL006613,ppk13
AAEL006966,CG17292
AAEL006617,CG33510
AAEL006619,CG17124
AAEL011361,CG6066
AAEL000751,CG14744
AAEL000750,mkg-p
AAEL000755,CG8204
AAEL000759,Gclm
AAEL000758,Uba1
AAEL008107,poe
AAEL008105,Gclc
AAEL008102,CG17754
AAEL008103,RpS8
AAEL008100,Fip1
AAEL008101,krimp
AAEL013905,CG11399
AAEL008108,Gbeta76C
AAEL018240,fusl
AAEL011748,CG7071
AAEL011746,ScsbetaA
AAEL011212,CG15011
AAEL011745,Prp3
AAEL011742,eRF1
AAEL011216,CG6707
AAEL011741,GstS1
AAEL010168,RpS2
AAEL008528,csw
AAEL018036,CG42339
AAEL018032,tweek
AAEL018031,btd
AAEL018039,mnb
AAEL008577,CG9205
AAEL008576,Tsen34
AAEL007563,NoSymbolFound
AAEL008574,CG5009
AAEL007565,NoSymbolFound
AAEL007566,DCTN5-p25
AAEL018293,Axud1
AAEL007568,CG3756
AAEL018290,Sik3
AAEL018297,CG9941
AAEL008579,Helz
AAEL008578,Su(z)12
AAEL005702,Peritrophin-15a
AAEL005706,Hsl
AAEL005704,S
AAEL005709,san
AAEL005708,CG4935
AAEL006801,Vang
AAEL007705,Ufd4
AAEL007704,Zyx
AAEL007707,Mdh1
AAEL007706,Rsph9
AAEL007701,CG15141
AAEL007700,Ets96B
AAEL007702,CCT4
AAEL007708,CG3436
AAEL012840,stai
AAEL012841,CG9175
AAEL012843,gammaTub23C
AAEL013467,CG3894
AAEL013461,parvin
AAEL013460,Evi5
AAEL013463,l(2)34Fd
AAEL002287,qless
AAEL009225,mRRF1
AAEL009227,Klp67A
AAEL009220,jigr1
AAEL007200,CG13743
AAEL007202,Hr96
AAEL007205,grn
AAEL007206,Reg-5
AAEL002861,Sccpdh1
AAEL002860,Mpc1
AAEL002867,alpha-PheRS
AAEL002866,CG16903
AAEL012332,unc
AAEL002869,CG31195
AAEL012337,gol
AAEL005149,Liprin-beta
AAEL004425,CNPYb
AAEL004427,mgr
AAEL004426,Syx18
AAEL008379,p38b
AAEL004420,CG3857
AAEL004423,ATPsynD
AAEL004422,CG12863
AAEL014657,CG3740
AAEL008377,rod
AAEL014653,CG31612
AAEL008370,santa-maria
AAEL008373,CG3744
AAEL005143,UQCR-Q
AAEL011025,NoSymbolFound
AAEL011023,CG10979
AAEL011022,CG34325
AAEL011021,CG13367
AAEL005145,CG4291
AAEL002951,fd96Ca
AAEL005147,Ets98B
AAEL005410,CG31357
AAEL015307,CG31051
AAEL015305,St4
AAEL004138,SppL
AAEL000108,S-Lap2
AAEL000109,CG12173
AAEL000106,CG5274
AAEL004132,MED31
AAEL004131,wkd
AAEL004130,ind
AAEL000102,CG14688
AAEL004136,TAF1C-like
AAEL005558,Xbp1
AAEL005554,CG43191
AAEL005552,ScsbetaG
AAEL009422,Pep
AAEL009423,crq
AAEL009421,ninaA
AAEL009427,CG5098
AAEL009424,CG3008
AAEL011684,CG14613
AAEL009428,Reps
AAEL009429,CG18787
AAEL003412,hzg
AAEL014212,pds5
AAEL010374,Ror
AAEL010376,CG10055
AAEL010377,CG5199
AAEL010371,Vps20
AAEL010373,Dd
AAEL010378,Sans
AAEL010379,Mdr49
AAEL001412,CG33786
AAEL001411,zip
AAEL001410,CG7376
AAEL001416,MAN1
AAEL011974,CG13365
AAEL011973,Faa
AAEL011972,EMC7
AAEL011979,CG17272
AAEL011978,alpha-Man-IIa
AAEL010088,CG12106
AAEL010089,CG12320
AAEL010086,dpa
AAEL010087,Prosalpha3
AAEL010084,stl
AAEL010085,Mes4
AAEL010082,CG3257
AAEL010083,imd
AAEL010081,PIG-G
AAEL007366,AIMP3
AAEL010885,Aatf
AAEL010883,blot
AAEL013088,CG31922
AAEL014699,Eato
AAEL007952,CG3880
AAEL007955,GstE14
AAEL007959,Zip102B
AAEL017357,ctrip
AAEL006394,CG17716
AAEL006399,CG3085
AAEL006815,Cyp9f2
AAEL008909,beat-Vb
AAEL008906,ecd
AAEL008902,anne
AAEL013858,Raf
AAEL013675,eIF2alpha
AAEL012100,CG6937
AAEL012102,CG2182
AAEL012105,CG5382
AAEL012107,nos
AAEL012106,nAChRalpha4
AAEL008806,Rcd1
AAEL004205,CG3984
AAEL007044,CG6295
AAEL007045,bora
AAEL007042,Psi
AAEL008801,CG15347
AAEL007040,lz
AAEL007041,LRP1
AAEL007049,Prosbeta7
AAEL004110,Pitslre
AAEL002678,ics
AAEL002676,Ance-3
AAEL002674,CG7634
AAEL002675,arg
AAEL002673,sit
AAEL003817,kappaB-Ras
AAEL003813,CG17141
AAEL003812,Cen
AAEL004113,CG4042
AAEL004630,Wdr37
AAEL004633,Nct
AAEL004634,Cap-D2
AAEL002493,CG30491
AAEL002499,CG3726
AAEL003724,CG15020
AAEL014828,Iris
AAEL003729,T3dh
AAEL013845,CG9911
AAEL004117,CG8915
AAEL000903,e(y)2
AAEL004098,nrm
AAEL013267,CG12910
AAEL004097,E(spl)mgamma-HLH
AAEL004090,CG10383
AAEL004091,ppk26
AAEL014226,pot
AAEL014227,shakB
AAEL008292,Dh44-R1
AAEL008293,Cpr78Cc
AAEL008291,Txl
AAEL005943,Lkb1
AAEL005945,Octbeta2R
AAEL005944,mRpS23
AAEL005947,glo
AAEL005946,ND-B14.5B
AAEL006944,Gsc
AAEL006945,Gos28
AAEL006946,CCT6
AAEL006947,TkR99D
AAEL006948,Tomosyn
AAEL006949,Socs16D
AAEL008128,CG34132
AAEL004896,Elp2
AAEL004897,Cht7
AAEL000730,Bre1
AAEL000733,CG7724
AAEL008120,Trm7-32
AAEL004898,CG33993
AAEL008125,CG12268
AAEL008126,Cirl
AAEL008127,CG42488
AAEL011763,NoSymbolFound
AAEL011765,Gorab
AAEL010411,puc
AAEL010142,CG17378
AAEL010413,CG6800
AAEL010412,CG11882
AAEL010147,LUBEL
AAEL010414,NSD
AAEL010417,CG33057
AAEL010419,Trax
AAEL010149,Theg
AAEL007549,CG6180
AAEL007548,CG6700
AAEL007542,b
AAEL007541,Pol31
AAEL007547,ClC-b
AAEL007546,Arpc1
AAEL007544,lok
AAEL013999,TORIP
AAEL013998,TfIIFbeta
AAEL013995,Atg18a
AAEL013994,CG4603
AAEL001060,CG13654
AAEL001061,GstD1
AAEL013991,Gbeta13F
AAEL013992,CG10674
AAEL009658,Treh
AAEL005767,Or83a
AAEL005766,Ald1
AAEL005763,LManII
AAEL005762,CG18095
AAEL009650,WRNexo
AAEL005769,Gld
AAEL009657,CG9804
AAEL006498,Rh6
AAEL006492,CBP
AAEL006490,hec
AAEL006491,Wdr24
AAEL007729,CG5664
AAEL007726,CG14803
AAEL007725,scf
AAEL007720,CG6931
AAEL013194,Ttc26
AAEL013197,CG4367
AAEL002995,Naam
AAEL013199,CG3061
AAEL013198,Ir84a
AAEL012826,RpA-70
AAEL012827,Gp93
AAEL012825,CG11089
AAEL012822,CG31076
AAEL012823,Pgant1
AAEL012820,140up
AAEL013335,CG2698
AAEL013334,flfl
AAEL013440,amx
AAEL009249,pod1
AAEL009244,Ser6
AAEL009242,NoSymbolFound
AAEL009240,Nrt
AAEL006239,Gk2
AAEL006231,GCC185
AAEL006236,Uxs
AAEL006234,CG3038
AAEL006235,CG17834
AAEL011550,CG15254
AAEL009869,mgl
AAEL014419,Cpr47Ea
AAEL009863,Indy
AAEL009861,CG10433
AAEL014410,CG16734
AAEL009864,pio
AAEL014412,Cyp304a1
AAEL002805,Alg14
AAEL002804,Stt3B
AAEL012318,CG10361
AAEL002800,DNApol-epsilon255
AAEL002803,Desi
AAEL012317,QIL1
AAEL002809,CG4074
AAEL002808,Dph5
AAEL012312,CG10576
AAEL008355,Lst
AAEL008354,Rdl
AAEL008350,sc
AAEL015099,Su(var)2-10
AAEL004305,CG43861
AAEL000126,Mocs1
AAEL000128,Rbf
AAEL004406,CG9849
AAEL004405,JMJD5
AAEL004404,CG9921
AAEL004151,RpL29
AAEL004402,CG6201
AAEL001651,CG15160
AAEL001653,l(2)35Be
AAEL001652,amos
AAEL001655,glu
AAEL001657,CG10333
AAEL001656,CG9254
AAEL005579,128up
AAEL009406,CG1827
AAEL009407,CG3295
AAEL009400,Pop2
AAEL009401,CG7544
AAEL009402,MAPk-Ak2
AAEL010596,CG10000
AAEL010318,pAbp
AAEL010316,CG2211
AAEL010317,Rs1
AAEL010314,CG8272
AAEL010315,Zmynd10
AAEL010312,Capr
AAEL010310,NoSymbolFound
AAEL010311,tapas
AAEL000384,prt
AAEL000386,Pi3K68D
AAEL000382,CG15144
AAEL000383,brn
AAEL000388,IleRS
AAEL001475,CG13398
AAEL001474,Gpb5
AAEL001476,numb
AAEL001473,Dap160
AAEL011958,Sas10
AAEL011953,CG1513
AAEL011952,slim
AAEL011950,CG30157
AAEL014507,Pngl
AAEL003397,mRpL17
AAEL006001,CG10874
AAEL006003,Or30a
AAEL006002,mrva
AAEL006005,Or49b
AAEL006006,Swip-1
AAEL006009,CG17219
AAEL018154,Drgx
AAEL003391,Tnks
AAEL018173,CG32772
AAEL001389,app
AAEL017338,hppy
AAEL018174,Mkp3
AAEL017335,CapaR
AAEL001382,SmD1
AAEL001381,SMSr
AAEL001387,CG3764
AAEL001385,Ist1
AAEL017332,CG11808
AAEL001459,dx
AAEL001458,Hs3st-A
AAEL010444,lin
AAEL008921,sqh
AAEL008431,spoon
AAEL008924,CG5938
AAEL008928,Irk2
AAEL001904,Arpc2
AAEL018316,CNMaR
AAEL018317,cac
AAEL018314,east
AAEL018312,slx1
AAEL010440,Rlb1
AAEL018318,park
AAEL018319,rig
AAEL007069,Chro
AAEL007061,Cypl
AAEL007065,Arf79F
AAEL007066,Rae1
AAEL007067,Taf5
AAEL009383,crn
AAEL009382,NO66
AAEL002652,cup
AAEL009380,norpA
AAEL002126,mas
AAEL002124,CG1299
AAEL012122,Rpn3
AAEL002128,CG32260
AAEL012120,l(2)37Bb
AAEL012126,jet
AAEL003293,Ns2
AAEL003835,NoSymbolFound
AAEL003522,Art8
AAEL003524,kar
AAEL003295,SmydA-5
AAEL003526,Asciz
AAEL003529,pita
AAEL003528,hyx
AAEL003298,Alp9
AAEL010387,CG6841
AAEL003839,CG9004
AAEL013818,Sf3a1
AAEL003746,CG7920
AAEL003743,Vha100-1
AAEL003742,Gba1b
AAEL003749,CG40228
AAEL008418,P5cr
AAEL013816,Hakai
AAEL014752,NELF-B
AAEL014204,CG17333
AAEL005968,Ufc1
AAEL005962,barr
AAEL005967,CG4329
AAEL005965,pen-2
AAEL001929,spz5
AAEL000248,Dgp-1
AAEL000719,RtGEF
AAEL004212,Sclp
AAEL000240,Coq9
AAEL000243,CG42346
AAEL000714,Eaat2
AAEL000713,Rtnl1
AAEL000244,FucTC
AAEL000247,CG14921
AAEL000246,stan
AAEL013494,CG7484
AAEL010120,CG14024
AAEL010123,Ent1
AAEL013495,CG33228
AAEL005297,RhoGEF4
AAEL005290,CG6565
AAEL006928,CG7430
AAEL006929,Cul2
AAEL006924,Rsbp15
AAEL006922,Chd64
AAEL006923,Vsp37A
AAEL006921,CG11638
AAEL007525,Rab19
AAEL007526,NoSymbolFound
AAEL007521,Tnpo
AAEL007523,CG8032
AAEL005039,Ir68a
AAEL005038,Ubc2
AAEL001048,CG10425
AAEL001044,TyrRS
AAEL001046,CG42327
AAEL001047,CG42514
AAEL005035,heix
AAEL005742,Taf10b
AAEL005037,SerRS
AAEL005036,CG34183
AAEL009671,LSm3
AAEL009677,Hem
AAEL009676,CG1236
AAEL009675,CG14966
AAEL009679,CG3009
AAEL009678,garz
AAEL010439,Klf15
AAEL010433,gro
AAEL010432,Exo84
AAEL010430,Rab4
AAEL010437,Sgsh
AAEL010435,CG15712
AAEL007296,CG8306
AAEL007293,Pka-C1
AAEL007292,Unc-76
AAEL007291,RPA3
AAEL007290,smash
AAEL007299,Cad96Cb
AAEL007298,CG5065
AAEL013310,Rev7
AAEL013316,CG5038
AAEL013314,CG3226
AAEL009262,Uvrag
AAEL009263,sisA
AAEL009264,B4
AAEL009265,Ncoa6
AAEL009266,Hasp
AAEL009268,JMJD7
AAEL009269,CG10132
AAEL006219,pip
AAEL006214,CG12038
AAEL006216,Gbs-76A
AAEL006211,CG7457
AAEL014433,Osi6
AAEL009849,CG15473
AAEL002350,CG9231
AAEL002825,ND-B15
AAEL009847,futsch
AAEL002355,lms
AAEL002822,Arp5
AAEL014439,CG13658
AAEL002356,snky
AAEL008149,CG44194
AAEL012372,CG6685
AAEL012370,Cht2
AAEL012378,CG7565
AAEL003193,Nurf-38
AAEL003194,CG6225
AAEL003990,Mlf
AAEL003992,Smyd4-4
AAEL003993,Echs1
AAEL003994,NoSymbolFound
AAEL003995,CG16935
AAEL003996,tey
AAEL004176,Eb1
AAEL004175,RpS17
AAEL004179,pyx
AAEL009469,Cdc5
AAEL009466,Pkcdelta
AAEL009467,CG6891
AAEL009465,RfC3
AAEL010330,SdhB
AAEL010333,CG4338
AAEL010336,RNaseZ
AAEL010337,CG10026
AAEL010339,CG6094
AAEL014958,Galk
AAEL004043,CG14615
AAEL004734,CG8892
AAEL011423,CG4797
AAEL011422,CG30259
AAEL011421,Mipp2
AAEL011427,Opbp
AAEL011425,Ssrp
AAEL011429,cm
AAEL011428,CG1137
AAEL001673,Act57B
AAEL001671,CG13272
AAEL001677,CG13044
AAEL001675,CG4998
AAEL006028,cv-d
AAEL006023,vanin-like
AAEL006022,Sbf
AAEL006026,Lrpprc2
AAEL010842,CG15812
AAEL010843,eIF1
AAEL000508,CG9593
AAEL000509,RhoGAP54D
AAEL010598,Upf2
AAEL010844,CG5823
AAEL000502,CG14882
AAEL000500,CG33306
AAEL010590,CG10467
AAEL010592,CG5377
AAEL001909,mRpS21
AAEL017315,Hsc70Cb
AAEL018150,CG5687
AAEL018151,mael
AAEL018152,inaD
AAEL018153,brp
AAEL001457,Gycalpha99B
