gene14364,sNPF
gene5983,ADD1
gene5982,CG7742
gene5985,CG4645
gene5984,CG14184
gene5986,CG8813
gene11511,RpI135
gene11512,NoSymbolFound
gene7298,CG12375
gene7295,mRNA-cap
gene7294,CG31248
gene716,Oatp30B
gene717,PRL-1
gene12261,CG13305
gene12260,FoxK
gene12267,yellow-b
gene12266,ppk17
gene12265,Shaw
gene10640,Vps28
gene1402,wdn
gene715,NoSymbolFound
gene1406,Or33c
gene3136,CG34159
gene3137,CG1309
gene3134,CG8641
gene3135,Dci
gene3133,Pdk1
gene3130,Mrtf
gene15125,pdm3
gene15123,CG42231
gene12906,CG7889
gene12907,MICAL-like
gene14830,Kyat
gene14834,CG18335
gene14835,Ass
gene14837,zfh1
gene11241,NoSymbolFound
gene11710,CG1671
gene11243,MFS3
gene11245,TFAM
gene11714,Kif19A
gene11247,Sting
gene11248,Gapdh1
gene11249,Ir60a
gene14009,AstC-R2
gene5473,Ndf
gene5474,CG16974
gene5476,POSH
gene5479,Ndfip
gene8218,IntS2
gene8219,RpS27
gene239,larp
gene238,Rlip
gene8212,mst
gene234,Nup98-96
gene237,conu
gene7931,Fip1
gene8740,su(f)
gene230,fd96Ca
gene8214,Coq5
gene7935,Ist1
gene3341,CG32537
gene5063,beat-Vc
gene5060,MED7
gene5061,RpS10a
gene5066,RpL21
gene5067,Usp12-46
gene5064,Sap30
gene5065,Rrp45
gene5068,CG1827
gene491,Cog2
gene490,unc79
gene493,BNIP3
gene492,CG4813
gene494,CG32112
gene949,CG34199
gene945,Ctr9
gene943,Rab39
gene942,Men
gene941,Men-b
gene1184,RpS23
gene1187,C3G
gene1181,CG11722
gene9168,CG14305
gene4919,CG8001
gene4918,CG5861
gene4915,Mgat3
gene4914,Alg7
gene4917,CG2931
gene4916,Rsph1
gene9167,CG10132
gene8211,Dpit47
gene14074,Osi7
gene12726,RpL27
gene12724,dpn
gene14333,Haspin
gene13419,RNaseX25
gene13418,CG8209
gene13417,NP15.6
gene13416,CG9410
gene13414,Dscam1
gene13412,Sf3b6
gene13410,Slbp
gene12094,sta
gene12090,raptor
gene12092,Ucp4A
gene12093,drk
gene12098,rho-5
GeneName,GeneSymbolOrthologs
gene2375,Ing3
gene7334,CG1635
gene7335,Piezo
gene7337,Plod
gene7330,EndoB
gene16591,Fbxl7
gene16590,CG10984
gene7338,CG7607
gene7339,nkt
gene6326,Nup43
gene6321,NoSymbolFound
gene6322,NoSymbolFound
gene6323,RagA-B
gene5665,eIF2Bdelta
gene5660,MSBP
gene5661,CG5953
gene5662,nej
gene14441,pita
gene14440,stck
gene4431,CG6179
gene14445,CenG1A
gene14447,Ance
gene14448,NimB2
gene8726,CG9503
gene14882,CG2224
gene3354,Sh
gene14885,Cat
gene8724,eIF4H1
gene8725,Flo2
gene8230,CG13743
gene3358,AspRS
gene3359,CG12379
gene8720,Pgam5
gene8721,CG11035
gene8025,Pex23
gene8024,mei-9
gene14667,CG15525
gene14666,Rbp1-like
gene7741,Fis1
gene14660,mats
gene8023,CG30392
gene8022,CG10413
gene8029,CG7601
gene8028,Pmi
gene11019,beat-Ib
gene11015,WDR79
gene11017,CG14671
gene11010,CG11134
gene1968,eff
gene1960,Sap-r
gene1965,CG7530
gene8904,FAM21
gene8681,Alg3
gene8685,Golgin245
gene8687,NoSymbolFound
gene8686,ND-23
gene8689,CG13366
gene8688,scaf
gene8903,MED21
gene9376,topi
gene9377,CG11753
gene9374,Syt14
gene4215,CaMKII
gene9372,CG12948
gene9373,ND-15
gene4210,CG11070
gene3931,Mp
gene9378,CG11883
gene4219,eIF1A
gene10636,spdo
gene10634,Cdk4
gene11906,slow
gene11905,CG15019
gene11903,SMC1
gene11902,ago
gene11900,Dis3
gene9882,CG4367
gene9883,Npc2b
gene550,dnk
gene551,imd
gene552,Mef2
gene2469,Syp
gene7108,Tg
gene2465,CG42613
gene7103,mid
gene2462,CG14285
gene2461,CG45122
gene2460,Hsc70-2
gene16362,CG42668
gene8177,pad
gene14926,ric8a
gene6515,Ada2a
gene6514,Rpb4
gene6513,CG6000
gene6512,CG13196
gene6511,Buffy
gene14927,RfC4
gene14070,Osi2
gene13621,sog
gene13622,Spat
gene13626,CG43658
gene2683,ClC-c
gene2682,cu
gene2681,CG17904
gene2680,CG17450
gene2687,clu
gene2688,CG12560
gene16109,Pax
gene1798,CG15027
gene1794,P5cr
gene1797,mtm
gene12283,CG43737
gene12285,CG12091
gene12287,Der-2
gene12286,rdgBbeta
gene3331,l(2)k09022
gene3332,CG17726
gene3333,viaf
gene3335,CG33158
gene3484,CG14971
gene3485,Jarid2
gene3483,CG5181
gene1425,Cpr92A
gene1423,PCID2
gene15459,CG3880
gene3155,NoSymbolFound
gene3151,Nulp1
gene3153,Ns4
gene15453,rno
gene15452,nwk
gene15455,CG32572
gene3159,Arp3
gene15457,CG18659
gene15456,ValRS
gene14856,Cad99C
gene14852,mRpL1
gene14853,ss
gene11366,CG17928
gene11226,SmydA-4
gene11227,CG10151
gene11220,CG17839
gene11228,ave
gene14072,Osi4
gene7488,Mpp6
gene7489,pirk
gene5412,cN-IIIB
gene5410,NoSymbolFound
gene7483,Rpn8
gene7480,zyd
gene7481,PQBP1
gene14276,CG10068
gene7487,Ptpa
gene7484,l(2)34Fd
gene7485,CG3831
gene1889,Hsc70-5
gene13922,CG31156
gene6689,meigo
gene6688,fz
gene6687,CG9541
gene6686,CG8891
gene6685,CG9344
gene6684,CG13587
gene6682,Ak1
gene6681,cv-d
gene13925,CG40191
gene13924,CG17715
gene8765,Grip128
gene11732,CG7778
gene11737,mAcon1
gene10179,dmrt99B
gene10171,btz
gene10177,CG11123
gene3494,CG12951
gene1228,CG11089
gene1229,CG9231
gene1222,Vps13
gene1223,Or71a
gene1227,Tl
gene963,Fdh
gene967,Lsm11
gene1160,bs
gene1167,mAChR-A
gene1169,CG1416
gene9413,Pex13
gene9412,strat
gene9411,CG11788
gene13098,dom
gene9416,Aprt
gene9415,COX5B
gene9414,RpS7
gene9419,Gale
gene9418,Irbp18
gene617,Cda5
gene613,RpS6
gene612,Csk
gene611,CG18081
gene619,GLS
gene12704,CG14022
gene12705,CG6294
gene12871,CG6299
gene12700,l(3)mbt
gene12877,CG12512
gene12702,ND-B18
gene12703,Plap
gene7172,eIF3h
gene14077,NoSymbolFound
gene7173,SP555
gene13474,Epac
gene13477,Mob4
gene809,Oatp58Dc
gene13473,CG9330
gene13472,Tif-IA
gene13479,AP-2mu
gene802,T3dh
gene8646,PGRP-LB
gene777,CG43102
gene15843,Phf5a
gene13172,mbc
gene807,dve
gene804,wdp
gene7312,Atg4a
gene7313,CG10264
gene2142,Smg5
gene7311,CG7115
gene7316,row
gene7314,CG10407
gene2147,CG11360
gene6308,Pde9
gene6301,NoSymbolFound
gene6305,Cyp6g2
gene5646,Fas2
gene14465,Inx7
gene14464,Inx2
gene14462,cm
gene14461,ND-ASHI
gene14460,shi
gene15597,opa
gene4300,ix
gene14649,nAChRalpha3
gene4301,NoSymbolFound
gene14642,CG6959
gene14640,CG10898
gene14647,Sec8
gene4302,CG7966
gene14645,CG9302
gene14644,NoSymbolFound
gene4304,Arl4
gene9557,CG10731
gene11034,ras
gene4665,Pura
gene4664,antdh
gene1941,jef
gene2904,AGO2
gene1943,CG8468
gene1945,Sec3
gene1944,Snx6
gene1947,Dcr-2
gene1946,CG18596
gene4551,CG5554
gene4550,Sec71
gene7876,gcm
gene14210,Ltn1
gene2901,mtTFB1
gene7874,mei-W68
gene14212,Ube3a
gene2903,Asciz
gene7281,CG13933
gene9318,CG5285
gene9319,Hexim
gene9315,ergic53
gene4276,CG11504
gene4277,Mgat4a
gene9310,Trf4-1
gene11692,Spn28B
gene9312,NoSymbolFound
gene9313,l(1)G0004
gene10340,Pnn
gene10341,Poxm
gene10610,CG32579
gene7878,TrissinR
gene11964,nord
gene11966,CG13575
gene11961,lov
gene11969,SmydA-5
gene4898,Pfas
gene13087,aux
gene4890,CG13693
gene4893,Mip
gene4894,CG5157
gene4895,Rep
gene4896,Atg12
gene4897,CG12795
gene13082,S
gene13083,Tsp86D
gene579,Shc
gene8959,nau
gene8958,CG1909
gene8955,dsb
gene8402,Wdr62
gene576,CG34038
gene577,CG15239
gene575,CG8568
gene16348,e(y)1
gene16349,CG5885
gene2447,CG6511
gene2330,CG16995
gene7120,haf
gene7123,salm
gene16341,daw
gene16342,CG32850
gene2338,nos
gene2449,CG7137
gene2448,mus301
gene16346,LSm-4
gene16347,Golgin84
gene14214,lili
gene6536,Cpr62Bb
gene6530,Cpr62Bc
gene6533,Cpr76Bc
gene14215,RpL15
gene13648,RanBP3
gene13649,Pex5
gene13646,CG9667
gene13647,cdm
gene13644,bora
gene13642,CG32104
gene13643,CG9536
gene13865,CG13501
gene12111,Rad17
gene12110,Wbp2
gene12112,DENR
gene12115,CG42237
gene12114,CG10340
gene16124,Iris
gene3315,mr
gene3313,nompB
gene3311,Sesn
gene3318,l(2)35Be
gene1445,CG17691
gene1446,cep290
gene1441,dlg1
gene15800,GPHR
gene3178,RpL7
gene3179,CG18273
gene4788,RpL40
gene4789,FIG4
gene3172,CtsB1
gene3170,NELF-B
gene3171,pn
gene3177,Task6
gene4783,Obp19d
gene5568,Naa15-16
gene15478,cact
gene14875,DNApol-theta
gene14876,Efa6
gene14871,CG7896
gene14878,Cisd2
gene5787,Spt20
gene5785,CycA
gene5784,toe
gene5780,CARPB
gene5788,CG16721
gene7027,hb
gene5431,CG12769
gene5430,Nup50
gene5433,stas
gene5432,wgn
gene2940,CG6674
gene2942,NoSymbolFound
gene14253,CG7183
gene2944,axed
gene7466,bel
gene2947,Atx-1
gene7469,CG8149
gene7359,Esyt2
gene7353,Su(dx)
gene11208,Tektin-A
gene11758,Rim2
gene11204,CG12301
gene11205,ttm50
gene11754,CG3036
gene11752,RnpS1
gene11753,fl(2)d
gene11750,CG13671
gene10401,qkr54B
gene10403,Ski6
gene10402,Mtpbeta
gene10405,ND-B12
gene10404,robl
gene10407,PCNA
gene10406,Rae1
gene10409,CG10646
gene10408,UQCR-14L
gene10150,CG11319
gene1209,GstE12
gene1207,CIAPIN1
gene1205,DNApol-zeta
gene1200,Pbp49
gene1201,CG7694
gene13988,CG8323
gene13985,CG15760
gene13981,ND-B17
gene13980,Rpt6
gene13983,sut1
gene9439,CG1646
gene9438,YME1L
gene9432,CG10472
gene9437,CG8814
gene9436,Oda
gene9124,CycH
gene9120,Dll
gene9129,exex
gene9128,RabX1
gene631,CG9372
gene635,ND-MWFE
gene639,mas
gene13185,Prp31
gene13187,CG32196
gene13186,Ost48
gene13181,CG1532
gene13180,CG9527
gene13183,Cen
gene9041,Mfe2
gene13189,x16
gene9042,exu
gene12858,lqfR
gene12859,Nmnat
gene12850,TORIP
gene12851,eIF3a
gene12852,CG1103
gene12854,BOD1
gene12856,wfs1
gene12857,Nop56
gene13459,CG4617
gene13458,CG11920
gene2538,sun
gene13321,Ir75d
gene13323,yellow-c
gene6498,so
gene12588,BicC
gene12589,Mettl14
gene12586,CG11170
gene12587,bsk
gene12585,Usp7
gene6496,Nup35
gene6497,CG6617
gene6494,jv
gene12581,NoSymbolFound
gene5922,CG6695
gene7013,CG32982
gene5920,Vha68-2
gene7014,tai
gene2161,CG9393
gene3784,Spx
gene3787,Trxr-2
gene3781,CG13532
gene14409,CG1463
gene14408,Mvb12
gene14407,Fign
gene14406,Neb-cGP
gene14401,Agpat1
gene12323,promL
gene12320,gw
gene12324,CG11414
gene12325,CG12702
gene411,Scsalpha1
gene15869,CG1213
gene415,CG7461
gene8871,PPO2
gene4644,galla-2
gene4649,CG7546
gene4364,CG12121
gene10847,Sras
gene14057,Psf2
gene1927,TBCB
gene1926,Tango4
gene1925,CG4287
gene1923,mgr
gene1922,S2P
gene1921,CG34229
gene1920,Sobp
gene1929,Coprox
gene1928,CG5800
gene15318,CG9747
gene5177,CNMaR
gene5170,ArgRS
gene12695,DCTN2-p50
gene15311,CG14174
gene9332,Fpps
gene9333,Arr2
gene9330,Pka-R2
gene9331,Rga
gene4256,CG10483
gene3977,CASK
gene3974,CG13605
gene3975,CG18428
gene4258,CG6184
gene10368,Gr28b
gene10360,Pabp2
gene10362,Achl
gene10364,Lsm10
gene10365,MED6
gene10366,CG9471
gene10367,Naa80
gene11419,CG42514
gene11418,Rpn5
gene11943,CG3961
gene11942,CG12863
gene11413,Poc1
gene14608,Gr39a
gene11415,CG8321
gene11414,Myo31DF
gene11945,Vti1a
gene11944,RpL34b
gene14607,CG1890
gene14605,MRG15
gene14604,CG10395
gene10098,Ttc30
gene10099,CD98hc
gene10097,CG12163
gene10094,GstZ2
gene10095,ps
gene10092,CG13654
gene14602,Cp190
gene7699,CG17672
gene7698,Srrm1
gene7692,kkv
gene7691,TyrRS
gene7690,Wdr59
gene7696,Bub1
gene7695,CG4751
gene7694,Arl5
gene9844,pyx
gene9846,CG1113
gene9599,Cpr66Cb
gene9596,nopo
gene9592,CG15160
gene9590,CG1943
gene8259,CG11537
gene5123,Sec22
gene9602,CG3894
gene5120,Alp4
gene10890,CG13367
gene10891,Eaat1
gene8748,Vps53
gene8421,l(3)neo43
gene8422,Proc
gene16328,Syt7
gene8257,ND-49
gene13144,Cpr
gene13664,cv-2
gene801,Asap
gene13846,Cchl
gene13848,CG13643
gene13668,Hs3st-A
gene13669,CG14079
gene12132,ppk26
gene12138,Ocho
gene2311,wcd
gene2310,Taf4
gene8745,Atg8a
gene4414,RhoGAP1A
gene4415,Not3
gene4416,CG32795
gene892,Liprin-alpha
gene4410,CG10737
gene3371,Zcchc7
gene4412,CG15111
gene8358,Pgk
gene1462,DIP-eta
gene1461,DIP-kappa
gene805,CG5819
gene8250,CG17841
gene8747,kz
gene3191,CG6026
gene3192,Proc-R
gene3193,CG8547
gene3194,mRpS28
gene3195,CG13220
gene3199,Larp7
gene8251,coro
gene9290,Prosbeta5
gene2741,mAChR-C
gene9292,CG4752
gene6736,hyd
gene7509,WASp
gene7508,spz5
gene7502,Cpr65Av
gene6118,CG9886
gene8743,Rpn9
gene6117,CG18641
gene6116,VGlut
gene7446,wor
gene7447,CG18858
gene7444,mdy
gene7443,slmo
gene7440,Su(H)
gene7441,ck
gene7449,CG17883
gene13495,CG14764
gene7998,CG2614
gene7994,CG11617
gene7996,RtGEF
gene7997,Got2
gene7990,ncm
gene7991,Rab5
gene13491,5PtaseI
gene11775,Pgant3
gene11776,E23
gene11772,CG10348
gene10135,IFT52
gene10134,mu2
gene10131,CG10495
gene10420,Arp6
gene8356,CG7914
gene1264,msps
gene1265,Hsc70-3
gene1266,crb
gene1267,Sin1
gene1260,CG9399
gene1263,Smyd3
gene1268,CG10362
gene2426,CG8929
gene2742,MED24
gene2743,CG4119
gene381,AP-1mu
gene8859,POLDIP2
gene382,p120ctn
gene384,GlcT
gene437,Nipped-B
gene435,Sgt
gene434,bt
gene433,CG33290
gene920,CG34188
gene922,Adck1
gene1129,CG11103
gene1128,RpS30
gene1127,Cdk8
gene1125,eRF1
gene1124,CG5498
gene1122,CG33969
gene9109,eve
gene9108,Erk7
gene9459,CG15602
gene9458,Sec23
gene9457,elm
gene9456,Wdr92
gene9455,Mocs2B
gene9106,Nsun2
gene9100,Fancm
gene9451,CG5646
gene9102,CCT3
gene658,kon
gene652,CG34184
gene651,stau
gene657,CG3402
gene654,fd102C
gene1698,LBR
gene12838,Gga
gene12839,Lst8
gene13307,Ref1
gene13306,Arl6IP1
gene13305,CG8188
gene674,CG1299
gene200,ScpX
gene9603,sax
gene2105,prom
gene2106,CG11236
gene2100,Ada1-1
gene2102,CG8541
gene4400,l(1)G0469
gene3915,Pex6
gene9604,CG8195
gene9605,BBS4
gene9358,CG2698
gene9359,CG7156
gene14422,MED22
gene14421,pre-mod(mdg4)-I
gene14426,pre-mod(mdg4)-Y
gene3344,Ir8a
gene3347,Vap33
gene12302,Rbpn-5
gene4426,Cda9
gene12309,sn
gene3436,Arts
gene3435,ACXD
gene3434,S1P
gene8222,Lnk
gene14685,CG32683
gene5825,GABA-B-R3
gene14683,Vav
gene8221,AdipoR
gene7900,CG4080
gene4627,CG6512
gene4626,whd
gene4625,mri
gene4624,Nxt1
gene4622,CG12970
gene4621,CG3165
gene4620,CG5989
gene15086,Jwa
gene1909,Fer2LCH
gene1908,Fer1HCH
gene1905,CG9799
gene1907,CG1785
gene1906,opm
gene1901,CG5890
gene1900,Dhx15
gene1903,Trissin
gene1902,Hlc
gene15338,CG7006
gene15339,CG5815
gene14030,endos
gene10304,mud
gene14031,Marf
gene5574,CG8785
gene10303,BORCS7
gene10300,Gbeta5
gene10301,CG5149
gene11439,SdhA
gene11438,CG6984
gene11437,CG3587
gene11432,chrb
gene6900,CG5028
gene6901,Zw
gene6902,CG17270
gene6903,Gat
gene6907,CG11999
gene6908,Pi4KIIalpha
gene8191,Hcs
gene8622,lmd
gene8193,psidin
gene8627,Kdm4B
gene8194,Lac
gene8199,dlt
gene9867,Bili
gene9861,Shab
gene5101,CG33259
gene14035,Cpr72Ea
gene8447,CG14669
gene8446,CG34051
gene8441,Orco
gene8440,CG2663
gene14096,eIF4EHP
gene8449,CG8952
gene16306,grn
gene16301,Hakai
gene16302,Mes4
gene16303,CG14650
gene8148,pasha
gene14099,CG1344
gene13826,CenB1A
gene13824,Rfx
gene13820,Cdk12
gene13828,Eno
gene13829,CG33143
gene2379,CG42272
gene2378,Blos3
gene9712,CG8399
gene2373,CG14085
gene9715,CG10907
gene9716,CG6479
gene4433,CG42271
gene5819,CG15431
gene5818,CG8086
gene4437,CG16758
gene4434,Nrd1
gene4435,fidipidine
gene4438,cyc
gene4439,Aplip1
gene5817,CG5850
gene5816,beta-Spec
gene5815,CG14277
gene5814,ZnT77C
gene15650,CG15144
gene1480,Upf3
gene1481,CG1750
gene1482,Gpdh1
gene1483,Vha14-1
gene1484,gb
gene1485,Sply
gene1486,Gs1l
gene1488,jar
gene12157,CG1317
gene12156,elg1
gene12153,CG32206
gene12152,St4
gene2593,Ets65A
gene2592,Pdxk
gene2590,Surf1
gene2596,CG13293
gene6289,gdl
gene6288,CG14969
gene6283,RpLP0
gene6286,Eaf6
gene6285,Cpr76Bd
gene6284,Gclc
gene5743,AsnRS-m
gene5742,Klp61F
gene5741,Rab30
gene5740,CG11200
gene5747,aay
gene5746,Pcmt
gene5745,CG9590
gene5744,Nup58
gene7521,Galphao
gene7525,CycB
gene6131,Patsas
gene6130,jhamt
gene6133,CG12081
gene6132,Ent1
gene6137,mRpL22
gene6136,CG34408
gene6139,CG9951
gene6138,CG4882
gene2908,NoSymbolFound
gene2909,CG16789
gene7424,sinu
gene7425,pck
gene2906,CG6550
gene2900,l(2)k01209
gene7421,ND-B8
gene2902,SPoCk
gene7423,kune
gene13289,Ctl1
gene13287,NoSymbolFound
gene13931,Tsp47F
gene8292,CG2656
gene8293,Arpc3A
gene8291,SppL
gene8296,Sara
gene8297,CG5742
gene8298,CG5555
gene8299,CG4658
gene15319,Desat1
gene5185,Taf12
gene1248,CG15412
gene9171,mthl5
gene1240,CG14516
gene1241,ppk3
gene4901,unc
gene4193,NoSymbolFound
gene4192,asrij
gene4905,east
gene418,Hand
gene8878,Eaf
gene8876,Mvl
gene8877,dsh
gene8874,Pex12
gene8875,Acph-1
gene8872,NoSymbolFound
gene417,NoSymbolFound
gene416,mGluR
gene1107,CG6839
gene1103,CG42390
gene1108,CG42724
gene4995,fend
gene9474,Stt3B
gene9477,vis
gene9471,CG14480
gene9470,VGAT
gene9473,l(3)L1231
gene4992,Actn
gene9479,amon
gene9478,Rnp4F
gene10449,mRpL24
gene4603,mfr
gene10112,Rchy1
gene10111,Not10
gene3654,CG30158
gene8543,ox
gene7162,SmB
gene13145,spoon
gene8540,Spt5
gene8541,GILT1
gene7164,NoSymbolFound
gene7166,sens
gene12814,Gp93
gene12815,pont
gene6739,CG14818
gene6738,CG11158
gene6737,Kap3
gene12819,Calr
gene6735,Cdep
gene13496,Pitslre
gene13367,AdoR
gene13493,Dronc
gene13363,CG6962
gene13369,rl
gene13368,CG9257
gene2295,CG31548
gene2290,REPTOR
gene2291,CG15628
gene2292,CG2611
gene2293,CG11777
gene2298,CG13907
gene6456,ScsbetaA
gene6457,IntS4
gene6454,mop
gene6455,CG10470
gene6453,Baldspot
gene6450,Vta1
gene6451,Pof
gene6458,CG4374
gene16381,gzl
gene293,p38b
gene671,CG32512
gene670,hpo
gene673,Slc25A46a
gene672,rnh1
gene679,Dhpr
gene678,CG2162
gene2129,Optix
gene2123,Diap1
gene2120,Diap2
gene2126,Uba4
gene2125,in
gene16511,Elp3
gene16513,CG11399
gene14917,CG9743
gene14910,mRpS24
gene14919,CG8630
gene12364,Irk1
gene12361,Smurf
gene12888,Pc
gene12738,Bet1
gene4867,CG32425
gene3659,RpL18
gene8898,Wee1
gene3650,Ntan1
gene3656,Klp67A
gene3655,mRpS35
gene8899,CG41099
gene12887,CG9286
gene9542,Rho1
gene8896,MED26
gene10101,Rat1
gene7841,Oli
gene8890,Dpm3
gene2918,CG42366
gene340,Alg10
gene343,tacc
gene7436,Grip91
gene342,shg
gene2915,CG5290
gene15356,Fmo-1
gene15357,bai
gene2914,CSN3
gene11631,qtc
gene11630,CG3625
gene11633,Fkbp39
gene11632,Sod2
gene11635,spen
gene11638,ND-PDSW
gene11185,Mipp1
gene11184,CG11686
gene11183,eIF3b
gene11182,CG32521
gene10324,CG7483
gene10325,Pbgs
gene10326,CG8461
gene10321,mRpS18A
gene10322,Mink
gene5559,CG5866
gene5556,pcx
gene5557,CG5254
gene5554,CG43867
gene10329,CG3527
gene11987,Rpt1
gene11457,Rpp20
gene11984,CG4768
gene11983,mRpS33
gene11982,ATPsynF
gene11453,Ire1
gene11459,Rpn11
gene11988,TpnC25D
gene6927,c11.1
gene6925,RpII33
gene6922,CG7627
gene6923,Stt3A
gene6921,mTerf5
gene8546,PIP4K
gene6929,CG18507
gene8609,CG6574
gene14001,CG42284
gene8600,Pur-alpha
gene14003,CG7251
gene8604,Obp57c
gene14006,CG42637
gene8547,CG1575
gene10580,CG9727
gene10850,sas
gene10851,CG5639
gene10584,DNApol-iota
gene10587,Dhap-at
gene10588,PpD3
gene10589,Claspin
gene5163,Bx
gene8465,CG14795
gene8467,Tango9
gene8466,CG6910
gene8460,CG14805
gene882,Pka-C1
gene883,Dh31
gene880,cag
gene887,fsd
gene13808,bap
gene13805,C15
gene13807,lbe
gene13801,CG6136
gene13803,CG6051
gene3868,Lk6
gene3865,CG3999
gene9802,CG11980
gene3867,Sec61alpha
gene1710,Moe
gene1711,Dop1R2
gene1712,Tsp26A
gene1714,futsch
gene1715,CG33080
gene1716,Lon
gene1718,CG15473
gene1719,Cbp80
gene2355,Nup154
gene2354,CG32176
gene2350,Chi
gene9738,CG10053
gene9736,Sec10
gene9737,CG15012
gene9734,IFT54
gene9735,Art1
gene9732,CG1271
gene9733,Eb1
gene9730,Dhc98D
gene9731,CG4239
gene5833,CARPA
gene5837,rib
gene5836,SREBP
gene15982,Sfxn2
gene15980,Psf1
gene15633,Rca1
gene15984,CG6040
gene13772,APC7
gene13773,CG6686
gene13770,CG17258
gene13776,Mlc2
gene13777,CG1983
gene13774,RpII140
gene13775,CG31028
gene12172,CG6583
gene12171,crok
gene12170,CG31676
gene12176,Pde11
gene16188,ND-B15
gene16186,CG7544
gene16187,Trs31
gene7091,spir
gene7090,Tctp
gene7092,CG4622
gene7095,CG7414
gene7097,rho-7
gene7096,CG4390
gene7099,Snx21
gene7098,dre4
gene10323,Sf3b2
gene5769,Rpi
gene5768,CG17493
