GeneName,GeneSymbolOrthologs
AGAP004904,Cat
AGAP004905,Deaf1
AGAP004906,CG9399
AGAP004907,HLH4C
AGAP004908,CG3081
AGAP004909,CG17726
AGAP004910,Arfip
AGAP004911,moi
AGAP004915,DIP-delta
AGAP004917,CG30280
AGAP004919,RpL15
AGAP004923,Ir64a
AGAP004928,CG32280
AGAP004929,AIMP3
AGAP004930,Tre1
AGAP004931,Gorab
AGAP004932,blot
AGAP004933,CG8003
AGAP004934,Pex23
AGAP004937,Unr
AGAP004938,CG1407
AGAP004940,Pka-R2
AGAP004942,mub
AGAP004943,CG17364
AGAP004945,CG7638
AGAP004946,Hem
AGAP004947,CG14000
AGAP004950,bru3
AGAP004952,CG6843
AGAP004953,CSN1b
AGAP004954,Reg-2
AGAP004955,312
AGAP004956,dpa
AGAP004957,NoSymbolFound
AGAP004958,PIG-G
AGAP004959,imd
AGAP004960,Prosalpha3
AGAP004961,stl
AGAP004963,CycB
AGAP004965,Mes4
AGAP004968,CG3257
AGAP004969,Ir75d
AGAP004972,otu
AGAP004974,Or82a
AGAP004982,Pof
AGAP004983,CG33228
AGAP004984,CG12818
AGAP004985,mRpL16
AGAP004986,CG7484
AGAP004988,CG6409
AGAP004989,Abl
AGAP004990,mbf1
AGAP004991,Prosbeta6
AGAP004992,Su(P)
AGAP004993,LanA
AGAP004998,CG5550
AGAP005000,CG10357
AGAP005001,CNMaR
AGAP005003,Tsf2
AGAP005004,slim
AGAP005005,NoSymbolFound
AGAP005006,CG9346
AGAP005007,CG4069
AGAP005008,sowah
AGAP005009,P5cr-2
AGAP005010,ara
AGAP005011,mirr
AGAP005012,Galk
AGAP005014,spag
AGAP005015,NoSymbolFound
AGAP005017,in
AGAP005018,CG17985
AGAP005019,Nnf1a
AGAP005020,Hil
AGAP005021,Spt5
AGAP005029,wmd
AGAP005030,NoSymbolFound
AGAP005031,Su(var)2-10
AGAP005032,Cnx99A
AGAP005033,CG4554
AGAP005034,mtt
AGAP005035,Ino80
AGAP005036,CG3857
AGAP005037,CG32809
AGAP005038,b6
AGAP005039,CG42353
AGAP005040,Rilpl
AGAP005041,exex
AGAP005042,syd
AGAP005043,CG17684
AGAP005044,CG4293
AGAP005046,RpL22
AGAP005047,Gr33a
AGAP028210,CG43366
AGAP005048,mr
AGAP005049,CCDC53
AGAP005050,CG6833
AGAP005051,Chrac-14
AGAP005052,phr
AGAP005054,CG3589
AGAP005055,ITP
AGAP005056,koko
AGAP005057,RIC-3
AGAP005058,stet
AGAP005061,RpS9
AGAP005062,Cpsf6
AGAP005063,RanBPM
AGAP005065,CG1304
AGAP005066,CAH3
AGAP005067,CG31467
AGAP005068,dpr1
AGAP005070,CG4622
AGAP005071,Orai
AGAP005073,CG13954
AGAP005075,Mapmodulin
AGAP005076,Amph
AGAP005079,Galphaq
AGAP005080,Rpe
AGAP005081,boca
AGAP005082,Vps13
AGAP005088,NoSymbolFound
AGAP005091,Gdap2
AGAP005096,Rx
AGAP005099,otp
AGAP005100,Vps60
AGAP005101,cep290
AGAP005102,Uba3
AGAP005103,CG5162
AGAP005108,CG10576
AGAP005109,QIL1
AGAP005110,Arp3
AGAP005111,app
AGAP005115,mi
AGAP005116,Sgf29
AGAP005117,Pabp2
AGAP005118,mRpS17
AGAP005119,Fcp1
AGAP005120,CG11127
AGAP005121,Jwa
AGAP005122,p47
AGAP005123,nmdyn-D6
AGAP005124,Aldh-III
AGAP005125,wech
AGAP005126,spz6
AGAP005127,nito
AGAP005128,mEFTu2
AGAP005129,Mtap
AGAP005130,Dbp45A
AGAP005131,RpS24
AGAP005132,Tmem18
AGAP005133,tamo
AGAP005134,blw
AGAP005135,CG10543
AGAP005136,CG10418
AGAP005137,Lmx1a
AGAP005138,CG4328
AGAP005139,INPP5E
AGAP005141,CG32100
AGAP005142,mRNA-cap
AGAP005143,CG33144
AGAP005144,RfC3
AGAP005147,wde
AGAP005148,CG12935
AGAP005149,CG7637
AGAP005150,CG12341
AGAP005152,NoSymbolFound
AGAP005153,CG5493
AGAP005155,egl
AGAP005156,retn
AGAP005158,Ada
AGAP005159,Ric
AGAP005160,Rho1
AGAP005161,CG8414
AGAP005162,Dg
AGAP005163,Ugt316A1
AGAP005164,CG8405
AGAP005165,SP2353
AGAP005168,geko
AGAP005170,CG8399
AGAP005173,CG8726
AGAP005174,Nup44A
AGAP005175,ACC
AGAP005176,Cdc6
AGAP005177,IFT46
AGAP005178,CG31344
AGAP005179,CG14763
AGAP005183,Sox14
AGAP005187,dikar
AGAP005188,Sugb
AGAP005189,Pldn
AGAP005190,CG3587
AGAP005191,Dis3
AGAP005192,Naa60
AGAP005193,Nup188
AGAP005197,ben
AGAP005198,CG8818
AGAP005199,Coq4
AGAP005200,frc
AGAP005201,CG5181
AGAP005202,Roc1a
AGAP005203,PGRP-LC
AGAP005205,PGRP-LA
AGAP005206,CG6685
AGAP005207,bma
AGAP005209,l(2)k01209
AGAP005210,eIF2Bgamma
AGAP005211,CG6550
AGAP005213,Myo10A
AGAP005215,CG14231
AGAP005216,fab1
AGAP005217,CG6362
AGAP005218,CG3732
AGAP005219,Dscam3
AGAP005220,CG8078
AGAP005221,CG8545
AGAP005222,nemy
AGAP005223,GLaz
AGAP005225,d4
AGAP005226,CG3781
AGAP005227,Dgp-1
AGAP013141,CG42518
AGAP005228,MED9
AGAP005229,MsR1
AGAP005230,CG42663
AGAP005233,Tsp47F
AGAP005234,Sod3
AGAP005235,sprt
AGAP005236,slv
AGAP005237,sut1
AGAP005239,CG8323
AGAP005240,CG18870
AGAP005241,CG15673
AGAP005242,CG8180
AGAP005243,Rgk3
AGAP005244,psq
AGAP005245,NoSymbolFound
AGAP005246,Spn42Da
AGAP005248,CG30158
AGAP005249,CG3335
AGAP005250,Nop17l
AGAP005251,Elk
AGAP005252,Myd88
AGAP005254,Drep2
AGAP005255,Rab3
AGAP005256,jhamt
AGAP005257,Stacl
AGAP005259,CG5098
AGAP005260,CG5757
AGAP005261,CG17002
AGAP005262,vimar
AGAP005263,Sec24AB
AGAP005267,Arl2
AGAP005268,CG13202
AGAP005269,CG1647
AGAP005270,Ublcp1
AGAP005271,Fancl
AGAP005272,Rad60
AGAP005273,CG7896
AGAP005275,CG16791
AGAP005279,NoSymbolFound
AGAP005281,NK7.1
AGAP005282,DhpD
AGAP005283,Adgf-C
AGAP005285,kmr
AGAP005287,CG9941
AGAP005288,btsz
AGAP005289,myo
AGAP005290,CG5270
AGAP005291,larp
AGAP005292,CG34354
AGAP005294,CG2017
AGAP005295,ECSIT
AGAP005296,CG44249
AGAP005297,Skp2
AGAP005298,CG10375
AGAP005299,ohgt
AGAP005300,cnc
AGAP005301,CG4467
AGAP005302,CG8500
AGAP005305,CG30122
AGAP005306,CaMKI
AGAP005308,Mes2
AGAP005311,hbn
AGAP005312,CG15649
AGAP005313,CG34115
AGAP005314,CG9344
AGAP005315,CG15650
AGAP005316,shrb
AGAP005317,CG30344
AGAP005320,U3-55K
AGAP005321,dup
AGAP005322,NoSymbolFound
AGAP005323,CG12338
AGAP005324,CG7220
AGAP005325,Sms
AGAP005327,UK114
AGAP005328,CG14837
AGAP005329,CG12502
AGAP005330,Oseg2
AGAP005331,CG9018
AGAP005332,tfc
AGAP005333,CG33978
AGAP005336,Bap60
AGAP005341,CG3530
AGAP005343,CG3520
AGAP005344,Vps28
AGAP005345,Achl
AGAP005346,lms
AGAP005347,Mgat1
AGAP005349,snky
AGAP005350,qsm
AGAP005352,NoSymbolFound
AGAP005353,Blos2
AGAP005359,ago
AGAP005360,CG1265
AGAP005362,CG15011
AGAP005363,msb1l
AGAP005364,CG1309
AGAP005365,CG11583
AGAP005366,Srrm1
AGAP005368,CG17672
AGAP005369,Nopp140
AGAP005372,Est-P
AGAP005374,mu2
AGAP005375,Nmd3
AGAP005376,mge
AGAP005377,CG12379
AGAP005378,Eip63F-1
AGAP005379,CG10866
AGAP005380,CG15012
AGAP005381,Hexo1
AGAP005382,TfIIEbeta
AGAP005390,Kah
AGAP005391,Gem3
AGAP005392,PGAP3
AGAP005393,Rab2
AGAP005394,chk
AGAP005399,Lmpt
AGAP005401,Kap-alpha1
AGAP005402,Ccdc58
AGAP005404,ergic53
AGAP005405,foi
AGAP005406,NoSymbolFound
AGAP005408,axed
AGAP005409,CG6674
AGAP005410,vnc
AGAP005411,p130CAS
AGAP005412,CG6845
AGAP005413,Gem2
AGAP005414,MESR6
AGAP005415,aft
AGAP005417,swi2
AGAP005418,AIMP2
AGAP005419,dare
AGAP005420,CG18335
AGAP005421,OXA1L
AGAP005422,galla-2
AGAP005423,Prosalpha4
AGAP005424,CG12826
AGAP013197,Lst
AGAP005425,Unc-115a
AGAP005427,RpL28
AGAP005428,spt4
AGAP005429,thoc6
AGAP005430,CG8009
AGAP005431,CG5027
AGAP005432,PDCD-5
AGAP005433,CG13698
AGAP005435,NoSymbolFound
AGAP005438,CG7839
AGAP005440,CG14982
AGAP005445,Rac1
AGAP005447,CG4335
AGAP005448,B9d2
AGAP005449,Cbl
AGAP005450,CG32354
AGAP005455,Cpr67Fb
AGAP005456,Cpr67Fa1
AGAP005460,Ppat-Dpck
AGAP005461,Nse1
AGAP005462,Txl
AGAP005464,Dh44-R1
AGAP005467,Dp1
AGAP005471,Unc-89
AGAP005472,hob
AGAP005478,CG14131
AGAP005479,CG15073
AGAP005480,CG8388
AGAP005483,grau
AGAP005486,mRpL50
AGAP005490,stj
AGAP005494,IntS9
AGAP005495,Or63a
AGAP005499,CG9360
AGAP005504,scramb1
AGAP005505,CG1316
AGAP005506,bol
AGAP005507,nSyb
AGAP005508,mim
AGAP005509,CG30157
AGAP005510,CG1513
AGAP005515,CG1441
AGAP005516,ppk25
AGAP005518,FMRFa
AGAP005520,CG1275
AGAP005521,trc
AGAP005522,Taf11
AGAP005523,SmB
AGAP005524,CG12134
AGAP005526,Cubn
AGAP005529,Nmda1
AGAP005530,Balat
AGAP005531,ALiX
AGAP005532,CG7601
AGAP005533,Nipped-A
AGAP005535,Rpn5
AGAP005537,CG14971
AGAP005538,trsn
AGAP005539,Blos4
AGAP005540,Uch-L5
AGAP005541,Jarid2
AGAP005542,CG3434
AGAP005543,NoSymbolFound
AGAP005544,APP-BP1
AGAP005545,Nulp1
AGAP005546,CG32333
AGAP005549,Sf3b3
AGAP005550,Pmi
AGAP005551,Rabex-5
AGAP005552,PGRP-LD
AGAP005553,Cralbp
AGAP005555,CTCF
AGAP005556,CG33523
AGAP005557,CG10483
AGAP005559,Rpn10
AGAP005560,Rcd5
AGAP005561,CG4953
AGAP005562,Roc2
AGAP005563,Tret1-1
AGAP005564,grh
AGAP005565,CG11593
AGAP005567,wit
AGAP005569,CkIIalpha
AGAP005575,Grip84
AGAP005576,AspRS
AGAP005578,ida
AGAP005581,CG15093
AGAP005582,Zfrp8
AGAP005583,Pi3K21B
AGAP005584,Vps51
AGAP005585,CG14968
AGAP005586,CG12009
AGAP005588,CG12017
AGAP005589,CG14960
AGAP005595,enc
AGAP005599,pHCl-1
AGAP005601,meru
AGAP005602,CG18081
AGAP005604,MED20
AGAP005605,CG12713
AGAP005606,ssp2
AGAP005608,NUCB1
AGAP005609,ArfGAP3
AGAP005612,CG17032
AGAP005613,CG11370
AGAP005615,bonsai
AGAP005616,Dlish
AGAP005617,CG6424
AGAP005618,Adi1
AGAP005619,simj
AGAP005620,CG33493
AGAP005621,ND-13B
AGAP005622,CG4911
AGAP005623,CG3402
AGAP005624,CG4942
AGAP005625,teq
AGAP005627,Argk
AGAP005630,NoSymbolFound
AGAP005631,Tango4
AGAP005632,gammaSnap1
AGAP005633,CG13921
AGAP005634,Cht2
AGAP005635,olf186-M
AGAP005639,Mdr49
AGAP005640,CG6841
AGAP005641,CG9705
AGAP005643,NoSymbolFound
AGAP005644,Nrt
AGAP005645,antdh
AGAP005646,Hen1
AGAP005647,Ice1
AGAP005649,CG10984
AGAP005650,beg
AGAP005651,CG10189
AGAP005652,CG10077
AGAP005654,CG6179
AGAP005655,cyc
AGAP005656,Cyp305a1
AGAP005661,ftz-f1
AGAP005662,Mcad
AGAP005672,Tudor-SN
AGAP005673,CG9643
AGAP005674,miple1
AGAP005675,CG43780
AGAP005680,PAN3
AGAP005681,DopEcR
AGAP005682,slow
AGAP005683,CG8366
AGAP005684,Syx17
AGAP005685,CG15019
AGAP005699,Hsepi
AGAP005700,MED14
AGAP005701,CG13893
AGAP005710,promL
AGAP005711,Clk
AGAP005712,Hn
AGAP005714,frac
AGAP005715,Atg13
AGAP005716,Snmp2
AGAP005717,CG8492
AGAP005719,Taf4
AGAP005721,CG13937
AGAP005723,Aprt
AGAP005724,Tmhs
AGAP005725,dsb
AGAP005727,Dbx
AGAP005728,Psa
AGAP005729,Eip63E
AGAP005731,Taf2
AGAP005732,dgt5
AGAP005734,edl
AGAP005735,ZC3H3
AGAP005736,CG5989
AGAP005737,CG6282
AGAP005738,GAPsec
AGAP005739,CG43078
AGAP005742,Sema1b
AGAP005743,Pus7
AGAP005747,CG6765
AGAP005749,GstO3
AGAP005755,Ets65A
AGAP005761,CG6903
AGAP005762,CG9992
AGAP005763,tor
AGAP005765,CG13917
AGAP005769,CG16865
AGAP005770,CG13293
AGAP005771,Rme-8
AGAP005772,Cdk5
AGAP005773,Galphao
AGAP005774,Cyp49a1
AGAP005775,BI-1
AGAP005776,Pdf
AGAP005777,ClC-c
AGAP005778,Ids
AGAP005780,CG3907
AGAP005781,CG10361
AGAP005782,CG1598
AGAP005784,Pal2
AGAP005789,CG18596
AGAP005795,CG5687
AGAP005796,pbl
AGAP005797,CG8111
AGAP005799,dally
AGAP005800,Mcm7
AGAP005801,Ndfip
AGAP005802,RpL8
AGAP005803,CG42268
AGAP005805,CG18171
AGAP005806,CG32052
AGAP005807,CG43897
AGAP005809,I-2
AGAP005811,oxt
AGAP005812,CG2034
AGAP005813,IscU
AGAP005814,ecd
AGAP005815,CG14830
AGAP005816,unc-13-4A
AGAP005817,Cdk4
AGAP005818,CG7655
AGAP005820,CG6310
AGAP005823,Urm1
AGAP005824,CG31717
AGAP005825,Mulk
AGAP005826,dos
AGAP005828,Tat
AGAP005830,sano
AGAP005831,Topors
AGAP005832,Asph
AGAP005834,Jhe
AGAP005839,CG1358
AGAP005840,CG43340
AGAP005842,CG14321
AGAP005844,CG9752
AGAP005845,Vha44
AGAP005846,CG7997
AGAP005847,Hmgs
AGAP005849,CG6867
AGAP005850,Gas8
AGAP005851,Cdc2rk
AGAP005852,mRpL42
AGAP005853,fws
AGAP005855,CG12920
AGAP005856,CG1371
AGAP005857,Arp6
AGAP005858,veli
AGAP005860,Pgm1
AGAP005861,SsRbeta
AGAP005862,CG43091
AGAP005863,Naa35
AGAP005865,Faa
AGAP005866,Gad1
AGAP005869,CG14989
AGAP005870,CG14995
AGAP005871,CG7728
AGAP005872,CG6652
AGAP005873,RpII18
AGAP005874,hd
AGAP005878,vvl
AGAP005880,Rsph3
AGAP005881,velo
AGAP005882,Ist1
AGAP005883,CG6664
AGAP005884,SMSr
AGAP005886,CG3764
AGAP005891,coro
AGAP005892,Tnpo
AGAP005893,Use1
AGAP005894,NoSymbolFound
AGAP005896,Doc2
AGAP005897,CG5087
AGAP005898,nmo
AGAP005901,Sarm
AGAP005902,croc
AGAP005903,bin
AGAP005904,Galphai
AGAP005906,MED24
AGAP005907,CG11453
AGAP005909,MED8
AGAP005910,Atg18a
AGAP005911,Gbeta13F
AGAP005914,CG9953
AGAP005915,CG10064
AGAP005916,UbcE2M
AGAP005917,RecQ4
AGAP005918,ZnT63C
AGAP005920,asf1
AGAP005921,CG10581
AGAP005922,Sin
AGAP005923,PIG-C
AGAP005925,Shab
AGAP005926,CG7504
AGAP005927,mRpL36
AGAP005928,CG4452
AGAP005929,Pdxk
AGAP005930,tap
AGAP005931,DEF8
AGAP005933,key
AGAP005934,TSG101
AGAP005936,Pym
AGAP005937,eIF2Bdelta
AGAP005939,Rev1
AGAP005940,Ythdc1
AGAP005943,Spn
AGAP005945,CG16758
AGAP005946,CG3618
AGAP005947,RpS13
AGAP005948,cn
AGAP005949,CG1941
AGAP005953,scaf6
AGAP005954,CG5823
AGAP005955,Mul1
AGAP005956,CG11594
AGAP005957,Pop5
AGAP005958,yellow-g
AGAP005959,yellow-g2
AGAP005960,RpL7A
AGAP005961,CG12084
AGAP005962,NoSymbolFound
AGAP005963,CG7546
AGAP005964,shep
AGAP005971,lama
AGAP005973,metl
AGAP005976,Cip4
AGAP005977,ari-2
AGAP005979,CG5323
AGAP005980,CG30491
AGAP005981,Droj2
AGAP005982,Reg-5
AGAP005983,CG13743
AGAP005987,ana
AGAP005988,CNT2
AGAP005990,CG30392
AGAP005991,RpL14
AGAP005992,dib
AGAP005993,CG1136
AGAP005994,CG15878
AGAP005995,l(3)mbn
AGAP006001,Cpr65Av
AGAP006002,CG15515
AGAP006014,Prdm13
AGAP006015,Pdss2
AGAP006017,fmt
AGAP006018,bab1
AGAP006020,Trh
AGAP006021,Aplip1
AGAP006022,gce
AGAP006023,ple
AGAP006025,CG8519
AGAP006027,GluRIB
AGAP006028,Rdl
AGAP006030,mfrn
AGAP006031,Nup54
AGAP006033,CG34453
AGAP006034,CG7991
AGAP006035,RabX5
AGAP006036,CG13930
AGAP006037,RpL23A
AGAP006038,Srrm234
AGAP006039,CG1888
AGAP006040,CG7970
AGAP006041,CG8974
AGAP006042,CG7611
AGAP006045,yki
AGAP006046,MED23
AGAP006049,Cyp4ac1
AGAP006050,Adck5
AGAP006051,CG4611
AGAP006054,CG12038
AGAP006055,CG7457
AGAP006056,fal
AGAP006057,CG12817
AGAP006058,pip
AGAP006059,CG32206
AGAP006062,elg1
AGAP006063,Msr-110
AGAP006064,bc10
AGAP006065,DNApol-alpha50
AGAP006068,CG7120
AGAP006069,ImpE1
AGAP006070,Pfdn2
AGAP006071,B9d1
AGAP006072,Mocs1
AGAP006073,Notum
AGAP006074,Obp50c
AGAP006075,Obp50e
AGAP006079,Obp50d
AGAP006082,Cyp301a1
AGAP006083,fra
AGAP006084,CG12024
AGAP006085,CG4098
AGAP006088,PLCXD
AGAP006089,Rbfox1
AGAP006090,CG6937
AGAP006091,CG32066
AGAP006092,l(3)72Dn
AGAP006094,JIL-1
AGAP006096,SCOT
AGAP006097,CG3529
AGAP006098,nos
AGAP006099,UQCR-C2
AGAP006100,Syx8
AGAP006101,CG12004
AGAP006104,colt
AGAP006107,trio
AGAP006108,yps
AGAP006109,amx
AGAP006115,Ae2
AGAP006116,Tbc1d8-9
AGAP006117,nudC
AGAP006118,CG13024
AGAP006119,CG10616
AGAP006120,CG10663
AGAP006121,CG10660
AGAP006124,CG32281
AGAP006125,DENR
AGAP006126,Rh3
AGAP006127,sina
AGAP006128,Zcchc7
AGAP006130,eIF3l
AGAP006131,Fitm
AGAP006132,Gdap1
AGAP006133,E(bx)
AGAP006135,CG14342
AGAP006136,CG4615
AGAP006138,CG4901
AGAP006139,Vps26
AGAP006140,CG15653
AGAP006141,cpa
AGAP006142,CG11357
AGAP006146,CG14096
AGAP006148,retinin
AGAP006151,CG9815
AGAP006156,CG43795
AGAP006158,CG16896
AGAP006159,RabX1
AGAP006160,CG7857
AGAP006161,Sgt1
AGAP006162,CG3358
AGAP006163,CG42382
AGAP006164,Rad51D
AGAP006165,dom
AGAP006166,BBS9
AGAP006168,cv-2
AGAP006169,Hs3st-A
AGAP006170,CG8138
AGAP006171,CG10417
AGAP006172,IFT20
AGAP006173,CG10465
AGAP006174,CG11041
AGAP006175,CG10395
AGAP006176,NoSymbolFound
AGAP006179,TpnC41C
AGAP006183,CG14762
AGAP006184,CG8547
AGAP006186,SERCA
AGAP006187,CG15712
AGAP006188,Pura
AGAP006203,pall
AGAP006204,ghi
AGAP006205,smid
AGAP006207,CG8560
AGAP006212,CG42458
AGAP006214,CG34232
AGAP006218,mthl10
AGAP006219,Ror
AGAP006225,AOX3
AGAP006227,alpha-Est9
AGAP006229,Vps20
AGAP006231,Dd
AGAP006232,Pex14
AGAP006233,zuc
AGAP006234,CG10055
AGAP006235,CG6204
AGAP006236,CG10681
AGAP006237,Nelf-E
AGAP006238,vih
AGAP006239,CG10646
AGAP006240,Sf3b2
AGAP006241,Inx6
AGAP006242,CG6709
AGAP006243,CG6707
AGAP006244,Ctl1
AGAP006245,CG11586
AGAP006246,CG17765
AGAP006247,CG17454
AGAP006248,MED10
AGAP006249,CG12773
AGAP006250,eEFSec
AGAP006251,Syx6
AGAP006254,sxc
AGAP006255,CG5056
AGAP006256,Cad74A
AGAP006258,NoSymbolFound
AGAP006260,Zasp66
AGAP006261,Cpr66D
AGAP006262,CG13305
AGAP006263,Arr2
AGAP006264,Pex7
AGAP006265,CG33288
AGAP006266,barc
AGAP006267,rgn
AGAP006269,PIG-O
AGAP006270,Src42A
AGAP006273,CG1824
AGAP006280,Gp210
AGAP006281,CG8079
AGAP006282,Fs
AGAP013248,CG34462
AGAP006283,CG34461
AGAP006321,CG13670
AGAP006323,CG5664
AGAP006324,nompB
AGAP006328,sfl
AGAP006330,MCU
AGAP006339,jv
AGAP006340,msn
AGAP006343,PGRP-SC2
AGAP006346,spin
AGAP006347,KCNQ
AGAP006349,CG17036
AGAP006353,HINT1
AGAP006354,CG4789
AGAP006355,TfIIEalpha
AGAP006356,CG17249
AGAP006357,CG8001
AGAP006358,CG5290
AGAP006359,Wdr92
AGAP006360,CG9674
AGAP006362,CG13699
AGAP006363,GC
AGAP006364,ABCB7
AGAP013401,CG33230
AGAP006365,tsu
AGAP006366,Nc73EF
AGAP006368,Obp73a
AGAP006369,Cpr73D
AGAP006370,CG13022
AGAP006372,CG4866
AGAP006373,CG8108
AGAP006374,CG32365
AGAP006376,Pdp1
AGAP006382,RhoGEF3
AGAP006383,Ost48
AGAP006384,Atac3
AGAP006385,CG11529
AGAP006386,Jra
AGAP006387,DNApol-alpha60
AGAP006388,SMC3
AGAP006389,RNASEK
AGAP006390,CG42306
AGAP006391,Gint3
AGAP006392,CG4617
AGAP006393,CG5199
AGAP006394,CG6650
AGAP006395,CG7365
AGAP006398,CG44250
AGAP006403,Psc
AGAP006405,Drl-2
AGAP006409,CG34228
AGAP006410,CG9812
AGAP006411,Sik3
AGAP006413,MFS16
AGAP006414,Cht8
AGAP006415,CG13288
AGAP006421,CG9400
AGAP006426,CG9701
AGAP006427,CG7627
AGAP006428,MBD-R2
AGAP006430,CG4115
AGAP006431,Fbl6
AGAP006435,CG13675
AGAP006436,skd
AGAP006438,CG32075
AGAP006439,fng
AGAP006440,NoSymbolFound
AGAP006441,Pu
AGAP006444,CG32432
AGAP006445,CSN3
AGAP006446,CG11456
AGAP006448,Pka-R1
AGAP006451,phtf
AGAP006452,l(2)01289
AGAP006454,BtbVII
AGAP006456,ND-30
AGAP006457,CG15812
AGAP006459,eIF1
AGAP006460,Larp4B
AGAP006461,wnd
AGAP006462,ArfGAP1
AGAP006467,CG11131
AGAP006468,CG12964
AGAP006469,CG12909
AGAP006470,Alr
AGAP013092,COX6B
AGAP006471,CG18809
AGAP006472,cmet
AGAP006473,casp
AGAP006474,RhoBTB
AGAP006475,Itpr
AGAP006477,Rbf
AGAP006479,didum
AGAP006483,NT1
AGAP006490,Tie
AGAP006493,CG4022
AGAP006497,Cpr67B
AGAP006503,CG11905
AGAP006508,SCaMC
AGAP006509,Papst2
AGAP006510,Src64B
AGAP006511,HDAC1
AGAP006513,axo
AGAP006514,RhoGEF64C
AGAP006516,Mp
AGAP006517,NoSymbolFound
AGAP006518,Chmp1
AGAP006520,Baldspot
AGAP006521,Galphaf
AGAP006522,zetaCOP
AGAP006526,Lasp
AGAP006528,Dab
AGAP013364,CG42359
AGAP013488,CG9067
AGAP006531,CG8005
AGAP006532,sgl
AGAP006533,Surf1
AGAP006534,pzg
AGAP006535,Oseg1
AGAP006539,CG12951
AGAP006540,Awh
AGAP006541,CG6321
AGAP006542,cactin
AGAP006543,CG1927
AGAP006546,CG1246
AGAP006547,CG12974
AGAP006548,ppl
AGAP006569,AcCoAS
AGAP006570,CG9391
AGAP006571,Eip78C
AGAP006573,Ilk
AGAP006574,CG10508
