7165:0010f1	7165:002dda
7165:003155	7165:003196,7165:00319c,7165:0031a2,7165:0031bc
7165:000cb9	7165:002d71
7165:000cc9	7165:000ccb
7165:000bec	7165:000bed
7165:001df2	7165:001df4
7165:002fe0	7165:003053
7165:002b72	7165:002e20
7165:002bb3	7165:002d08
7165:001834	7165:002361
7165:003173	7165:001e00,7165:00317f,7165:0031a3
7165:001dec	7165:003177,7165:003203
7165:000bb6	7165:002de8
7165:000cca	7165:000ccd
7165:000f2b	7165:002e0c
7165:0025cd	7165:0025cf
7165:003039	7165:002dca
7165:003191	7165:0031c1
7165:001133	7165:002dde
7165:002393	7165:002dea
7165:003170	7165:0031e2
7165:00023b	7165:00080c
7165:002539	7165:002e2a
7165:0012f8	7165:0012f9
7165:0003ac	7165:002c91
7165:0017fe	7165:0017ff,7165:001800,7165:001802,7165:001803,7165:001804
7165:002d10	7165:00264e
7165:000f45	7165:002d9f
7165:00063b	7165:000d8e,7165:00116e,7165:00116f,7165:002ba8,7165:002ba9,7165:002d0d,7165:002d1a,7165:002d1b,7165:002d9a
7165:0010bb	7165:002d8c
7165:0023f5	7165:0023f6
7165:00315f	7165:0031bb
7165:000ace	7165:002df7
7165:0023f9	7165:0023fc,7165:0023fe
7165:002f6b	7165:00303d
7165:003127	7165:0031d7
7165:001189	7165:002e04
7165:001801	7165:001805
7165:001807	7165:001808,7165:001809,7165:00180a,7165:00180c,7165:00180d
7165:001813	7165:00180e
7165:000bd9	7165:003006
7165:0028e9	7165:002d3a
7165:002cf3	7165:000b8a
7165:0013e3	7165:002e4f
7165:0019b4	7165:002e1a
7165:000d8f	7165:000d91,7165:002baa,7165:002d9c,7165:002e48
7165:002bab	7165:002bad,7165:002bae,7165:002d0e,7165:002d9b,7165:002e32,7165:002e47
7165:001812	7165:001815
7165:002db7	7165:000e8f
7165:002e85	7165:002ef6,7165:002f10,7165:002fd5,7165:002ff3,7165:003063,7165:0030c0
7165:000eef	7165:000ef0
7165:00215d	7165:00215e,7165:00215f
7165:00187d	7165:00187e
7165:002e6a	7165:002d45
7165:0001c1	7165:0001c2
7165:000d8d	7165:00116d,7165:001170,7165:00263d,7165:002d0c,7165:002d1c,7165:002d26,7165:002e3f
7165:002ef4	7165:002ff1
7165:000d85	7165:002d96
7165:00212f	7165:002d97
7165:000bac	7165:002e02
7165:002f57	7165:003090
7165:000ecc	7165:000ecd
7165:001976	7165:001972,7165:00197b
7165:0003a4	7165:0003a5,7165:0010f3
7165:00194d	7165:00194e,7165:00194f,7165:001950
7165:001951	7165:001952
7165:0016f3	7165:0016f1,7165:0016f2,7165:0016f6,7165:0016f8
7165:0016f0	7165:0016f4,7165:0016f5
7165:002d19	7165:002eea
7165:0016f7	7165:0016fb
7165:00211e	7165:002d80
7165:002123	7165:003111
7165:001389	7165:00138a
7165:002ffc	7165:002eb0,7165:0030c3
7165:00211f	7165:002124
7165:002787	7165:002788
7165:002d40	7165:002db8,7165:002e66
7165:002cc4	7165:002d91,7165:002dc4,7165:002dce
7165:002911	7165:002e75
7165:001974	7165:00197d
7165:001978	7165:00197c
7165:0010a6	7165:002cf0,7165:002cf1
7165:00102a	7165:002c98
7165:001d93	7165:002d07
7165:002120	7165:002122
7165:002df3	7165:0030e5
7165:002472	7165:0030f5
7165:00108c	7165:00108e
7165:002d82	7165:0030d8
7165:000173	7165:000174,7165:002f2f
