OFAS018188,ppk23
OFAS016975,SIDL
OFAS016972,holn1
OFAS016971,thoc6
OFAS006879,Rbp9
OFAS006870,Cchl
OFAS012580,Pi4KIIIalpha
OFAS012587,CG3662
OFAS012586,312
OFAS012585,Tpr2
OFAS012584,CycY
OFAS001068,RpL18A
OFAS001064,CkIIbeta
OFAS001067,TfIIEalpha
OFAS004182,CG8814
OFAS005837,Cpsf160
OFAS005836,caps
OFAS005523,Pld3
OFAS008802,Notum
OFAS014192,Arl6IP1
OFAS005524,CG7997
OFAS005831,frc
OFAS008806,Usp2
OFAS005529,eIF3d1
OFAS005528,Npc2b
OFAS014198,NoSymbolFound
OFAS014199,Pex16
OFAS018754,bs
OFAS015587,CG12071
OFAS015585,CG43155
OFAS018752,Ance-3
OFAS010561,hay
OFAS010560,dpn
OFAS010566,Rpn6
OFAS015588,CG3420
OFAS015589,PIP4K
OFAS014228,CG11077
OFAS014229,CG11095
OFAS014220,Grip128
OFAS011613,cv-2
OFAS011610,CG4849
OFAS014224,CG14762
OFAS011614,Rrp40
OFAS011615,Lis-1
OFAS015050,Grip
OFAS018531,D
OFAS015054,Mmp2
OFAS015057,Tsp66E
OFAS010698,Ets98B
OFAS010695,pyd3
OFAS010696,RpS25
OFAS010692,tex
OFAS016590,Graf
OFAS016591,CG3500
OFAS016593,CG9008
OFAS016594,CG32298
OFAS016596,Cpr72Eb
OFAS016597,CG15439
OFAS016598,Strip
OFAS016599,Cib2
OFAS011806,kibra
OFAS011804,grh
OFAS011802,Mtpalpha
OFAS006231,trx
OFAS000823,mora
OFAS000821,NHP2
OFAS000826,Vps13
OFAS017145,MsrA
OFAS006944,CG42514
OFAS003295,ND-ACP
OFAS004016,sosie
OFAS004017,hgo
OFAS004014,CG7381
OFAS003299,CG14231
OFAS003298,Ccz1
OFAS004011,Adat1
OFAS000928,Eaf6
OFAS000929,CG14969
OFAS007606,Sans
OFAS007603,Pnn
OFAS007601,Su(var)2-10
OFAS009868,MED22
OFAS002674,CG43736
OFAS016076,twf
OFAS009860,NoSymbolFound
OFAS017750,Trc8
OFAS017755,wge
OFAS016075,Seipin
OFAS002677,sds22
OFAS009113,CG15020
OFAS012873,CG6287
OFAS012871,Alh
OFAS004068,CG16786
OFAS012877,mRpS22
OFAS012876,Arl5
OFAS012875,BG642312
OFAS012878,GlyRS
OFAS005103,Def
OFAS002679,CG17996
OFAS017349,Sec24AB
OFAS017346,vimar
OFAS017343,BBS4
OFAS001529,Myo61F
OFAS001527,Nost
OFAS001526,stai
OFAS001523,shot
OFAS003039,CG44836
OFAS003038,CNMaR
OFAS009733,SCCRO3
OFAS009735,CG2519
OFAS009736,unk
OFAS003747,CG2260
OFAS003030,Brd8
OFAS003745,fh
OFAS003035,CG9601
OFAS003742,Sclp
OFAS006517,gogo
OFAS000218,CG7956
OFAS000219,pcs
OFAS000216,Ance
OFAS000212,AMPdeam
OFAS008021,ec
OFAS008020,Efa6
OFAS008026,Ercc1
OFAS001297,CG6443
OFAS000566,EloA
OFAS015614,Wdr59
OFAS001294,CG13126
OFAS001293,ABCD
OFAS015613,CG3434
OFAS000296,par-6
OFAS000565,sgll
OFAS017962,ND-39
OFAS017963,Rep
OFAS000293,ND-B12
OFAS017964,CG4269
OFAS017965,Samtor
OFAS013519,Gr47b
OFAS009196,DCX-EMAP
OFAS009197,LeuRS-m
OFAS013510,Gart
OFAS000569,Mtr3
OFAS011577,twi
OFAS014056,chm
OFAS011575,Ack-like
OFAS014054,sing
OFAS014053,bys
OFAS002328,TFAM
OFAS011571,CG5823
OFAS011570,CG42359
OFAS002329,nmdyn-D7
OFAS014059,CG10672
OFAS014058,Prpk
OFAS007846,Epac
OFAS015260,CG9270
OFAS007848,CG12288
OFAS007849,Lkb1
OFAS002504,Herp
OFAS002505,so
OFAS002501,CG11178
OFAS002589,Arl1
OFAS002585,Rab3-GEF
OFAS007599,AIF
OFAS007592,CG32816
OFAS007593,Hakai
OFAS007590,nwk
OFAS004823,Pgant2
OFAS004821,Ufd4
OFAS019613,Orc3
OFAS012648,Gld2
OFAS012645,Pcmt
OFAS012646,RpL36
OFAS012647,CG1218
OFAS012641,Rac1
OFAS010224,Rpn11
OFAS010225,VhaSFD
OFAS010734,Atf6
OFAS002174,Ntf-2
OFAS010732,Vps45
OFAS010222,CG14270
OFAS010223,Ssb-c31a
OFAS010228,CG4858
OFAS010229,Dera
OFAS018666,CG9674
OFAS005998,CG6479
OFAS005999,CG13954
OFAS005991,CG3040
OFAS005992,CG12096
OFAS005995,Gos28
OFAS005997,Atxn7
OFAS018255,CG3719
OFAS019243,CG13251
OFAS006072,CG11417
OFAS006070,Rab9
OFAS006074,ste14
OFAS018047,uex
OFAS015869,gus
OFAS015865,CG42327
OFAS015860,yl
OFAS016365,shg
OFAS016364,Phlpp
OFAS014732,mys
OFAS014733,CG12576
OFAS014731,Golgin104
OFAS014737,CG8461
OFAS014739,mfr
OFAS004225,CG10171
OFAS004224,SrpRbeta
OFAS000029,Pur-alpha
OFAS014880,PCID2
OFAS004220,d4
OFAS004223,Cdk5
OFAS000023,kat-60L1
OFAS000021,CG34443
OFAS000026,Kat60
OFAS000025,CG9752
OFAS000024,CG14720
OFAS007035,Psf1
OFAS007034,BBS8
OFAS007037,Npc1a
OFAS009691,CG5877
OFAS011466,cmpy
OFAS002779,verm
OFAS015169,DPCoAC
OFAS002775,RfC4
OFAS009054,CG17272
OFAS009057,Alg12
OFAS009504,poly
OFAS002771,Ciao1
OFAS002770,CG4278
OFAS009053,MED6
OFAS009500,Gbs-76A
OFAS017283,CG2794
OFAS017280,CG5003
OFAS017286,Pits
OFAS017284,CG18528
OFAS007542,Inx3
OFAS018446,Pgant1
OFAS012077,CG7368
OFAS012076,Srp68
OFAS005179,CG31122
OFAS005172,ebo
OFAS005177,Pax
OFAS001889,Cbs
OFAS001887,CG3655
OFAS003822,CG8132
OFAS003820,kar
OFAS003821,Ir21a
OFAS003826,Srp54
OFAS003827,Rab4
OFAS003828,CG14817
OFAS006853,TTLL15
OFAS001082,CG6765
OFAS001083,Ltn1
OFAS002451,Gas41
OFAS008828,CG8230
OFAS005502,CG4291
OFAS005501,CG10947
OFAS008826,Cad88C
OFAS018736,oaf
OFAS018737,abs
OFAS018732,AstA-R1
OFAS018731,CG12259
OFAS016959,CG11399
OFAS010508,MetRS
OFAS010505,gukh
OFAS013700,Nxt1
OFAS013701,mri
OFAS016954,su(r)
OFAS013707,loco
OFAS013704,Atg17
OFAS013705,fwe
OFAS013852,chb
GeneName,GeneSymbolOrthologs
OFAS013854,Mtr4
OFAS013855,Pdk
OFAS019421,Stam
OFAS019420,TwdlT
OFAS013858,fra
OFAS011638,CG42231
OFAS011632,CG4896
OFAS018081,sas
OFAS018083,CG15725
OFAS018089,CG33144
OFAS007369,AsnRS
OFAS000845,Git
OFAS000848,Eip63E
OFAS004030,Dph1
OFAS004035,XNP
OFAS004036,mRpL23
OFAS004037,kn
OFAS000901,CG1275
OFAS007622,NoSymbolFound
OFAS000904,fest
OFAS000905,CG9452
OFAS000906,ATPsynbeta
OFAS000907,CG7332
OFAS007628,CG10802
OFAS007629,l(1)G0320
OFAS006500,Snx3
OFAS009706,CG4238
OFAS017777,T3dh
OFAS009887,atl
OFAS009884,CG6005
OFAS017774,Atg9
OFAS017779,m-cup
OFAS017778,boss
OFAS009703,Sgt1
OFAS003757,CG6966
OFAS012815,CG43061
OFAS012814,Vmat
OFAS009038,wgn
OFAS012811,CG11807
OFAS008592,CG2812
OFAS008591,alpha-Man-Ib
OFAS008590,CDC50
OFAS005345,hdm
OFAS008596,REG
OFAS005347,Dis3l2
OFAS005346,CG2685
OFAS005349,CG5056
OFAS005348,mRpL42
OFAS008599,Fer2
OFAS008598,Prosbeta1
OFAS001506,Invadolysin
OFAS001501,CG16800
OFAS001500,CG14434
OFAS003013,CG30440
OFAS003010,CG9346
OFAS006537,cv-d
OFAS003016,l(3)04053
OFAS003015,Gyg
OFAS006534,CG3909
OFAS003019,Vps53
OFAS003018,CG11241
OFAS000271,CG7840
OFAS008115,CG10338
OFAS000279,Ostgamma
OFAS008044,CG6984
OFAS008114,CG42382
OFAS008041,Mms19
OFAS008043,Nprl3
OFAS002818,SNF4Agamma
OFAS015635,Dg
OFAS015636,Crtc
OFAS013289,IntS4
OFAS013286,LamC
OFAS014949,Ir52b
OFAS014948,DCTN3-p24
OFAS002815,PIG-B
OFAS014941,Mur11Da
OFAS014944,dock
OFAS014946,CG11170
OFAS017948,SelT
OFAS017949,Prosbeta2
OFAS017944,Saf-B
OFAS017945,CG5641
OFAS017940,CG5745
OFAS002813,CG17002
OFAS016010,CG2247
OFAS002694,CG15111
OFAS002695,CG8270
OFAS016017,Ankle2
OFAS002691,NoSymbolFound
OFAS017200,CG33051
OFAS007829,Msh6
OFAS007826,CG12038
OFAS007827,Pms2
OFAS007824,CG11247
OFAS007825,dup
OFAS009319,CG5048
OFAS009312,CG42750
OFAS009313,Rpp21
OFAS009310,Tat
OFAS009316,CG7857
OFAS009317,LysRS
OFAS009314,IFT46
OFAS009315,NoSymbolFound
OFAS004594,CG11562
OFAS004593,CG5916
OFAS004591,Mcm7
OFAS004590,CG7394
OFAS006995,Cpr92A
OFAS006996,CG16721
OFAS006992,ear
OFAS013015,Adi1
OFAS016530,CYLD
OFAS012626,CG3071
OFAS012628,CG9886
OFAS012629,amx
OFAS010719,CG43731
OFAS010248,Naa30A
OFAS010249,RanBPM
OFAS010710,Ent1
OFAS010247,Alg13
OFAS010713,CG43897
OFAS017562,CG7322
OFAS010243,Teh1
OFAS010240,CG15814
OFAS016539,apolpp
OFAS006338,CG3634
OFAS017459,Start1
OFAS006330,CG17672
OFAS006333,Nopp140
OFAS006332,Sms
OFAS006335,CG11699
OFAS006334,app
OFAS006336,tap
OFAS005972,RpI135
OFAS005973,NoSymbolFound
OFAS005971,Rim2
OFAS005976,CG16926
OFAS010482,c11.1
OFAS005974,SdhA
OFAS005979,Cyp1
OFAS012428,AsnRS-m
OFAS016226,NC2alpha
OFAS018274,CIAPIN1
OFAS018273,Chrac-16
OFAS018271,ldbr
OFAS015844,Aprt
OFAS015843,stum
OFAS016385,NoSymbolFound
OFAS016389,Ykt6
OFAS016388,beta'COP
OFAS014711,Trl
OFAS014712,ref(2)P
OFAS012422,CG5742
OFAS003467,Mad1
OFAS004207,CG3625
OFAS004204,CG1227
OFAS000049,arx
OFAS007018,Cdc42
OFAS007015,CG1316
OFAS007014,awd
OFAS007013,mRpS18C
OFAS007011,crm
OFAS000042,Mgstl
OFAS006520,Chd64
OFAS002757,AkhR
OFAS009075,Nf1
OFAS009072,Ppa
OFAS002751,stas
OFAS009070,Apoltp
OFAS002759,EMC1
OFAS012019,CG17119
OFAS012018,Dtd
OFAS005159,Pus1
OFAS005156,Hmt4-20
OFAS005150,CalpC
OFAS005152,Iswi
OFAS001313,Pde11
OFAS001316,CG5001
OFAS001314,ClC-a
OFAS006836,CG11123
OFAS006837,Spt6
OFAS003806,MsR1
OFAS006835,CG32085
OFAS006830,CG5285
OFAS006831,Hexim
OFAS003809,NoSymbolFound
OFAS013499,slx1
OFAS013492,endos
OFAS013490,Zpr1
OFAS014152,mRpL45
OFAS014153,Cdc37
OFAS014151,GCC88
OFAS011436,CG14277
OFAS011434,eIF2D
OFAS011435,CG8086
OFAS008844,zye
OFAS014158,CG7742
OFAS008841,Duba
OFAS011381,Slmap
OFAS005563,CG7378
OFAS011383,CG6739
OFAS015543,Sox102F
OFAS015540,Cpr66D
OFAS018719,CG17450
OFAS010527,CG14022
OFAS010526,Mnn1
OFAS010525,CG3702
OFAS010524,me31B
OFAS010523,Vha16-1
OFAS010520,galectin
OFAS013724,CG6836
OFAS013720,CG8858
OFAS013722,CG17896
OFAS013874,MCU
OFAS019407,CG6878
OFAS013871,crb
OFAS013878,Art4
OFAS013879,CG42340
OFAS011654,Obp19d
OFAS011658,wmd
OFAS011659,CG10211
OFAS015094,MED23
OFAS015097,eIF1
OFAS015091,Cdk9
OFAS015092,CG13917
OFAS015093,CG16865
OFAS015098,CG6179
OFAS009247,Or74a
OFAS004782,CG11710
OFAS016143,Rev1
OFAS004780,hd
OFAS004781,RpIIIC53
OFAS004784,Chmp1
OFAS004785,slgA
OFAS016141,TTLL4A
OFAS009243,LSm7
OFAS000869,Nle
OFAS000868,smash
OFAS000866,CG34199
OFAS000863,DNApol-alpha180
OFAS000862,CG14866
OFAS000861,Uggt
OFAS000860,bel
OFAS010383,CG3107
OFAS010382,NoSymbolFound
OFAS010381,JhI-26
OFAS002036,CG13127
OFAS002034,NoSymbolFound
OFAS010384,tx
OFAS002038,Toll-6
OFAS017715,mRpS7
OFAS017719,CG6115
OFAS012837,Cont
OFAS012835,CG17068
OFAS012386,cnn
OFAS012831,Camp
OFAS012382,cbs
OFAS015893,Gbeta5
OFAS000417,Ssrp
OFAS003255,CG33322
OFAS008209,Ski6
OFAS005368,MED17
OFAS000783,Unc-89
OFAS008203,slou
OFAS008202,CG17807
OFAS008201,dgo
OFAS008200,RpS26
OFAS008207,CG34038
OFAS008206,CG8568
OFAS003789,waw
OFAS016449,Corin
OFAS003783,CG13321
OFAS003782,mbt
OFAS016440,Dp1
OFAS016446,tapas
OFAS003785,Lnk
OFAS006555,Cda4
OFAS003074,Sh3beta
OFAS006556,CG10591
OFAS006553,CG6951
OFAS006552,Fdh
OFAS003079,Agpat2
OFAS003078,Cyt-b5
OFAS005099,CG7985
OFAS008069,CG8192
OFAS008068,Dab
OFAS008066,CG33181
OFAS008065,Syt14
OFAS005096,Aldh
OFAS005091,mtTFB2
OFAS005090,CG14562
OFAS001789,pdgy
OFAS001780,Parp
OFAS001782,mam
OFAS013260,RpL7
OFAS013262,mspo
OFAS013268,CG4891
OFAS014962,CCT5
OFAS014960,wit
OFAS014967,Ca-alpha1T
OFAS014964,RpS19a
OFAS017926,CG43163
OFAS014196,CG7987
OFAS017925,mdy
OFAS017920,CG12822
OFAS008800,CG6959
OFAS016035,betaTub85D
OFAS005832,Hph
OFAS014190,Ref1
OFAS004411,CG14238
OFAS004414,CG14767
OFAS000258,ArfGAP1
OFAS000259,Pgd
OFAS007208,Dhpr
OFAS000529,Cad86C
OFAS000250,Galk
OFAS000251,CG1764
OFAS000252,trc
OFAS000253,Taf11
OFAS000254,gammaSnap1
OFAS007207,CG11103
OFAS000256,CG15011
OFAS000257,RhoGAP68F
OFAS007801,ppk26
OFAS007804,tam
OFAS007806,CG8671
OFAS007808,mRpS2
OFAS001123,Trs20
OFAS001124,CG13692
OFAS001126,hep
OFAS009334,CG1738
OFAS009330,Sec61beta
OFAS009331,Gpo1
OFAS002936,CG7896
OFAS004570,gzl
OFAS004573,elm
OFAS004572,psidin
OFAS004574,Gga
OFAS004577,NoSymbolFound
OFAS010088,Bet3
OFAS012608,twin
OFAS012602,Sbf
OFAS012607,Yip1d1
OFAS017542,CG5280
OFAS017543,beg
OFAS017545,blot
OFAS017547,mask
OFAS017549,tank
OFAS006310,CenB1A
OFAS005954,CG8026
OFAS005950,CG5644
OFAS005952,CG1572
OFAS005953,CG13551
OFAS017816,MFS16
OFAS003084,obst-E
OFAS006038,Sfmbt
OFAS006037,crp
OFAS006034,NoSymbolFound
OFAS014368,CG9410
OFAS017533,pre-mod(mdg4)-AB
OFAS015379,CG3198
OFAS017532,Rab23
OFAS015375,bt
OFAS015376,Hex-A
OFAS006780,alien
OFAS006781,wash
OFAS016633,CG5339
OFAS006784,Plp
OFAS006786,CG8204
OFAS006787,mio
OFAS006789,bip2
OFAS014222,RAF2
OFAS011616,CG7544
OFAS018292,Naam
OFAS018296,Sec6
OFAS018298,I-2
OFAS014776,CG16700
OFAS014774,shams
OFAS014775,whd
OFAS014770,Nelf-E
OFAS014771,Utx
OFAS007784,CG16953
OFAS007783,CG6762
OFAS007780,Tmem131
OFAS009925,Sur
OFAS009924,osp
OFAS003449,RhoGAP19D
OFAS003444,bbc
OFAS003440,ABCA
OFAS003443,Ac13E
OFAS006502,Lamp1
OFAS000065,CG33203
OFAS000063,CG5961
OFAS000062,arm
OFAS000068,Bet5
OFAS013645,CG1635
OFAS012037,polybromo
OFAS012036,Sirup
OFAS012035,Idh3a
OFAS012031,IFT57
OFAS012030,noi
OFAS005137,Ada3
OFAS005135,C1GalTA
OFAS005132,tn
OFAS005130,CG7970
OFAS005131,CG6550
OFAS001334,Fis1
OFAS001335,CG8036
OFAS001337,CG2818
OFAS001332,CG42613
OFAS001338,tej
OFAS001339,SoYb
OFAS003869,NoSymbolFound
OFAS003866,NoSymbolFound
OFAS006811,CG3823
OFAS003862,l(3)87Df
OFAS003860,CG34213
OFAS018902,CG5958
OFAS018907,CG8549
OFAS018906,CG12170
OFAS017301,CG14694
OFAS016197,tefu
OFAS016191,Sse
OFAS011800,Taf5
OFAS005547,sdk
OFAS014175,side-VIII
OFAS014177,CG13704
OFAS011410,Vps25
OFAS008862,CG4098
OFAS005541,CG10969
OFAS008860,CG1951
OFAS014179,Zmynd10
OFAS008868,Bap111
OFAS015564,COX6B
OFAS018845,Ilp3
OFAS015567,RagA-B
OFAS018840,CG30120
OFAS015568,Vha55
OFAS013744,Rbf
OFAS003159,Ak6
OFAS013742,Nep4
OFAS013740,mbl
OFAS016998,CG4390
OFAS016999,Ald1
OFAS013748,chrb
OFAS014286,eater
OFAS014285,form3
OFAS014282,unc-4
OFAS014283,Jupiter
OFAS011676,Ssu72
OFAS011677,CG9067
OFAS003400,Upf2
OFAS018599,Cyp303a1
OFAS018596,CG5316
OFAS018594,Pdk1
OFAS018595,Mzt1
OFAS003404,Naa20A
OFAS006434,ATP6AP2
OFAS003407,Vps15
OFAS002669,betaggt-I
OFAS000880,Past1
OFAS000883,Mcm2
OFAS000882,CG17270
OFAS000885,atms
OFAS000887,IleRS-m
OFAS000888,hng3
OFAS017486,PPP4R2r
OFAS002011,Eph
OFAS017482,nac
OFAS002019,wapl
OFAS018338,sm
OFAS018339,CG5608
OFAS002667,MBD-like
OFAS016173,CG6225
OFAS018334,Treh
OFAS018335,CG2201
OFAS010108,Nup35
OFAS010101,mab-21
OFAS017736,CG15012
OFAS010103,rg
OFAS017734,CG9213
OFAS010104,CG4502
OFAS010106,CG2990
OFAS003278,ITP
OFAS003272,ca
OFAS003270,Vps37B
OFAS002908,ATPsynD
OFAS005309,Sar1
OFAS005305,CG1674
OFAS005307,Rh7
OFAS008266,sei
OFAS005301,MED25
OFAS005302,Aasdh
OFAS013108,CG33096
OFAS003059,NoSymbolFound
OFAS006577,Zasp52
OFAS013105,Mp20
OFAS006575,CG12024
OFAS006574,Vti1a
OFAS013100,CG14995
OFAS003051,Taf7
OFAS003050,Pstk
OFAS007327,CG3894
OFAS008084,Idi
OFAS008086,CG5504
OFAS008089,NoSymbolFound
OFAS008088,Spt
OFAS018443,DNApol-delta
OFAS013249,CG7791
OFAS013248,Cul4
OFAS013243,bou
OFAS013242,Ir94b
OFAS013241,CG18081
OFAS000284,cmb
OFAS014905,NoSymbolFound
OFAS014904,CG5149
OFAS014907,CG8173
OFAS014906,CG33116
OFAS014900,Gale
OFAS000571,Zw10
OFAS014908,l(1)G0289
OFAS007194,Kcmf1
OFAS000570,GLS
OFAS009869,exd
OFAS002652,Paip2
OFAS009133,Smyd4-3
OFAS002650,CG4611
OFAS002651,CG5569
OFAS009136,Rrp4
OFAS016058,drd
OFAS009134,Surf4
OFAS002655,Mat1
OFAS009684,CG9951
OFAS016054,CG12659
OFAS009138,NoSymbolFound
OFAS009687,CG11811
OFAS009681,Nup154
OFAS004438,Prtl99C
OFAS004439,CG1909
OFAS004434,CG6201
OFAS000579,AP-1sigma
OFAS004436,dan
OFAS004437,CG5589
OFAS004433,CG5731
OFAS017751,jvl
OFAS007228,Cpr72Ea
OFAS000505,CG11141
OFAS007226,Oamb
OFAS007220,ham
OFAS007222,ATPCL
OFAS007487,Bub1
OFAS017754,CG5928
OFAS009357,AdSS
OFAS004559,Pgant5
OFAS004558,CG33690
OFAS009353,cutlet
OFAS009351,pAbp
OFAS004551,pum
OFAS004550,RpL30
OFAS004557,Pgant3
OFAS004554,E2f1
OFAS012190,TBCD
OFAS017903,tho2
OFAS017904,CG3534
OFAS009365,Asap
OFAS009123,lok
OFAS009363,Task7
OFAS002590,CG1998
OFAS004889,CG10841
OFAS009361,Sce
OFAS004885,rnh1
OFAS004884,mRpL49
OFAS004887,CRMP
OFAS004881,CG3262
OFAS004880,janA
OFAS016522,CG2225
OFAS011086,CG33777
OFAS011082,Urod
OFAS011081,DNApol-alpha50
OFAS011080,CG7139
OFAS006375,vnd
OFAS006374,Mf
OFAS006376,Coq8
OFAS006372,Cpr49Aa
OFAS005680,rho-7
OFAS005682,fng
OFAS005932,CG5521
OFAS006378,ebi
OFAS005687,Amt
OFAS007205,vers
OFAS006012,magu
OFAS006013,RpS9
OFAS006014,Roe1
OFAS006015,alpha-Cat
OFAS014341,fliI
OFAS014340,Gsc
OFAS014346,GEFmeso
OFAS014349,pns
OFAS009129,PIG-L
OFAS015357,NoSymbolFound
OFAS015356,CG2100
OFAS015355,CG5033
OFAS015354,JTBR
OFAS018109,CG15269
OFAS015358,pont
OFAS016619,CG7414
OFAS016618,CG14881
OFAS016612,CG13005
OFAS016611,Bili
OFAS016614,CG7656
OFAS007422,LRR
OFAS007425,CG10948
OFAS014750,Poxm
OFAS014751,Art7
OFAS014753,CG3085
OFAS014755,CG9300
OFAS014756,CG4866
OFAS014757,l(2)09851
OFAS014758,Exo70
OFAS007761,ND-B22
OFAS007763,slbo
OFAS007765,CG7083
OFAS007767,Lrrk
OFAS007769,CG7365
OFAS009903,Ddx1
OFAS009907,temp
OFAS009906,NoSymbolFound
OFAS009905,lin
OFAS009904,Dbp21E2
OFAS009909,CG1896
OFAS003424,faf
OFAS003420,CG14142
OFAS003428,Dh44
OFAS003429,pio
OFAS012978,CG34231
OFAS012979,CG5515
OFAS012972,l(2)k09022
OFAS012976,Pomp
OFAS012977,ArgRS
OFAS012975,Zcchc7
OFAS011457,exp
OFAS017220,CG3587
OFAS010902,CG14646
OFAS017225,su(sable)
OFAS010904,shep
OFAS010907,Alr
OFAS010909,scra
OFAS018802,CG7120
OFAS005112,CG8237
OFAS005113,CG4038
OFAS005115,Pex23
OFAS008745,ClC-b
OFAS015999,yellow-g2
OFAS001358,CG3368
OFAS001359,CG1136
OFAS001356,CG1116
OFAS001357,Arpc1
OFAS001355,Pol31
OFAS015995,Crtp
OFAS015996,CG15130
OFAS003840,Rab5
OFAS003841,Dsk
OFAS003842,by
OFAS016772,Cog1
OFAS003848,pinta
OFAS016213,Mau2
OFAS011478,Dip-C
OFAS011479,CG10795
OFAS011476,CG1673
OFAS014112,mRpL3
OFAS015504,Awh
OFAS018825,CCKLR-17D3
OFAS018822,sug
OFAS015503,MED1
OFAS002461,sesB
OFAS002460,CG32576
OFAS013762,CG10064
OFAS013763,CG4073
OFAS002465,icln
OFAS013767,CG43707
OFAS011693,CG31368
OFAS011690,Ent3
OFAS011691,Wbp2
OFAS011696,CG32281
OFAS011694,CG8134
OFAS011695,CG17712
OFAS011698,CG16848
OFAS011699,Rh3
OFAS001150,NoSymbolFound
OFAS001152,Tsp39D
OFAS002074,CG6650
OFAS002075,CG9701
OFAS002072,CG7369
OFAS006519,sdt
OFAS007027,U2af38
OFAS013836,Msp300
OFAS013837,THADA
OFAS012410,wun
OFAS019443,CG13362
OFAS012416,Cnx99A
OFAS006142,MED11
OFAS018315,Fmo-2
OFAS018316,NoSymbolFound
OFAS009738,His3.3B
OFAS006141,Dnali1
OFAS006510,Ziz
OFAS010128,CG42268
OFAS003743,CkIIalpha
OFAS003215,plx
OFAS003214,cni
OFAS003217,grp
OFAS009049,scrt
OFAS003211,Cand1
OFAS003210,CG6066
OFAS003213,GMF
OFAS003212,CG32512
OFAS009510,NoSymbolFound
OFAS009512,chn
OFAS008531,CG14961
OFAS005326,Ack
OFAS005325,CG8854
OFAS008243,Vlet
OFAS008534,mlt
OFAS005320,CG3345
OFAS009514,Dhit
OFAS002926,alpha-Catr
OFAS002927,IP3K1
OFAS002920,Mon1
OFAS002921,CG2059
OFAS002922,Mocs2B
OFAS002923,Jra
OFAS005672,Eb1
OFAS009516,dtn
OFAS013166,l(2)k01209
OFAS013164,Sptr
OFAS013165,RpL18
OFAS006595,l(3)mbn
OFAS013163,tfc
OFAS013160,Noa36
OFAS013161,CG33521
OFAS006598,NoSymbolFound
OFAS013169,vnc
OFAS011991,CG7565
OFAS011992,CG2846
OFAS011999,CG7201
OFAS013226,CG11159
OFAS013223,Cndp2
OFAS004189,ana3
OFAS004187,CG9911
OFAS014921,MESR6
OFAS014920,NoSymbolFound
OFAS000742,rogdi
OFAS000743,CG9386
OFAS000741,Arpc3A
OFAS000748,AIMP2
OFAS000749,E(bx)
OFAS015616,CG4133
OFAS009114,MED16
OFAS013596,Usp8
OFAS009116,Mlc-c
OFAS009117,Oda
OFAS002671,jhamt
OFAS009112,CG2991
OFAS013590,Rab3-GAP
OFAS002678,Tsen2
OFAS009119,NoSymbolFound
OFAS013599,CG9643
OFAS004454,Diap1
OFAS004450,Jarid2
OFAS004451,CG12970
OFAS000294,CG32579
OFAS000567,AMPKalpha
OFAS007244,Unc-76
OFAS007245,Vav
OFAS000562,CG14764
OFAS000560,DCP1
OFAS007241,scu
OFAS000298,Odc1
OFAS007248,Diedel
OFAS007249,CG5151
OFAS001165,eEF1gamma
OFAS001164,slpr
OFAS001167,Non3
OFAS001166,CG5254
OFAS001162,SKIP
OFAS009370,rin
OFAS009372,sqd
OFAS009373,CG17122
