GeneName_TC	GeneName_OGid	Ortholog_id_symb	Dmel_paralogs	Dmel_paralogs_ids	Dmel_paralogs_Symbols	listOfParalogsIfAny	ifParalogHasOrtholog_id_symb	Dmel_Pparalogs	Dmel_Pparalogs_ids	Dmel_Pparalogs_Symbols
AGAP004731	7165:001054	7227:000b90__FBgn0029720/CG3009	NoParalogs	-	-	-	-	-	-	-
AGAP029113	-	-	-	-	-	-	-	-	-	-
AGAP004733	7165:001056	7227:000d37__FBgn0030417/CG15725	NoParalogs	-	-	-	-	-	-	-
AGAP004735	7165:001058	7227:000d2b__FBgn0030395/Mks1	NoParalogs	-	-	-	-	-	-	-
AGAP004736	7165:001059	7227:00234a__FBgn0039020/CG17141	NoParalogs	-	-	-	-	-	-	-
AGAP004737	7165:00105a	7227:000cf5__FBgn0030318/rho-4	NoParalogs	-	-	-	-	-	-	-
AGAP004738	7165:00105b	7227:001fb9__FBgn0037660/beag	NoParalogs	-	-	-	-	-	-	-
AGAP004739	7165:00105c	7227:0030c4__FBgn0259937/Nop60B	NoParalogs	-	-	-	-	-	-	-
AGAP004740	7165:00105d	NO ortholog	-	-	-	NoParalogs	-	-	-	-
AGAP004741	7165:00105e	NO ortholog	-	-	-	NoParalogs	-	-	-	-
AGAP004742	7165:00105f	7227:0009c9__FBgn0027580/PCB	NoParalogs	-	-	-	-	-	-	-
AGAP004743	7165:001060	7227:000b85__FBgn0029709/CHOp24	NoParalogs	-	-	-	-	-	-	-
AGAP004744	7165:001061	7227:001fab__FBgn0037643/ScsbetaA	NoParalogs	-	-	-	-	-	-	-
AGAP004745	7165:001062	7227:003265__FBgn0261641/CG42724	NoParalogs	-	-	-	-	-	-	-
AGAP004746	7165:001063	7227:0018a1__FBgn0034939/thoc5	NoParalogs	-	-	-	-	-	-	-
AGAP004747	7165:001064	NO ortholog	-	-	-	NoParalogs	-	-	-	-
AGAP004748	7165:001065	7227:002b2b__FBgn0052267/CG32267	NoParalogs	-	-	-	-	-	-	-
AGAP004749	7165:001066	7227:00073a__FBgn0021944/Coprox	NoParalogs	-	-	-	-	-	-	-
AGAP004750	7165:001067	7227:000453__FBgn0010488/NAT1	NoParalogs	-	-	-	-	-	-	-
AGAP004751	7165:001068	7227:002ab0__FBgn0051989/Cap-D3	NoParalogs	-	-	-	-	-	-	-
AGAP004752	7165:001069	7227:000867__FBgn0025629/CG4045	NoParalogs	-	-	-	-	-	-	-
AGAP004753	7165:00106a	7227:00110e__FBgn0031886/Nuf2	NoParalogs	-	-	-	-	-	-	-
AGAP004754	7165:00106b	7227:000911__FBgn0026404/Dronc	NoParalogs	-	-	-	-	-	-	-
AGAP004755	7165:00106c	7227:002fc0__FBgn0086785/Vps36	NoParalogs	-	-	-	-	-	-	-
AGAP004756	7165:00106d	7227:002d98__FBgn0053969/CG33969	NoParalogs	-	-	-	-	-	-	-
AGAP013546	7165:0030cf	7227:001df8__FBgn0036998/CG5969	NoParalogs	-	-	-	-	-	-	-
AGAP004757	7165:00106e	7227:001c1c__FBgn0036330/CG11263	NoParalogs	-	-	-	-	-	-	-
AGAP004758	7165:00106f	7227:0015ed__FBgn0033886/Rpn13	NoParalogs	-	-	-	-	-	-	-
AGAP004759	7165:001070	7227:002392__FBgn0039115/CG10214	NoParalogs	-	-	-	-	-	-	-
AGAP004760	7165:001071	NO ortholog	-	-	-	NoParalogs	-	-	-	-
AGAP004761	7165:001072	7227:0034d3__FBgn0264272/mwh	NoParalogs	-	-	-	-	-	-	-
AGAP004762	7165:001073	NO ortholog	-	-	-	NoParalogs	-	-	-	-
AGAP004763	7165:001074	NO ortholog	-	-	-	NoParalogs	-	-	-	-
AGAP004764	7165:001075	NO ortholog	-	-	-	NoParalogs	-	-	-	-
AGAP004765	7165:001076	7227:0005c4__FBgn0015075/Ddx1	NoParalogs	-	-	-	-	-	-	-
AGAP028129	7165:0031a5	7227:001e6a__FBgn0037156/CG11523	NoParalogs	-	-	-	-	-	-	-
AGAP004766	7165:001077	7227:00225e__FBgn0038659/EndoA	NoParalogs	-	-	-	-	-	-	-
AGAP004767	7165:001078	7227:00048d__FBgn0011236/ken	NoParalogs	-	-	-	-	-	-	-
AGAP004768	7165:001079	7227:003468__FBgn0263510/nclb	NoParalogs	-	-	-	-	-	-	-
AGAP004769	7165:00107a	7227:000899__FBgn0025806/NoSymb	NoParalogs	-	-	-	-	-	-	-
AGAP004770	7165:00107b	NO ortholog	-	-	-	NoParalogs	-	-	-	-
AGAP004771	7165:00107c	NO ortholog	-	-	-	NoParalogs	-	-	-	-
AGAP004772	7165:00107d	NO ortholog	-	-	-	NoParalogs	-	-	-	-
AGAP004773	7165:00107e	NO ortholog	-	-	-	NoParalogs	-	-	-	-
AGAP004774	7165:00107f	7227:0025b1__FBgn0039904/Hcf	NoParalogs	-	-	-	-	-	-	-
AGAP004775	7165:001080	7227:000094__FBgn0000455/Dip-C	NoParalogs	-	-	-	-	-	-	-
AGAP004776	7165:001081	7227:0024e7__FBgn0039626/Slu7	NoParalogs	-	-	-	-	-	-	-
AGAP004777	7165:001082	NO ortholog	-	-	-	NoParalogs	-	-	-	-
AGAP004778	7165:001083	NO ortholog	-	-	-	NoParalogs	-	-	-	-
AGAP004780	7165:001084	7227:001e3c__FBgn0037093/Cdk12	NoParalogs	-	-	-	-	-	-	-
AGAP004781	7165:001085	7227:0009ab__FBgn0027538/beta4GalNAcTA	NoParalogs	-	-	-	-	-	-	-
AGAP004782	7165:001086	7227:00099b__FBgn0027509/TBCD	NoParalogs	-	-	-	-	-	-	-
AGAP004783	7165:001087	NO ortholog	-	-	-	NoParalogs	-	-	-	-
AGAP004784	7165:001088	NO ortholog	-	-	-	NoParalogs	-	-	-	-
AGAP004785	7165:001089	NO ortholog	-	-	-	NoParalogs	-	-	-	-
AGAP004786	7165:00108a	NO ortholog	-	-	-	NoParalogs	-	-	-	-
AGAP004787	7165:00108b	NO ortholog	-	-	-	NoParalogs	-	-	-	-
AGAP004788	7165:00108c	7227:002e3a__FBgn0083167/Neb-cGP	NoParalogs	-	-	-	-	-	-	-
AGAP004789	7165:00108d	7227:00092b__FBgn0026582/Hmg-2	NoParalogs	-	-	-	-	-	-	-
AGAP004790	7165:00108e	NO ortholog	-	-	-	['7165:00108c', '7165:00108e']	7165:00108c--7227:002e3a__FBgn0083167/Neb-cGP	NoParalogsParalogs	-	-
AGAP004791	7165:00108f	NO ortholog	-	-	-	['7165:00108d', '7165:00108f']	7165:00108d--7227:00092b__FBgn0026582/Hmg-2	NoParalogsParalogs	-	-
AGAP004792	7165:001090	7227:0012af__FBgn0032513/CG6565	NoParalogs	-	-	-	-	-	-	-
AGAP004793	7165:001091	7227:000760__FBgn0022774/Oat	NoParalogs	-	-	-	-	-	-	-
AGAP004794	7165:001092	NO ortholog	-	-	-	NoParalogs	-	-	-	-
AGAP004795	7165:001093	7227:00057d__FBgn0014037/Su(Tpl)	NoParalogs	-	-	-	-	-	-	-
AGAP004797	7165:001094	NO ortholog	-	-	-	NoParalogs	-	-	-	-
AGAP004798	7165:001095	7227:00088b__FBgn0025724/beta'COP	NoParalogs	-	-	-	-	-	-	-
AGAP004799	7165:001096	NO ortholog	-	-	-	NoParalogs	-	-	-	-
AGAP004800	7165:001097	NO ortholog	-	-	-	NoParalogs	-	-	-	-
AGAP004801	7165:001098	7227:001c0c__FBgn0036309/Hip1	NoParalogs	-	-	-	-	-	-	-
AGAP004802	7165:001099	7227:001df2__FBgn0036992/Hpd	NoParalogs	-	-	-	-	-	-	-
AGAP004803	7165:00109a	NO ortholog	-	-	-	NoParalogs	-	-	-	-
AGAP004804	7165:00109b	7227:001c52__FBgn0036406/CG13484	NoParalogs	-	-	-	-	-	-	-
AGAP004805	7165:00109c	7227:002aef__FBgn0052138/NoSymb	NoParalogs	-	-	-	-	-	-	-
AGAP004806	7165:00109d	NO ortholog	-	-	-	NoParalogs	-	-	-	-
AGAP004807	7165:00109e	NO ortholog	-	-	-	NoParalogs	-	-	-	-
AGAP004808	7165:00109f	NO ortholog	-	-	-	NoParalogs	-	-	-	-
AGAP004809	7165:0010a0	7227:00298c__FBgn0051233/CG31233	NoParalogs	-	-	-	-	-	-	-
AGAP004810	7165:0010a1	NO ortholog	-	-	-	NoParalogs	-	-	-	-
AGAP004811	7165:0010a2	NO ortholog	-	-	-	NoParalogs	-	-	-	-
AGAP004812	7165:0010a3	7227:001b6a__FBgn0036053/iPLA2-VIA	NoParalogs	-	-	-	-	-	-	-
AGAP004813	7165:0010a4	NO ortholog	-	-	-	NoParalogs	-	-	-	-
AGAP004814	7165:0010a5	7227:0026e5__FBgn0040842/CG15212	NoParalogs	-	-	-	-	-	-	-
AGAP004815	7165:0010a6	NO ortholog	-	-	-	['7165:0010a6', '7165:002cf0', '7165:002cf1']	NULL	-	-	-
AGAP004816	7165:0010a7	NO ortholog	-	-	-	['7165:002e6d', '7165:0010a7']	7165:002e6d--7227:001dad__FBgn0036893/PIG-F	NoParalogsParalogs	-	-
AGAP004817	7165:0010a8	7227:0006d1__FBgn0020279/lig	NoParalogs	-	-	-	-	-	-	-
AGAP004818	7165:0010a9	7227:0015fd__FBgn0033907/mRpS16	NoParalogs	-	-	-	-	-	-	-
AGAP004819	7165:0010aa	7227:0015fc__FBgn0033906/ReepB	NoParalogs	-	-	-	-	-	-	-
AGAP004820	7165:0010ab	7227:000868__FBgn0025630/Rtca	NoParalogs	-	-	-	-	-	-	-
AGAP004823	7165:0010ac	7227:000592__FBgn0014388/sty	NoParalogs	-	-	-	-	-	-	-
AGAP004824	7165:0010ad	7227:0008e2__FBgn0026259/eIF5B	NoParalogs	-	-	-	-	-	-	-
AGAP004825	7165:0010ae	7227:000994__FBgn0027500/spd-2	NoParalogs	-	-	-	-	-	-	-
AGAP004826	7165:0010af	NO ortholog	-	-	-	NoParalogs	-	-	-	-
AGAP004827	7165:0010b0	7227:000a4f__FBgn0028496/CG30116	NoParalogs	-	-	-	-	-	-	-
AGAP004828	7165:0010b1	7227:00151f__FBgn0033578/BBS4	NoParalogs	-	-	-	-	-	-	-
AGAP004829	7165:0010b2	7227:001520__FBgn0033579/CG13229	NoParalogs	-	-	-	-	-	-	-
AGAP004830	7165:0010b3	7227:001522__FBgn0033581/CG12391	NoParalogs	-	-	-	-	-	-	-
AGAP004831	7165:0010b4	NO ortholog	-	-	-	NoParalogs	-	-	-	-
AGAP004832	7165:0010b5	NO ortholog	-	-	-	NoParalogs	-	-	-	-
AGAP004833	7165:0010b6	7227:0009d0__FBgn0027587/Prp4k	NoParalogs	-	-	-	-	-	-	-
AGAP004834	7165:0010b7	7227:0016e2__FBgn0034267/CG4984	NoParalogs	-	-	-	-	-	-	-
AGAP004835	7165:0010b8	7227:001903__FBgn0035086/CG12851	NoParalogs	-	-	-	-	-	-	-
AGAP004836	7165:0010b9	NO ortholog	-	-	-	NoParalogs	-	-	-	-
AGAP004837	7165:0010ba	7227:001904__FBgn0035087/CG2765	NoParalogs	-	-	-	-	-	-	-
AGAP004838	7165:0010bb	7227:00143b__FBgn0033209/CG12107	NoParalogs	-	-	-	-	-	-	-
AGAP004839	7165:0010bc	7227:00143a__FBgn0033208/mRpL52	NoParalogs	-	-	-	-	-	-	-
AGAP004840	7165:0010bd	7227:001aae__FBgn0035760/CG8607	NoParalogs	-	-	-	-	-	-	-
AGAP004841	7165:0010be	7227:00143d__FBgn0033212/LRR	NoParalogs	-	-	-	-	-	-	-
AGAP004842	7165:0010bf	7227:002918__FBgn0050493/Coq9	NoParalogs	-	-	-	-	-	-	-
AGAP004843	7165:0010c0	7227:00291a__FBgn0050496/CG30496	NoParalogs	-	-	-	-	-	-	-
AGAP004844	7165:0010c1	7227:00145e__FBgn0033266/Socs44A	NoParalogs	-	-	-	-	-	-	-
AGAP004845	7165:0010c2	7227:001908__FBgn0035091/CG3829	NoParalogs	-	-	-	-	-	-	-
AGAP004846	7165:0010c3	7227:00044b__FBgn0010435/emp	NoParalogs	-	-	-	-	-	-	-
AGAP004847	7165:0010c4	NO ortholog	-	-	-	NoParalogs	-	-	-	-
AGAP004848	7165:0010c5	7227:0018a7__FBgn0034948/PPP1R15	NoParalogs	-	-	-	-	-	-	-
AGAP004849	7165:0010c6	7227:00204c__FBgn0037878/CG6693	NoParalogs	-	-	-	-	-	-	-
AGAP004850	7165:0010c7	7227:00080a__FBgn0024836/stan	NoParalogs	-	-	-	-	-	-	-
AGAP004851	7165:0010c8	7227:00199e__FBgn0035325/CG13806	NoParalogs	-	-	-	-	-	-	-
AGAP004852	7165:0010c9	7227:00345a__FBgn0263391/hts	NoParalogs	-	-	-	-	-	-	-
AGAP004853	7165:0010ca	7227:00169f__FBgn0034158/CG5522	NoParalogs	-	-	-	-	-	-	-
AGAP004854	7165:0010cb	7227:0010b9__FBgn0031759/lid	NoParalogs	-	-	-	-	-	-	-
AGAP004855	7165:0010cc	NO ortholog	-	-	-	NoParalogs	-	-	-	-
AGAP004856	7165:0010cd	7227:002493__FBgn0039489/CG5880	NoParalogs	-	-	-	-	-	-	-
AGAP029106	-	-	-	-	-	-	-	-	-	-
AGAP004859	7165:0010d0	NO ortholog	-	-	-	NoParalogs	-	-	-	-
AGAP004860	7165:0010d1	NO ortholog	-	-	-	NoParalogs	-	-	-	-
AGAP004861	7165:0010d2	7227:001b1f__FBgn0035936/Tsp66E	NoParalogs	-	-	-	-	-	-	-
AGAP004862	7165:0010d3	NO ortholog	-	-	-	NoParalogs	-	-	-	-
AGAP004863	7165:0010d4	7227:001b1e__FBgn0035934/TrpA1	NoParalogs	-	-	-	-	-	-	-
AGAP004864	7165:0010d5	7227:00030e__FBgn0004401/Pep	NoParalogs	-	-	-	-	-	-	-
AGAP004865	7165:0010d6	7227:001650__FBgn0034046/tun	NoParalogs	-	-	-	-	-	-	-
AGAP004866	7165:0010d7	7227:002e38__FBgn0082831/pps	NoParalogs	-	-	-	-	-	-	-
AGAP004867	7165:0010d8	NO ortholog	-	-	-	NoParalogs	-	-	-	-
AGAP004868	7165:0010d9	7227:001714__FBgn0034345/CG5174	NoParalogs	-	-	-	-	-	-	-
AGAP004869	7165:0010da	NO ortholog	-	-	-	NoParalogs	-	-	-	-
AGAP004870	7165:0010db	7227:0006dd__FBgn0020370/TppII	NoParalogs	-	-	-	-	-	-	-
AGAP004871	7165:0010dc	7227:003149__FBgn0260657/CG42540	NoParalogs	-	-	-	-	-	-	-
AGAP004872	7165:0010dd	7227:001b19__FBgn0035928/CG13310	NoParalogs	-	-	-	-	-	-	-
AGAP004873	7165:0010de	7227:0035e0__FBgn0266084/Fhos	NoParalogs	-	-	-	-	-	-	-
AGAP004874	7165:0010df	NO ortholog	-	-	-	NoParalogs	-	-	-	-
AGAP004875	7165:0010e0	7227:0026e2__FBgn0040828/CG13306	NoParalogs	-	-	-	-	-	-	-
AGAP004876	7165:0010e1	NO ortholog	-	-	-	NoParalogs	-	-	-	-
AGAP004877	7165:0010e2	7227:00020d__FBgn0003149/Prm	NoParalogs	-	-	-	-	-	-	-
AGAP004878	7165:0010e3	7227:003288__FBgn0261801/CG42747	NoParalogs	-	-	-	-	-	-	-
AGAP004879	7165:0010e4	NO ortholog	-	-	-	NoParalogs	-	-	-	-
AGAP004880	7165:0010e5	7227:00012e__FBgn0001258/Ldh	NoParalogs	-	-	-	-	-	-	-
AGAP004881	7165:0010e6	7227:001a88__FBgn0035696/Best2	NoParalogs	-	-	-	-	-	-	-
AGAP004882	7165:0010e7	7227:001a58__FBgn0035622/TM9SF3	NoParalogs	-	-	-	-	-	-	-
AGAP004883	7165:0010e8	NO ortholog	-	-	-	NoParalogs	-	-	-	-
AGAP004884	7165:0010e9	7227:00159a__FBgn0033757/muskelin	NoParalogs	-	-	-	-	-	-	-
AGAP004885	7165:0010ea	7227:0013f9__FBgn0033100/CG3420	NoParalogs	-	-	-	-	-	-	-
AGAP004886	7165:0010eb	7227:000957__FBgn0027066/Eb1	NoParalogs	-	-	-	-	-	-	-
AGAP004887	7165:0010ec	7227:0003a7__FBgn0005533/RpS17	NoParalogs	-	-	-	-	-	-	-
AGAP004888	7165:0010ed	7227:001b5f__FBgn0036031/CG6761	NoParalogs	-	-	-	-	-	-	-
AGAP004889	7165:0010ee	7227:0005e0__FBgn0015321/Ubc4	NoParalogs	-	-	-	-	-	-	-
AGAP004890	7165:0010ef	7227:001b5e__FBgn0036030/Prps	NoParalogs	-	-	-	-	-	-	-
AGAP004891	7165:0010f0	7227:001b5c__FBgn0036028/CG16717	NoParalogs	-	-	-	-	-	-	-
AGAP004892	7165:0010f1	7227:000661__FBgn0016081/fry	NoParalogs	-	-	-	-	-	-	-
AGAP004893	7165:0010f2	NO ortholog	-	-	-	NoParalogs	-	-	-	-
AGAP004894	7165:0010f3	NO ortholog	-	-	-	['7165:0003a4', '7165:0003a5', '7165:0010f3']	-	-	-	-
AGAP004895	7165:0010f4	7227:002015__FBgn0037788/CAH7	NoParalogs	-	-	-	-	-	-	-
AGAP004896	7165:0010f5	7227:00337a__FBgn0262685/CG43155	NoParalogs	-	-	-	-	-	-	-
AGAP004897	7165:0010f6	NO ortholog	-	-	-	NoParalogs	-	-	-	-
AGAP004899	7165:0010f7	7227:00102a__FBgn0031548/CG8852	NoParalogs	-	-	-	-	-	-	-
AGAP028438	-	-	-	-	-	-	-	-	-	-
AGAP004900	7165:0010f8	NO ortholog	-	-	-	NoParalogs	-	-	-	-
AGAP004901	7165:0010f9	NO ortholog	-	-	-	NoParalogs	-	-	-	-
AGAP004902	7165:0010fa	7227:003596__FBgn0265296/Dscam2	NoParalogs	-	-	-	-	-	-	-
AGAP004903	7165:0010fb	7227:001ace__FBgn0035805/CG7506	NoParalogs	-	-	-	-	-	-	-
AGAP004904	7165:0010fc	7227:000057__FBgn0000261/Cat	NoParalogs	-	-	-	-	-	-	-
AGAP004905	7165:0010fd	7227:000558__FBgn0013799/Deaf1	NoParalogs	-	-	-	-	-	-	-
AGAP004906	7165:0010fe	7227:001fe0__FBgn0037715/CG9399	NoParalogs	-	-	-	-	-	-	-
AGAP004907	7165:0010ff	7227:000498__FBgn0011277/HLH4C	NoParalogs	-	-	-	-	-	-	-
AGAP004908	7165:001100	7227:00085d__FBgn0025613/CG3081	NoParalogs	-	-	-	-	-	-	-
AGAP004909	7165:001101	7227:00204e__FBgn0037880/CG17726	NoParalogs	-	-	-	-	-	-	-
AGAP004910	7165:001102	7227:002052__FBgn0037884/Arfip	NoParalogs	-	-	-	-	-	-	-
AGAP004911	7165:001103	7227:0031ac__FBgn0261019/moi	NoParalogs	-	-	-	-	-	-	-
AGAP004912	7165:001104	NO ortholog	-	-	-	NoParalogs	-	-	-	-
AGAP004913	7165:001105	NO ortholog	-	-	-	NoParalogs	-	-	-	-
AGAP004914	7165:001106	NO ortholog	-	-	-	NoParalogs	-	-	-	-
AGAP004915	7165:001107	7227:002f17__FBgn0085420/DIP-delta	NoParalogs	-	-	-	-	-	-	-
AGAP004916	7165:001108	NO ortholog	-	-	-	NoParalogs	-	-	-	-
AGAP004917	7165:001109	7227:0028a7__FBgn0050280/CG30280	NoParalogs	-	-	-	-	-	-	-
AGAP004918	7165:00110a	NO ortholog	-	-	-	NoParalogs	-	-	-	-
AGAP028439	-	-	-	-	-	-	-	-	-	-
AGAP004919	7165:00110b	7227:000aa0__FBgn0028697/RpL15	NoParalogs	-	-	-	-	-	-	-
AGAP004920	7165:00110c	NO ortholog	-	-	-	NoParalogs	-	-	-	-
AGAP004921	7165:00110d	NO ortholog	-	-	-	NoParalogs	-	-	-	-
AGAP004922	7165:00110e	NO ortholog	-	-	-	NoParalogs	-	-	-	-
AGAP004923	7165:00110f	7227:001a4e__FBgn0035604/Ir64a	NoParalogs	-	-	-	-	-	-	-
AGAP004928	7165:001110	7227:002b34__FBgn0052280/CG32280	NoParalogs	-	-	-	-	-	-	-
AGAP004929	7165:001111	7227:002893__FBgn0050185/AIMP3	NoParalogs	-	-	-	-	-	-	-
AGAP004930	7165:001112	7227:002815__FBgn0046687/Tre1	NoParalogs	-	-	-	-	-	-	-
AGAP004931	7165:001113	7227:002c21__FBgn0053052/Gorab	NoParalogs	-	-	-	-	-	-	-
AGAP028394	-	-	-	-	-	-	-	-	-	-
AGAP004932	7165:001114	7227:0009ed__FBgn0027660/blot	NoParalogs	-	-	-	-	-	-	-
AGAP004933	7165:001115	7227:001b7f__FBgn0036096/CG8003	NoParalogs	-	-	-	-	-	-	-
AGAP004934	7165:001116	7227:002b15__FBgn0052226/Pex23	NoParalogs	-	-	-	-	-	-	-
AGAP004935	7165:001117	NO ortholog	-	-	-	NoParalogs	-	-	-	-
AGAP004936	7165:001118	NO ortholog	-	-	-	NoParalogs	-	-	-	-
AGAP004937	7165:001119	7227:003452__FBgn0263352/Unr	NoParalogs	-	-	-	-	-	-	-
AGAP004938	7165:00111a	7227:0014e2__FBgn0033474/CG1407	NoParalogs	-	-	-	-	-	-	-
AGAP004940	7165:00111b	7227:000752__FBgn0022382/Pka-R2	NoParalogs	-	-	-	-	-	-	-
AGAP004941	7165:00111c	NO ortholog	-	-	-	NoParalogs	-	-	-	-
AGAP004942	7165:00111d	7227:00338b__FBgn0262737/mub	NoParalogs	-	-	-	-	-	-	-
AGAP004943	7165:00111e	7227:001c48__FBgn0036391/CG17364	NoParalogs	-	-	-	-	-	-	-
AGAP004944	7165:00111f	NO ortholog	-	-	-	NoParalogs	-	-	-	-
AGAP004945	7165:001120	7227:001b95__FBgn0036133/CG7638	NoParalogs	-	-	-	-	-	-	-
AGAP004946	7165:001121	7227:0004fe__FBgn0011771/Hem	NoParalogs	-	-	-	-	-	-	-
AGAP004947	7165:001122	7227:0010b2__FBgn0031749/CG14000	NoParalogs	-	-	-	-	-	-	-
AGAP004948	7165:001123	NO ortholog	-	-	-	NoParalogs	-	-	-	-
